Orthogroup	Acinetobacter_baumannii	Mycobacterium_leprae	Total
OG0000000	0	21	21
OG0000001	2	15	17
OG0000002	7	4	11
OG0000003	9	1	10
OG0000004	1	7	8
OG0000005	6	1	7
OG0000006	2	5	7
OG0000007	0	7	7
OG0000008	4	2	6
OG0000009	2	4	6
OG0000010	1	5	6
OG0000011	1	5	6
OG0000012	2	4	6
OG0000013	0	6	6
OG0000014	0	6	6
OG0000015	3	2	5
OG0000016	3	2	5
OG0000017	2	3	5
OG0000018	1	4	5
OG0000019	3	2	5
OG0000020	2	3	5
OG0000021	1	4	5
OG0000022	1	4	5
OG0000023	0	5	5
OG0000024	0	5	5
OG0000025	0	5	5
OG0000026	0	5	5
OG0000027	0	5	5
OG0000028	0	5	5
OG0000029	0	5	5
OG0000030	0	5	5
OG0000031	3	1	4
OG0000032	4	0	4
OG0000033	3	1	4
OG0000034	3	1	4
OG0000035	3	1	4
OG0000036	3	1	4
OG0000037	1	3	4
OG0000038	1	3	4
OG0000039	3	1	4
OG0000040	1	3	4
OG0000041	1	3	4
OG0000042	1	3	4
OG0000043	1	3	4
OG0000044	1	3	4
OG0000045	0	4	4
OG0000046	0	4	4
OG0000047	0	4	4
OG0000048	0	4	4
OG0000049	0	4	4
OG0000050	0	4	4
OG0000051	0	4	4
OG0000052	1	2	3
OG0000053	1	2	3
OG0000054	2	1	3
OG0000055	1	2	3
OG0000056	3	0	3
OG0000057	3	0	3
OG0000058	2	1	3
OG0000059	1	2	3
OG0000060	2	1	3
OG0000061	1	2	3
OG0000062	1	2	3
OG0000063	2	1	3
OG0000064	3	0	3
OG0000065	2	1	3
OG0000066	1	2	3
OG0000067	2	1	3
OG0000068	2	1	3
OG0000069	2	1	3
OG0000070	1	2	3
OG0000071	2	1	3
OG0000072	2	1	3
OG0000073	3	0	3
OG0000074	2	1	3
OG0000075	2	1	3
OG0000076	2	1	3
OG0000077	2	1	3
OG0000078	2	1	3
OG0000079	2	1	3
OG0000080	2	1	3
OG0000081	1	2	3
OG0000082	1	2	3
OG0000083	2	1	3
OG0000084	2	1	3
OG0000085	1	2	3
OG0000086	2	1	3
OG0000087	1	2	3
OG0000088	2	1	3
OG0000089	3	0	3
OG0000090	2	1	3
OG0000091	1	2	3
OG0000092	1	2	3
OG0000093	1	2	3
OG0000094	1	2	3
OG0000095	0	3	3
OG0000096	0	3	3
OG0000097	0	3	3
OG0000098	0	3	3
OG0000099	0	3	3
OG0000100	0	3	3
OG0000101	0	3	3
OG0000102	0	3	3
OG0000103	0	3	3
OG0000104	0	3	3
OG0000105	0	3	3
OG0000106	0	3	3
OG0000107	0	3	3
OG0000108	0	3	3
OG0000109	0	3	3
OG0000110	0	3	3
OG0000111	0	3	3
OG0000112	0	3	3
OG0000113	0	3	3
OG0000114	0	3	3
OG0000115	0	3	3
OG0000116	0	3	3
OG0000117	0	3	3
OG0000118	0	3	3
OG0000119	0	3	3
OG0000120	0	3	3
OG0000121	0	3	3
OG0000122	0	3	3
OG0000123	0	3	3
OG0000124	1	1	2
OG0000125	1	1	2
OG0000126	1	1	2
OG0000127	1	1	2
OG0000128	1	1	2
OG0000129	1	1	2
OG0000130	1	1	2
OG0000131	1	1	2
OG0000132	1	1	2
OG0000133	2	0	2
OG0000134	1	1	2
OG0000135	1	1	2
OG0000136	1	1	2
OG0000137	1	1	2
OG0000138	1	1	2
OG0000139	1	1	2
OG0000140	1	1	2
OG0000141	1	1	2
OG0000142	1	1	2
OG0000143	1	1	2
OG0000144	1	1	2
OG0000145	1	1	2
OG0000146	1	1	2
OG0000147	1	1	2
OG0000148	2	0	2
OG0000149	2	0	2
OG0000150	1	1	2
OG0000151	1	1	2
OG0000152	1	1	2
OG0000153	1	1	2
OG0000154	1	1	2
OG0000155	1	1	2
OG0000156	1	1	2
OG0000157	1	1	2
OG0000158	1	1	2
OG0000159	1	1	2
OG0000160	1	1	2
OG0000161	1	1	2
OG0000162	1	1	2
OG0000163	1	1	2
OG0000164	1	1	2
OG0000165	2	0	2
OG0000166	2	0	2
OG0000167	1	1	2
OG0000168	1	1	2
OG0000169	1	1	2
OG0000170	1	1	2
OG0000171	2	0	2
OG0000172	1	1	2
OG0000173	1	1	2
OG0000174	1	1	2
OG0000175	1	1	2
OG0000176	1	1	2
OG0000177	1	1	2
OG0000178	1	1	2
OG0000179	1	1	2
OG0000180	1	1	2
OG0000181	1	1	2
OG0000182	1	1	2
OG0000183	1	1	2
OG0000184	1	1	2
OG0000185	1	1	2
OG0000186	1	1	2
OG0000187	1	1	2
OG0000188	1	1	2
OG0000189	1	1	2
OG0000190	1	1	2
OG0000191	1	1	2
OG0000192	1	1	2
OG0000193	1	1	2
OG0000194	1	1	2
OG0000195	1	1	2
OG0000196	1	1	2
OG0000197	1	1	2
OG0000198	1	1	2
OG0000199	1	1	2
OG0000200	1	1	2
OG0000201	1	1	2
OG0000202	1	1	2
OG0000203	1	1	2
OG0000204	1	1	2
OG0000205	1	1	2
OG0000206	1	1	2
OG0000207	1	1	2
OG0000208	1	1	2
OG0000209	1	1	2
OG0000210	1	1	2
OG0000211	1	1	2
OG0000212	1	1	2
OG0000213	1	1	2
OG0000214	1	1	2
OG0000215	1	1	2
OG0000216	1	1	2
OG0000217	1	1	2
OG0000218	1	1	2
OG0000219	1	1	2
OG0000220	1	1	2
OG0000221	1	1	2
OG0000222	1	1	2
OG0000223	1	1	2
OG0000224	2	0	2
OG0000225	1	1	2
OG0000226	1	1	2
OG0000227	1	1	2
OG0000228	2	0	2
OG0000229	1	1	2
OG0000230	1	1	2
OG0000231	1	1	2
OG0000232	1	1	2
OG0000233	1	1	2
OG0000234	1	1	2
OG0000235	1	1	2
OG0000236	1	1	2
OG0000237	1	1	2
OG0000238	1	1	2
OG0000239	1	1	2
OG0000240	1	1	2
OG0000241	2	0	2
OG0000242	1	1	2
OG0000243	1	1	2
OG0000244	1	1	2
OG0000245	1	1	2
OG0000246	1	1	2
OG0000247	1	1	2
OG0000248	1	1	2
OG0000249	1	1	2
OG0000250	1	1	2
OG0000251	1	1	2
OG0000252	2	0	2
OG0000253	1	1	2
OG0000254	1	1	2
OG0000255	1	1	2
OG0000256	1	1	2
OG0000257	1	1	2
OG0000258	1	1	2
OG0000259	1	1	2
OG0000260	1	1	2
OG0000261	1	1	2
OG0000262	1	1	2
OG0000263	1	1	2
OG0000264	1	1	2
OG0000265	1	1	2
OG0000266	1	1	2
OG0000267	1	1	2
OG0000268	1	1	2
OG0000269	1	1	2
OG0000270	1	1	2
OG0000271	1	1	2
OG0000272	1	1	2
OG0000273	1	1	2
OG0000274	1	1	2
OG0000275	1	1	2
OG0000276	1	1	2
OG0000277	1	1	2
OG0000278	1	1	2
OG0000279	2	0	2
OG0000280	2	0	2
OG0000281	1	1	2
OG0000282	1	1	2
OG0000283	1	1	2
OG0000284	1	1	2
OG0000285	1	1	2
OG0000286	1	1	2
OG0000287	1	1	2
OG0000288	1	1	2
OG0000289	1	1	2
OG0000290	1	1	2
OG0000291	1	1	2
OG0000292	1	1	2
OG0000293	1	1	2
OG0000294	1	1	2
OG0000295	1	1	2
OG0000296	1	1	2
OG0000297	1	1	2
OG0000298	1	1	2
OG0000299	1	1	2
OG0000300	1	1	2
OG0000301	1	1	2
OG0000302	1	1	2
OG0000303	1	1	2
OG0000304	1	1	2
OG0000305	1	1	2
OG0000306	1	1	2
OG0000307	1	1	2
OG0000308	1	1	2
OG0000309	1	1	2
OG0000310	1	1	2
OG0000311	1	1	2
OG0000312	1	1	2
OG0000313	1	1	2
OG0000314	1	1	2
OG0000315	1	1	2
OG0000316	1	1	2
OG0000317	1	1	2
OG0000318	1	1	2
OG0000319	1	1	2
OG0000320	1	1	2
OG0000321	1	1	2
OG0000322	1	1	2
OG0000323	1	1	2
OG0000324	1	1	2
OG0000325	1	1	2
OG0000326	1	1	2
OG0000327	1	1	2
OG0000328	1	1	2
OG0000329	1	1	2
OG0000330	2	0	2
OG0000331	1	1	2
OG0000332	1	1	2
OG0000333	0	2	2
OG0000334	0	2	2
OG0000335	0	2	2
OG0000336	0	2	2
OG0000337	0	2	2
OG0000338	0	2	2
OG0000339	0	2	2
OG0000340	0	2	2
OG0000341	0	2	2
OG0000342	0	2	2
OG0000343	0	2	2
OG0000344	0	2	2
OG0000345	0	2	2
OG0000346	0	2	2
OG0000347	0	2	2
OG0000348	0	2	2
OG0000349	0	2	2
OG0000350	0	2	2
OG0000351	0	2	2
OG0000352	0	2	2
OG0000353	0	2	2
OG0000354	0	2	2
OG0000355	0	2	2
OG0000356	0	2	2
OG0000357	0	2	2
OG0000358	0	2	2
OG0000359	0	2	2
OG0000360	0	2	2
OG0000361	0	2	2
OG0000362	0	2	2
OG0000363	0	2	2
OG0000364	0	2	2
OG0000365	0	2	2
OG0000366	0	2	2
OG0000367	0	2	2
OG0000368	0	2	2
OG0000369	0	2	2
OG0000370	0	2	2
OG0000371	0	2	2
OG0000372	0	2	2
OG0000373	0	2	2
OG0000374	0	2	2
OG0000375	0	2	2
OG0000376	0	2	2
OG0000377	0	2	2
OG0000378	0	2	2
OG0000379	0	2	2
OG0000380	0	2	2
OG0000381	0	2	2
OG0000382	0	2	2
OG0000383	0	2	2
OG0000384	0	2	2
OG0000385	0	2	2
OG0000386	0	2	2
OG0000387	0	2	2
OG0000388	0	2	2
OG0000389	0	2	2
OG0000390	0	2	2
