	Acinetobacter_baumannii	Neisseria_gonorrhoeae
Number of genes	525	7
Number of genes in orthogroups	211	6
Number of unassigned genes	314	1
Percentage of genes in orthogroups	40.2	85.7
Percentage of unassigned genes	59.8	14.3
Number of orthogroups containing species	71	6
Percentage of orthogroups containing species	100.0	8.5
Number of species-specific orthogroups	65	0
Number of genes in species-specific orthogroups	201	0
Percentage of genes in species-specific orthogroups	38.3	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	0	65
'1	5	6
'2	39	0
'3	8	0
'4	5	0
'5	8	0
'6	2	0
'7	2	0
'8	1	0
'9	0	0
'10	1	0
11-15	0	0
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.0	91.5
'1	7.0	8.5
'2	54.9	0.0
'3	11.3	0.0
'4	7.0	0.0
'5	11.3	0.0
'6	2.8	0.0
'7	2.8	0.0
'8	1.4	0.0
'9	0.0	0.0
'10	1.4	0.0
11-15	0.0	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	5	6
'2	78	0
'3	24	0
'4	20	0
'5	40	0
'6	12	0
'7	14	0
'8	8	0
'9	0	0
'10	10	0
11-15	0	0
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	1.0	85.7
'2	14.9	0.0
'3	4.6	0.0
'4	3.8	0.0
'5	7.6	0.0
'6	2.3	0.0
'7	2.7	0.0
'8	1.5	0.0
'9	0.0	0.0
'10	1.9	0.0
11-15	0.0	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
