Orthogroup	Acinetobacter_baumannii	Neisseria_gonorrhoeae	Total
OG0000000	10	0	10
OG0000001	8	0	8
OG0000002	7	0	7
OG0000003	7	0	7
OG0000004	5	1	6
OG0000005	6	0	6
OG0000006	6	0	6
OG0000007	5	0	5
OG0000008	5	0	5
OG0000009	5	0	5
OG0000010	5	0	5
OG0000011	5	0	5
OG0000012	5	0	5
OG0000013	5	0	5
OG0000014	4	0	4
OG0000015	4	0	4
OG0000016	4	0	4
OG0000017	4	0	4
OG0000018	4	0	4
OG0000019	3	0	3
OG0000020	3	0	3
OG0000021	3	0	3
OG0000022	3	0	3
OG0000023	3	0	3
OG0000024	3	0	3
OG0000025	3	0	3
OG0000026	3	0	3
OG0000027	2	0	2
OG0000028	2	0	2
OG0000029	2	0	2
OG0000030	2	0	2
OG0000031	2	0	2
OG0000032	2	0	2
OG0000033	2	0	2
OG0000034	2	0	2
OG0000035	2	0	2
OG0000036	2	0	2
OG0000037	2	0	2
OG0000038	2	0	2
OG0000039	2	0	2
OG0000040	2	0	2
OG0000041	2	0	2
OG0000042	2	0	2
OG0000043	2	0	2
OG0000044	2	0	2
OG0000045	2	0	2
OG0000046	2	0	2
OG0000047	1	1	2
OG0000048	1	1	2
OG0000049	1	1	2
OG0000050	2	0	2
OG0000051	2	0	2
OG0000052	2	0	2
OG0000053	2	0	2
OG0000054	2	0	2
OG0000055	1	1	2
OG0000056	1	1	2
OG0000057	2	0	2
OG0000058	2	0	2
OG0000059	2	0	2
OG0000060	2	0	2
OG0000061	2	0	2
OG0000062	2	0	2
OG0000063	2	0	2
OG0000064	2	0	2
OG0000065	2	0	2
OG0000066	2	0	2
OG0000067	2	0	2
OG0000068	2	0	2
OG0000069	2	0	2
OG0000070	2	0	2
