	Acinetobacter_baumannii	Pseudomonas_aeruginosa
Number of genes	525	5514
Number of genes in orthogroups	473	3498
Number of unassigned genes	52	2016
Percentage of genes in orthogroups	90.1	63.4
Percentage of unassigned genes	9.9	36.6
Number of orthogroups containing species	416	951
Percentage of orthogroups containing species	43.3	99.0
Number of species-specific orthogroups	10	545
Number of genes in species-specific orthogroups	21	2357
Percentage of genes in species-specific orthogroups	4.0	42.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	545	10
'1	377	242
'2	27	329
'3	9	139
'4	2	76
'5	0	40
'6	0	28
'7	1	17
'8	0	14
'9	0	12
'10	0	9
11-15	0	19
16-20	0	13
21-50	0	8
51-100	0	4
101-150	0	1
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	56.7	1.0
'1	39.2	25.2
'2	2.8	34.2
'3	0.9	14.5
'4	0.2	7.9
'5	0.0	4.2
'6	0.0	2.9
'7	0.1	1.8
'8	0.0	1.5
'9	0.0	1.2
'10	0.0	0.9
11-15	0.0	2.0
16-20	0.0	1.4
21-50	0.0	0.8
51-100	0.0	0.4
101-150	0.0	0.1
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	377	242
'2	54	658
'3	27	417
'4	8	304
'5	0	200
'6	0	168
'7	7	119
'8	0	112
'9	0	108
'10	0	90
11-15	0	239
16-20	0	223
21-50	0	248
51-100	0	250
101-150	0	120
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	71.8	4.4
'2	10.3	11.9
'3	5.1	7.6
'4	1.5	5.5
'5	0.0	3.6
'6	0.0	3.0
'7	1.3	2.2
'8	0.0	2.0
'9	0.0	2.0
'10	0.0	1.6
11-15	0.0	4.3
16-20	0.0	4.0
21-50	0.0	4.5
51-100	0.0	4.5
101-150	0.0	2.2
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
