Orthogroup	Acinetobacter_baumannii	Pseudomonas_aeruginosa	Total
OG0000000	0	120	120
OG0000001	3	76	79
OG0000002	2	58	60
OG0000003	0	60	60
OG0000004	0	56	56
OG0000005	1	45	46
OG0000006	0	36	36
OG0000007	0	35	35
OG0000008	0	33	33
OG0000009	0	29	29
OG0000010	1	26	27
OG0000011	7	18	25
OG0000012	0	23	23
OG0000013	0	21	21
OG0000014	1	19	20
OG0000015	3	17	20
OG0000016	1	17	18
OG0000017	1	17	18
OG0000018	0	18	18
OG0000019	0	18	18
OG0000020	1	16	17
OG0000021	0	17	17
OG0000022	0	17	17
OG0000023	0	17	17
OG0000024	3	13	16
OG0000025	0	16	16
OG0000026	0	16	16
OG0000027	1	14	15
OG0000028	0	15	15
OG0000029	4	10	14
OG0000030	1	13	14
OG0000031	0	14	14
OG0000032	0	14	14
OG0000033	0	14	14
OG0000034	3	10	13
OG0000035	1	12	13
OG0000036	0	13	13
OG0000037	0	13	13
OG0000038	0	13	13
OG0000039	1	11	12
OG0000040	3	9	12
OG0000041	0	12	12
OG0000042	0	12	12
OG0000043	0	12	12
OG0000044	1	10	11
OG0000045	2	9	11
OG0000046	0	11	11
OG0000047	0	11	11
OG0000048	0	11	11
OG0000049	0	11	11
OG0000050	1	9	10
OG0000051	1	9	10
OG0000052	0	10	10
OG0000053	0	10	10
OG0000054	0	10	10
OG0000055	0	10	10
OG0000056	0	10	10
OG0000057	0	10	10
OG0000058	1	8	9
OG0000059	1	8	9
OG0000060	1	8	9
OG0000061	1	8	9
OG0000062	1	8	9
OG0000063	0	9	9
OG0000064	0	9	9
OG0000065	0	9	9
OG0000066	0	9	9
OG0000067	0	9	9
OG0000068	0	9	9
OG0000069	0	9	9
OG0000070	0	9	9
OG0000071	1	7	8
OG0000072	3	5	8
OG0000073	2	6	8
OG0000074	1	7	8
OG0000075	1	7	8
OG0000076	1	7	8
OG0000077	1	7	8
OG0000078	0	8	8
OG0000079	0	8	8
OG0000080	0	8	8
OG0000081	0	8	8
OG0000082	0	8	8
OG0000083	0	8	8
OG0000084	0	8	8
OG0000085	0	8	8
OG0000086	0	8	8
OG0000087	1	6	7
OG0000088	3	4	7
OG0000089	1	6	7
OG0000090	1	6	7
OG0000091	3	4	7
OG0000092	2	5	7
OG0000093	1	6	7
OG0000094	2	5	7
OG0000095	0	7	7
OG0000096	0	7	7
OG0000097	0	7	7
OG0000098	0	7	7
OG0000099	0	7	7
OG0000100	0	7	7
OG0000101	0	7	7
OG0000102	0	7	7
OG0000103	0	7	7
OG0000104	0	7	7
OG0000105	0	7	7
OG0000106	0	7	7
OG0000107	1	5	6
OG0000108	1	5	6
OG0000109	1	5	6
OG0000110	2	4	6
OG0000111	1	5	6
OG0000112	1	5	6
OG0000113	1	5	6
OG0000114	1	5	6
OG0000115	0	6	6
OG0000116	0	6	6
OG0000117	0	6	6
OG0000118	0	6	6
OG0000119	0	6	6
OG0000120	0	6	6
OG0000121	0	6	6
OG0000122	0	6	6
OG0000123	0	6	6
OG0000124	0	6	6
OG0000125	0	6	6
OG0000126	0	6	6
OG0000127	0	6	6
OG0000128	0	6	6
OG0000129	0	6	6
OG0000130	0	6	6
OG0000131	0	6	6
OG0000132	0	6	6
OG0000133	0	6	6
OG0000134	0	6	6
OG0000135	0	6	6
OG0000136	0	6	6
OG0000137	0	6	6
OG0000138	4	1	5
OG0000139	1	4	5
OG0000140	1	4	5
OG0000141	1	4	5
OG0000142	1	4	5
OG0000143	2	3	5
OG0000144	1	4	5
OG0000145	1	4	5
OG0000146	1	4	5
OG0000147	1	4	5
OG0000148	1	4	5
OG0000149	1	4	5
OG0000150	1	4	5
