	Acinetobacter_baumannii	Salmonella_enterica
Number of genes	525	4116
Number of genes in orthogroups	452	2536
Number of unassigned genes	73	1580
Percentage of genes in orthogroups	86.1	61.6
Percentage of unassigned genes	13.9	38.4
Number of orthogroups containing species	380	869
Percentage of orthogroups containing species	43.2	98.8
Number of species-specific orthogroups	11	500
Number of genes in species-specific orthogroups	30	1771
Percentage of genes in species-specific orthogroups	5.7	43.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	500	11
'1	336	240
'2	33	321
'3	4	139
'4	2	59
'5	2	32
'6	1	21
'7	2	16
'8	0	10
'9	0	4
'10	0	6
11-15	0	10
16-20	0	4
21-50	0	6
51-100	0	1
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	56.8	1.2
'1	38.2	27.3
'2	3.8	36.5
'3	0.5	15.8
'4	0.2	6.7
'5	0.2	3.6
'6	0.1	2.4
'7	0.2	1.8
'8	0.0	1.1
'9	0.0	0.5
'10	0.0	0.7
11-15	0.0	1.1
16-20	0.0	0.5
21-50	0.0	0.7
51-100	0.0	0.1
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	336	240
'2	66	642
'3	12	417
'4	8	236
'5	10	160
'6	6	126
'7	14	112
'8	0	80
'9	0	36
'10	0	60
11-15	0	125
16-20	0	72
21-50	0	170
51-100	0	60
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	64.0	5.8
'2	12.6	15.6
'3	2.3	10.1
'4	1.5	5.7
'5	1.9	3.9
'6	1.1	3.1
'7	2.7	2.7
'8	0.0	1.9
'9	0.0	0.9
'10	0.0	1.5
11-15	0.0	3.0
16-20	0.0	1.7
21-50	0.0	4.1
51-100	0.0	1.5
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
