Orthogroup	Acinetobacter_baumannii	Salmonella_enterica	Total
OG0000000	3	60	63
OG0000001	0	39	39
OG0000002	1	34	35
OG0000003	0	27	27
OG0000004	0	24	24
OG0000005	0	24	24
OG0000006	0	22	22
OG0000007	0	20	20
OG0000008	0	18	18
OG0000009	0	18	18
OG0000010	5	11	16
OG0000011	0	16	16
OG0000012	0	15	15
OG0000013	1	13	14
OG0000014	0	14	14
OG0000015	7	6	13
OG0000016	0	13	13
OG0000017	0	13	13
OG0000018	0	12	12
OG0000019	0	12	12
OG0000020	0	11	11
OG0000021	0	11	11
OG0000022	2	8	10
OG0000023	1	9	10
OG0000024	0	10	10
OG0000025	0	10	10
OG0000026	0	10	10
OG0000027	0	10	10
OG0000028	0	10	10
OG0000029	0	10	10
OG0000030	2	7	9
OG0000031	4	5	9
OG0000032	6	3	9
OG0000033	2	7	9
OG0000034	1	8	9
OG0000035	1	8	9
OG0000036	0	9	9
OG0000037	0	9	9
OG0000038	0	9	9
OG0000039	1	7	8
OG0000040	1	7	8
OG0000041	0	8	8
OG0000042	0	8	8
OG0000043	0	8	8
OG0000044	0	8	8
OG0000045	0	8	8
OG0000046	0	8	8
OG0000047	0	8	8
OG0000048	3	4	7
OG0000049	1	6	7
OG0000050	3	4	7
OG0000051	7	0	7
OG0000052	5	2	7
OG0000053	1	6	7
OG0000054	2	5	7
OG0000055	1	6	7
OG0000056	1	6	7
OG0000057	1	6	7
OG0000058	0	7	7
OG0000059	0	7	7
OG0000060	0	7	7
OG0000061	0	7	7
OG0000062	0	7	7
OG0000063	0	7	7
OG0000064	0	7	7
OG0000065	0	7	7
OG0000066	0	7	7
OG0000067	0	7	7
OG0000068	0	7	7
OG0000069	0	7	7
OG0000070	1	5	6
OG0000071	2	4	6
OG0000072	1	5	6
OG0000073	1	5	6
OG0000074	1	5	6
OG0000075	2	4	6
OG0000076	2	4	6
OG0000077	1	5	6
OG0000078	2	4	6
OG0000079	1	5	6
OG0000080	1	5	6
OG0000081	1	5	6
OG0000082	0	6	6
OG0000083	0	6	6
OG0000084	0	6	6
OG0000085	0	6	6
OG0000086	0	6	6
OG0000087	0	6	6
OG0000088	0	6	6
OG0000089	0	6	6
OG0000090	0	6	6
OG0000091	0	6	6
OG0000092	0	6	6
OG0000093	0	6	6
OG0000094	0	6	6
OG0000095	0	6	6
OG0000096	0	6	6
OG0000097	1	4	5
OG0000098	1	4	5
OG0000099	1	4	5
OG0000100	1	4	5
OG0000101	1	4	5
OG0000102	1	4	5
OG0000103	1	4	5
OG0000104	1	4	5
OG0000105	1	4	5
OG0000106	1	4	5
OG0000107	0	5	5
OG0000108	0	5	5
OG0000109	0	5	5
