	Mycobacterium_leprae	Neisseria_gonorrhoeae
Number of genes	1875	7
Number of genes in orthogroups	531	6
Number of unassigned genes	1344	1
Percentage of genes in orthogroups	28.3	85.7
Percentage of unassigned genes	71.7	14.3
Number of orthogroups containing species	165	6
Percentage of orthogroups containing species	100.0	3.6
Number of species-specific orthogroups	159	0
Number of genes in species-specific orthogroups	521	0
Percentage of genes in species-specific orthogroups	27.8	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	0	159
'1	5	6
'2	82	0
'3	35	0
'4	21	0
'5	12	0
'6	3	0
'7	3	0
'8	0	0
'9	0	0
'10	0	0
11-15	2	0
16-20	0	0
21-50	2	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.0	96.4
'1	3.0	3.6
'2	49.7	0.0
'3	21.2	0.0
'4	12.7	0.0
'5	7.3	0.0
'6	1.8	0.0
'7	1.8	0.0
'8	0.0	0.0
'9	0.0	0.0
'10	0.0	0.0
11-15	1.2	0.0
16-20	0.0	0.0
21-50	1.2	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	5	6
'2	164	0
'3	105	0
'4	84	0
'5	60	0
'6	18	0
'7	21	0
'8	0	0
'9	0	0
'10	0	0
11-15	26	0
16-20	0	0
21-50	48	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	0.3	85.7
'2	8.7	0.0
'3	5.6	0.0
'4	4.5	0.0
'5	3.2	0.0
'6	1.0	0.0
'7	1.1	0.0
'8	0.0	0.0
'9	0.0	0.0
'10	0.0	0.0
11-15	1.4	0.0
16-20	0.0	0.0
21-50	2.6	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
