Orthogroup	Mycobacterium_leprae	Neisseria_gonorrhoeae	Total
OG0000000	25	0	25
OG0000001	23	0	23
OG0000002	14	0	14
OG0000003	12	0	12
OG0000004	7	0	7
OG0000005	7	0	7
OG0000006	7	0	7
OG0000007	6	0	6
OG0000008	6	0	6
OG0000009	6	0	6
OG0000010	5	1	6
OG0000011	5	0	5
OG0000012	5	0	5
OG0000013	5	0	5
OG0000014	5	0	5
OG0000015	5	0	5
OG0000016	5	0	5
OG0000017	5	0	5
OG0000018	5	0	5
OG0000019	5	0	5
OG0000020	5	0	5
OG0000021	5	0	5
OG0000022	4	0	4
OG0000023	4	0	4
OG0000024	4	0	4
OG0000025	4	0	4
OG0000026	4	0	4
OG0000027	4	0	4
OG0000028	4	0	4
OG0000029	4	0	4
OG0000030	4	0	4
OG0000031	4	0	4
OG0000032	4	0	4
OG0000033	4	0	4
OG0000034	4	0	4
OG0000035	4	0	4
OG0000036	4	0	4
OG0000037	4	0	4
OG0000038	4	0	4
OG0000039	4	0	4
OG0000040	4	0	4
OG0000041	4	0	4
OG0000042	4	0	4
OG0000043	3	0	3
OG0000044	3	0	3
OG0000045	3	0	3
OG0000046	3	0	3
OG0000047	3	0	3
OG0000048	3	0	3
OG0000049	3	0	3
OG0000050	3	0	3
OG0000051	3	0	3
OG0000052	3	0	3
OG0000053	3	0	3
OG0000054	3	0	3
OG0000055	3	0	3
OG0000056	3	0	3
OG0000057	3	0	3
OG0000058	3	0	3
OG0000059	3	0	3
OG0000060	3	0	3
OG0000061	3	0	3
OG0000062	3	0	3
OG0000063	3	0	3
OG0000064	3	0	3
OG0000065	3	0	3
OG0000066	3	0	3
OG0000067	3	0	3
OG0000068	3	0	3
OG0000069	3	0	3
OG0000070	3	0	3
OG0000071	3	0	3
OG0000072	3	0	3
OG0000073	3	0	3
OG0000074	3	0	3
OG0000075	3	0	3
OG0000076	3	0	3
OG0000077	3	0	3
OG0000078	2	0	2
OG0000079	2	0	2
OG0000080	2	0	2
OG0000081	2	0	2
OG0000082	2	0	2
OG0000083	2	0	2
OG0000084	2	0	2
OG0000085	2	0	2
OG0000086	2	0	2
OG0000087	2	0	2
OG0000088	2	0	2
OG0000089	2	0	2
OG0000090	2	0	2
OG0000091	2	0	2
OG0000092	2	0	2
OG0000093	2	0	2
OG0000094	2	0	2
OG0000095	2	0	2
OG0000096	2	0	2
OG0000097	2	0	2
OG0000098	2	0	2
OG0000099	2	0	2
OG0000100	2	0	2
OG0000101	2	0	2
OG0000102	2	0	2
OG0000103	2	0	2
OG0000104	2	0	2
OG0000105	2	0	2
OG0000106	2	0	2
OG0000107	2	0	2
OG0000108	2	0	2
OG0000109	2	0	2
OG0000110	2	0	2
OG0000111	2	0	2
OG0000112	2	0	2
OG0000113	2	0	2
OG0000114	2	0	2
OG0000115	2	0	2
OG0000116	2	0	2
OG0000117	2	0	2
OG0000118	2	0	2
OG0000119	2	0	2
OG0000120	2	0	2
OG0000121	2	0	2
OG0000122	2	0	2
OG0000123	2	0	2
OG0000124	2	0	2
OG0000125	2	0	2
OG0000126	2	0	2
OG0000127	2	0	2
OG0000128	2	0	2
OG0000129	2	0	2
OG0000130	2	0	2
OG0000131	2	0	2
OG0000132	2	0	2
OG0000133	2	0	2
OG0000134	2	0	2
OG0000135	2	0	2
OG0000136	2	0	2
OG0000137	2	0	2
OG0000138	2	0	2
OG0000139	2	0	2
OG0000140	2	0	2
OG0000141	2	0	2
OG0000142	2	0	2
OG0000143	2	0	2
OG0000144	2	0	2
OG0000145	2	0	2
OG0000146	2	0	2
OG0000147	2	0	2
OG0000148	2	0	2
OG0000149	2	0	2
OG0000150	2	0	2
OG0000151	2	0	2
OG0000152	1	1	2
OG0000153	1	1	2
OG0000154	1	1	2
OG0000155	2	0	2
OG0000156	1	1	2
OG0000157	1	1	2
OG0000158	2	0	2
OG0000159	2	0	2
OG0000160	2	0	2
OG0000161	2	0	2
OG0000162	2	0	2
OG0000163	2	0	2
OG0000164	2	0	2
