0_458	1_2	29.070	86	58	2	434	517	243	327	6.14e-07	38.9
0_458	1_2	27.711	83	57	2	328	410	47	126	2.96e-06	37.0
0_629	1_0	34.884	43	28	0	85	127	45	87	3.77e-04	28.5
0_874	1_2	30.303	66	35	3	207	272	95	149	0.001	28.1
0_1188	1_2	32.576	132	78	4	319	449	5	126	1.12e-10	50.8
0_1188	1_2	25.581	86	64	0	455	540	244	329	1.02e-06	38.5
0_1464	1_5	50.000	154	76	1	34	186	8	161	5.68e-50	150
0_1465	1_4	52.857	70	31	2	12	79	1	70	1.04e-21	69.7
0_1475	1_3	48.889	135	69	0	1	135	1	135	3.27e-49	144
0_1489	1_2	55.856	333	144	3	363	694	1	331	3.05e-136	393
0_1499	1_1	52.756	127	54	2	4	130	3	123	1.74e-31	98.2
0_1509	1_0	50.216	231	115	0	1	231	1	231	6.75e-80	229
