	Mycobacterium_leprae	Salmonella_enterica
Number of genes	1875	4116
Number of genes in orthogroups	911	2566
Number of unassigned genes	964	1550
Percentage of genes in orthogroups	48.6	62.3
Percentage of unassigned genes	51.4	37.7
Number of orthogroups containing species	709	1099
Percentage of orthogroups containing species	61.1	94.7
Number of species-specific orthogroups	61	451
Number of genes in species-specific orthogroups	181	1511
Percentage of genes in species-specific orthogroups	9.7	36.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	451	61
'1	586	493
'2	83	315
'3	25	137
'4	8	48
'5	4	28
'6	2	27
'7	0	12
'8	0	11
'9	0	5
'10	0	7
11-15	0	10
16-20	1	3
21-50	0	3
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	38.9	5.3
'1	50.5	42.5
'2	7.2	27.2
'3	2.2	11.8
'4	0.7	4.1
'5	0.3	2.4
'6	0.2	2.3
'7	0.0	1.0
'8	0.0	0.9
'9	0.0	0.4
'10	0.0	0.6
11-15	0.0	0.9
16-20	0.1	0.3
21-50	0.0	0.3
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	586	493
'2	166	630
'3	75	411
'4	32	192
'5	20	140
'6	12	162
'7	0	84
'8	0	88
'9	0	45
'10	0	70
11-15	0	132
16-20	20	51
21-50	0	68
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	31.3	12.0
'2	8.9	15.3
'3	4.0	10.0
'4	1.7	4.7
'5	1.1	3.4
'6	0.6	3.9
'7	0.0	2.0
'8	0.0	2.1
'9	0.0	1.1
'10	0.0	1.7
11-15	0.0	3.2
16-20	1.1	1.2
21-50	0.0	1.7
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
