	Mycobacterium_tuberculosis	Neisseria_gonorrhoeae
Number of genes	3562	7
Number of genes in orthogroups	2004	6
Number of unassigned genes	1558	1
Percentage of genes in orthogroups	56.3	85.7
Percentage of unassigned genes	43.7	14.3
Number of orthogroups containing species	450	6
Percentage of orthogroups containing species	100.0	1.3
Number of species-specific orthogroups	444	0
Number of genes in species-specific orthogroups	1998	0
Percentage of genes in species-specific orthogroups	56.1	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	0	444
'1	6	6
'2	215	0
'3	82	0
'4	49	0
'5	31	0
'6	9	0
'7	12	0
'8	13	0
'9	2	0
'10	2	0
11-15	13	0
16-20	5	0
21-50	9	0
51-100	2	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.0	98.7
'1	1.3	1.3
'2	47.8	0.0
'3	18.2	0.0
'4	10.9	0.0
'5	6.9	0.0
'6	2.0	0.0
'7	2.7	0.0
'8	2.9	0.0
'9	0.4	0.0
'10	0.4	0.0
11-15	2.9	0.0
16-20	1.1	0.0
21-50	2.0	0.0
51-100	0.4	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	6	6
'2	430	0
'3	246	0
'4	196	0
'5	155	0
'6	54	0
'7	84	0
'8	104	0
'9	18	0
'10	20	0
11-15	167	0
16-20	91	0
21-50	288	0
51-100	145	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	0.2	85.7
'2	12.1	0.0
'3	6.9	0.0
'4	5.5	0.0
'5	4.4	0.0
'6	1.5	0.0
'7	2.4	0.0
'8	2.9	0.0
'9	0.5	0.0
'10	0.6	0.0
11-15	4.7	0.0
16-20	2.6	0.0
21-50	8.1	0.0
51-100	4.1	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
