Orthogroup	Mycobacterium_tuberculosis	Neisseria_gonorrhoeae	Total
OG0000000	84	0	84
OG0000001	61	0	61
OG0000002	47	0	47
OG0000003	42	0	42
OG0000004	39	0	39
OG0000005	33	0	33
OG0000006	32	0	32
OG0000007	28	0	28
OG0000008	25	0	25
OG0000009	21	0	21
OG0000010	21	0	21
OG0000011	20	0	20
OG0000012	19	0	19
OG0000013	18	0	18
OG0000014	18	0	18
OG0000015	16	0	16
OG0000016	15	0	15
OG0000017	15	0	15
OG0000018	14	0	14
OG0000019	13	0	13
OG0000020	13	0	13
OG0000021	13	0	13
OG0000022	13	0	13
OG0000023	13	0	13
OG0000024	13	0	13
OG0000025	12	0	12
OG0000026	11	0	11
OG0000027	11	0	11
OG0000028	11	0	11
OG0000029	10	0	10
OG0000030	10	0	10
OG0000031	9	0	9
OG0000032	9	0	9
OG0000033	8	0	8
OG0000034	8	0	8
OG0000035	8	0	8
OG0000036	8	0	8
OG0000037	8	0	8
OG0000038	8	0	8
OG0000039	8	0	8
OG0000040	8	0	8
OG0000041	8	0	8
OG0000042	8	0	8
OG0000043	8	0	8
OG0000044	8	0	8
OG0000045	8	0	8
OG0000046	7	0	7
OG0000047	7	0	7
OG0000048	7	0	7
OG0000049	7	0	7
OG0000050	7	0	7
OG0000051	7	0	7
OG0000052	7	0	7
OG0000053	7	0	7
OG0000054	7	0	7
OG0000055	7	0	7
OG0000056	7	0	7
OG0000057	7	0	7
OG0000058	6	0	6
OG0000059	6	0	6
OG0000060	6	0	6
OG0000061	6	0	6
OG0000062	6	0	6
OG0000063	6	0	6
OG0000064	6	0	6
OG0000065	6	0	6
OG0000066	6	0	6
OG0000067	5	0	5
OG0000068	5	0	5
OG0000069	5	0	5
OG0000070	5	0	5
OG0000071	5	0	5
OG0000072	5	0	5
OG0000073	5	0	5
OG0000074	5	0	5
OG0000075	5	0	5
OG0000076	5	0	5
OG0000077	5	0	5
OG0000078	5	0	5
OG0000079	5	0	5
OG0000080	5	0	5
OG0000081	5	0	5
OG0000082	5	0	5
OG0000083	5	0	5
OG0000084	5	0	5
OG0000085	5	0	5
OG0000086	5	0	5
OG0000087	5	0	5
OG0000088	5	0	5
OG0000089	5	0	5
OG0000090	5	0	5
OG0000091	5	0	5
OG0000092	5	0	5
OG0000093	5	0	5
OG0000094	5	0	5
OG0000095	5	0	5
OG0000096	5	0	5
OG0000097	5	0	5
OG0000098	4	0	4
OG0000099	4	0	4
OG0000100	4	0	4
OG0000101	4	0	4
OG0000102	4	0	4
OG0000103	4	0	4
OG0000104	4	0	4
OG0000105	4	0	4
OG0000106	4	0	4
OG0000107	4	0	4
OG0000108	4	0	4
OG0000109	4	0	4
OG0000110	4	0	4
OG0000111	4	0	4
OG0000112	4	0	4
OG0000113	4	0	4
OG0000114	4	0	4
OG0000115	4	0	4
OG0000116	4	0	4
OG0000117	4	0	4
OG0000118	4	0	4
OG0000119	4	0	4
OG0000120	4	0	4
OG0000121	4	0	4
OG0000122	4	0	4
