0_118	1_2	41.250	320	187	1	391	709	12	331	4.90e-86	263
0_293	1_3	37.838	37	23	0	34	70	81	117	1.01e-04	29.6
0_634	1_0	49.784	231	116	0	1	231	1	231	4.16e-78	224
0_645	1_1	52.756	127	54	2	4	130	3	123	1.81e-32	100
0_673	1_2	55.389	334	144	4	363	694	1	331	8.46e-134	387
0_695	1_3	48.148	135	70	0	1	135	1	135	1.76e-48	142
0_707	1_4	55.714	70	29	1	55	122	1	70	1.85e-22	73.2
0_708	1_5	50.000	154	77	0	42	195	13	166	1.19e-52	157
0_1152	1_2	33.333	123	71	3	290	411	14	126	1.02e-12	57.0
0_1152	1_2	29.870	77	54	0	417	493	244	320	2.14e-07	40.4
0_1775	1_3	32.759	58	31	2	61	115	29	81	4.30e-04	28.9
0_2373	1_2	30.120	83	55	2	344	426	47	126	1.25e-07	41.2
0_2373	1_2	30.667	75	51	1	450	524	243	316	1.40e-06	38.1
0_2649	1_1	64.706	17	6	0	64	80	56	72	5.81e-04	26.9
0_3160	1_0	32.759	58	36	1	93	150	45	99	1.20e-04	30.0
