	Mycobacterium_tuberculosis	Pseudomonas_aeruginosa
Number of genes	3562	5514
Number of genes in orthogroups	2228	3630
Number of unassigned genes	1334	1884
Percentage of genes in orthogroups	62.5	65.8
Percentage of unassigned genes	37.5	34.2
Number of orthogroups containing species	1346	1542
Percentage of orthogroups containing species	74.5	85.4
Number of species-specific orthogroups	264	460
Number of genes in species-specific orthogroups	940	1699
Percentage of genes in species-specific orthogroups	26.4	30.8


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	460	264
'1	960	780
'2	244	391
'3	70	147
'4	33	83
'5	17	39
'6	2	31
'7	4	23
'8	4	5
'9	1	12
'10	1	5
11-15	5	14
16-20	3	4
21-50	0	7
51-100	2	0
101-150	0	1
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	25.5	14.6
'1	53.2	43.2
'2	13.5	21.7
'3	3.9	8.1
'4	1.8	4.6
'5	0.9	2.2
'6	0.1	1.7
'7	0.2	1.3
'8	0.2	0.3
'9	0.1	0.7
'10	0.1	0.3
11-15	0.3	0.8
16-20	0.2	0.2
21-50	0.0	0.4
51-100	0.1	0.0
101-150	0.0	0.1
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	960	780
'2	488	782
'3	210	441
'4	132	332
'5	85	195
'6	12	186
'7	28	161
'8	32	40
'9	9	108
'10	10	50
11-15	63	173
16-20	52	69
21-50	0	206
51-100	147	0
101-150	0	107
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	27.0	14.1
'2	13.7	14.2
'3	5.9	8.0
'4	3.7	6.0
'5	2.4	3.5
'6	0.3	3.4
'7	0.8	2.9
'8	0.9	0.7
'9	0.3	2.0
'10	0.3	0.9
11-15	1.8	3.1
16-20	1.5	1.3
21-50	0.0	3.7
51-100	4.1	0.0
101-150	0.0	1.9
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
