Orthogroup	Neisseria_gonorrhoeae	Salmonella_enterica	Total
OG0000000	0	73	73
OG0000001	0	52	52
OG0000002	0	39	39
OG0000003	0	27	27
OG0000004	0	26	26
OG0000005	0	24	24
OG0000006	0	21	21
OG0000007	0	20	20
OG0000008	0	18	18
OG0000009	0	18	18
OG0000010	0	16	16
OG0000011	0	14	14
OG0000012	0	13	13
OG0000013	0	13	13
OG0000014	0	13	13
OG0000015	0	12	12
OG0000016	0	12	12
OG0000017	0	12	12
OG0000018	0	12	12
OG0000019	0	11	11
OG0000020	0	11	11
OG0000021	0	10	10
OG0000022	0	10	10
OG0000023	0	10	10
OG0000024	0	10	10
OG0000025	0	10	10
OG0000026	0	10	10
OG0000027	0	10	10
OG0000028	0	10	10
OG0000029	0	9	9
OG0000030	0	9	9
OG0000031	0	9	9
OG0000032	0	9	9
OG0000033	0	9	9
OG0000034	0	9	9
OG0000035	0	8	8
OG0000036	0	8	8
OG0000037	0	8	8
OG0000038	0	8	8
OG0000039	0	8	8
OG0000040	0	8	8
OG0000041	0	8	8
OG0000042	0	8	8
OG0000043	0	8	8
OG0000044	0	8	8
OG0000045	0	7	7
OG0000046	0	7	7
OG0000047	0	7	7
OG0000048	0	7	7
OG0000049	0	7	7
OG0000050	0	7	7
OG0000051	0	7	7
OG0000052	0	7	7
OG0000053	0	7	7
OG0000054	0	7	7
OG0000055	0	7	7
OG0000056	0	7	7
OG0000057	0	7	7
OG0000058	0	7	7
OG0000059	0	7	7
OG0000060	0	7	7
OG0000061	0	7	7
OG0000062	0	7	7
OG0000063	0	7	7
OG0000064	0	7	7
OG0000065	0	6	6
OG0000066	0	6	6
OG0000067	0	6	6
OG0000068	0	6	6
OG0000069	0	6	6
OG0000070	0	6	6
OG0000071	0	6	6
OG0000072	0	6	6
OG0000073	0	6	6
OG0000074	0	6	6
OG0000075	0	6	6
OG0000076	0	6	6
OG0000077	0	6	6
OG0000078	0	6	6
OG0000079	0	6	6
OG0000080	0	6	6
OG0000081	0	6	6
OG0000082	0	6	6
OG0000083	0	6	6
OG0000084	0	6	6
OG0000085	0	6	6
OG0000086	0	6	6
OG0000087	0	6	6
OG0000088	0	6	6
OG0000089	0	6	6
OG0000090	0	5	5
OG0000091	0	5	5
OG0000092	0	5	5
OG0000093	0	5	5
