Orthogroup	Acinetobacter_baumannii	Mycobacterium_leprae	Mycobacterium_tuberculosis	Neisseria_gonorrhoeae	Pseudomonas_aeruginosa	Salmonella_enterica
OG0003220	g4.t1					
OG0003221	g19.t1					
OG0003222	g34.t1					
OG0003223	g36.t1					
OG0003224	g43.t1					
OG0003225	g77.t1					
OG0003226	g80.t1					
OG0003227	g86.t1					
OG0003228	g87.t1					
OG0003229	g88.t1					
OG0003230	g89.t1					
OG0003231	g90.t1					
OG0003232	g101.t1					
OG0003233	g124.t1					
OG0003234	g157.t1					
OG0003235	g158.t1					
OG0003236	g161.t1					
OG0003237	g177.t1					
OG0003238	g229.t1					
OG0003239	g242.t1					
OG0003240	g251.t1					
OG0003241	g287.t1					
OG0003242	g297.t1					
OG0003243	g305.t1					
OG0003244	g306.t1					
OG0003245	g311.t1					
OG0003246	g317.t1					
OG0003247	g336.t1					
OG0003248	g337.t1					
OG0003249	g374.t1					
OG0003250	g429.t1					
OG0003251	g434.t1					
OG0003252	g440.t1					
OG0003253	g458.t1					
OG0003254	g459.t1					
OG0003255	g471.t1					
OG0003256	g474.t1					
OG0003257	g478.t1					
OG0003258	g503.t1					
OG0003259		g20.t1				
OG0003260		g21.t1				
OG0003261		g23.t1				
OG0003262		g26.t1				
OG0003263		g27.t1				
OG0003264		g28.t1				
OG0003265		g31.t1				
OG0003266		g32.t1				
OG0003267		g33.t1				
OG0003268		g34.t1				
OG0003269		g38.t1				
OG0003270		g45.t1				
OG0003271		g48.t1				
OG0003272		g49.t1				
OG0003273		g53.t1				
OG0003274		g54.t1				
OG0003275		g55.t1				
OG0003276		g56.t1				
OG0003277		g58.t1				
OG0003278		g62.t1				
OG0003279		g63.t1				
OG0003280		g65.t1				
OG0003281		g69.t1				
OG0003282		g71.t1				
OG0003283		g72.t1				
OG0003284		g73.t1				
OG0003285		g74.t1				
OG0003286		g77.t1				
OG0003287		g82.t1				
OG0003288		g86.t1				
OG0003289		g89.t1				
OG0003290		g90.t1				
OG0003291		g91.t1				
OG0003292		g92.t1				
OG0003293		g94.t1				
OG0003294		g95.t1				
OG0003295		g96.t1				
OG0003296		g100.t1				
OG0003297		g102.t1				
OG0003298		g104.t1				
OG0003299		g116.t1				
OG0003300		g124.t1				
OG0003301		g129.t1				
OG0003302		g130.t1				
OG0003303		g132.t1				
OG0003304		g136.t1				
OG0003305		g138.t1				
OG0003306		g145.t1				
OG0003307		g152.t1				
OG0003308		g157.t1				
OG0003309		g158.t1				
OG0003310		g159.t1				
OG0003311		g161.t1				
OG0003312		g165.t1				
OG0003313		g168.t1				
OG0003314		g171.t1				
OG0003315		g174.t1				
OG0003316		g175.t1				
OG0003317		g176.t1				
OG0003318		g201.t1				
OG0003319		g211.t1				
OG0003320		g213.t1				
OG0003321		g214.t1				
OG0003322		g216.t1				
OG0003323		g221.t1				
OG0003324		g222.t1				
OG0003325		g231.t1				
OG0003326		g240.t1				
OG0003327		g241.t1				
OG0003328		g256.t1				
OG0003329		g264.t1				
OG0003330		g269.t1				
OG0003331		g275.t1				
OG0003332		g276.t1				
OG0003333		g281.t1				
OG0003334		g296.t1				
OG0003335		g297.t1				
OG0003336		g301.t1				
OG0003337		g309.t1				
OG0003338		g312.t1				
OG0003339		g321.t1				
OG0003340		g322.t1				
OG0003341		g323.t1				
OG0003342		g324.t1				
OG0003343		g326.t1				
OG0003344		g335.t1				
OG0003345		g337.t1				
OG0003346		g340.t1				
OG0003347		g342.t1				
OG0003348		g349.t1				
OG0003349		g361.t1				
OG0003350		g363.t1				
OG0003351		g366.t1				
OG0003352		g369.t1				
OG0003353		g394.t1				
OG0003354		g403.t1				
OG0003355		g417.t1				
OG0003356		g418.t1				
OG0003357		g419.t1				
OG0003358		g420.t1				
OG0003359		g421.t1				
OG0003360		g426.t1				
OG0003361		g427.t1				
OG0003362		g429.t1				
OG0003363		g433.t1				
OG0003364		g449.t1				
OG0003365		g451.t1				
OG0003366		g461.t1				
OG0003367		g462.t1				
OG0003368		g464.t1				
OG0003369		g467.t1				
OG0003370		g470.t1				
OG0003371		g481.t1				
OG0003372		g491.t1				
OG0003373		g492.t1				
OG0003374		g495.t1				
OG0003375		g496.t1				
OG0003376		g510.t1				
OG0003377		g511.t1				
OG0003378		g520.t1				
OG0003379		g521.t1				
OG0003380		g524.t1				
OG0003381		g525.t1				
OG0003382		g526.t1				
OG0003383		g528.t1				
OG0003384		g534.t1				
OG0003385		g535.t1				
OG0003386		g536.t1				
OG0003387		g541.t1				
OG0003388		g545.t1				
OG0003389		g548.t1				
OG0003390		g550.t1				
OG0003391		g567.t1				
OG0003392		g569.t1				
OG0003393		g571.t1				
OG0003394		g572.t1				
OG0003395		g574.t1				
OG0003396		g584.t1				
OG0003397		g594.t1				
OG0003398		g607.t1				
OG0003399		g612.t1				
OG0003400		g613.t1				
OG0003401		g632.t1				
OG0003402		g633.t1				
OG0003403		g634.t1				
OG0003404		g635.t1				
OG0003405		g641.t1				
OG0003406		g648.t1				
OG0003407		g650.t1				
OG0003408		g651.t1				
OG0003409		g656.t1				
OG0003410		g691.t1				
OG0003411		g727.t1				
OG0003412		g731.t1				
OG0003413		g732.t1				
OG0003414		g733.t1				
OG0003415		g736.t1				
OG0003416		g738.t1				
OG0003417		g744.t1				
OG0003418		g747.t1				
OG0003419		g748.t1				
OG0003420		g753.t1				
OG0003421		g755.t1				
OG0003422		g757.t1				
OG0003423		g762.t1				
OG0003424		g766.t1				
OG0003425		g776.t1				
OG0003426		g783.t1				
OG0003427		g807.t1				
OG0003428		g808.t1				
OG0003429		g838.t1				
OG0003430		g844.t1				
OG0003431		g848.t1				
OG0003432		g854.t1				
OG0003433		g856.t1				
OG0003434		g858.t1				
OG0003435		g859.t1				
OG0003436		g867.t1				
OG0003437		g901.t1				
OG0003438		g903.t1				
OG0003439		g906.t1				
OG0003440		g909.t1				
OG0003441		g919.t1				
OG0003442		g920.t1				
OG0003443		g922.t1				
OG0003444		g923.t1				
OG0003445		g925.t1				
OG0003446		g926.t1				
OG0003447		g927.t1				
OG0003448		g928.t1				
OG0003449		g929.t1				
OG0003450		g930.t1				
OG0003451		g936.t1				
OG0003452		g942.t1				
OG0003453		g943.t1				
OG0003454		g945.t1				
OG0003455		g948.t1				
OG0003456		g950.t1				
OG0003457		g964.t1				
OG0003458		g971.t1				
OG0003459		g990.t1				
OG0003460		g1002.t1				
OG0003461		g1004.t1				
OG0003462		g1007.t1				
OG0003463		g1025.t1				
OG0003464		g1026.t1				
OG0003465		g1027.t1				
OG0003466		g1031.t1				
OG0003467		g1047.t1				
OG0003468		g1049.t1				
OG0003469		g1050.t1				
OG0003470		g1055.t1				
OG0003471		g1059.t1				
OG0003472		g1076.t1				
OG0003473		g1077.t1				
OG0003474		g1080.t1				
OG0003475		g1083.t1				
OG0003476		g1088.t1				
OG0003477		g1089.t1				
OG0003478		g1090.t1				
OG0003479		g1105.t1				
OG0003480		g1116.t1				
OG0003481		g1118.t1				
OG0003482		g1124.t1				
OG0003483		g1127.t1				
OG0003484		g1129.t1				
OG0003485		g1130.t1				
OG0003486		g1131.t1				
OG0003487		g1134.t1				
OG0003488		g1144.t1				
OG0003489		g1146.t1				
OG0003490		g1148.t1				
OG0003491		g1193.t1				
OG0003492		g1195.t1				
OG0003493		g1197.t1				
OG0003494		g1210.t1				
OG0003495		g1212.t1				
OG0003496		g1216.t1				
OG0003497		g1217.t1				
OG0003498		g1218.t1				
OG0003499		g1238.t1				
OG0003500		g1242.t1				
OG0003501		g1251.t1				
OG0003502		g1256.t1				
OG0003503		g1257.t1				
OG0003504		g1263.t1				
OG0003505		g1264.t1				
OG0003506		g1265.t1				
OG0003507		g1279.t1				
OG0003508		g1281.t1				
OG0003509		g1282.t1				
OG0003510		g1299.t1				
OG0003511		g1300.t1				
OG0003512		g1315.t1				
OG0003513		g1316.t1				
OG0003514		g1318.t1				
OG0003515		g1322.t1				
OG0003516		g1325.t1				
OG0003517		g1337.t1				
OG0003518		g1340.t1				
OG0003519		g1344.t1				
OG0003520		g1350.t1				
OG0003521		g1365.t1				
OG0003522		g1366.t1				
OG0003523		g1367.t1				
OG0003524		g1379.t1				
OG0003525		g1386.t1				
OG0003526		g1387.t1				
OG0003527		g1390.t1				
OG0003528		g1391.t1				
OG0003529		g1399.t1				
OG0003530		g1403.t1				
OG0003531		g1404.t1				
OG0003532		g1405.t1				
OG0003533		g1406.t1				
OG0003534		g1413.t1				
OG0003535		g1415.t1				
OG0003536		g1417.t1				
OG0003537		g1425.t1				
OG0003538		g1426.t1				
OG0003539		g1428.t1				
OG0003540		g1429.t1				
OG0003541		g1430.t1				
OG0003542		g1433.t1				
OG0003543		g1452.t1				
OG0003544		g1453.t1				
OG0003545		g1456.t1				
OG0003546		g1483.t1				
OG0003547		g1486.t1				
OG0003548		g1508.t1				
OG0003549		g1519.t1				
OG0003550		g1533.t1				
OG0003551		g1534.t1				
OG0003552		g1542.t1				
OG0003553		g1546.t1				
OG0003554		g1561.t1				
OG0003555		g1562.t1				
OG0003556		g1563.t1				
OG0003557		g1565.t1				
OG0003558		g1566.t1				
OG0003559		g1569.t1				
OG0003560		g1576.t1				
OG0003561		g1580.t1				
OG0003562		g1581.t1				
OG0003563		g1586.t1				
OG0003564		g1588.t1				
OG0003565		g1589.t1				
