OG0000000: g117.t1 g131.t1 g185.t1 g289.t1 g314.t1 g35.t1 g401.t1 g422.t1 g44.t1 g524.t1
OG0000001: g123.t1 g129.t1 g174.t1 g20.t1 g258.t1 g319.t1 g37.t1 g57.t1
OG0000002: g100.t1 g212.t1 g427.t1 g469.t1 g473.t1 g490.t1 g99.t1
OG0000003: g136.t1 g234.t1 g239.t1 g254.t1 g322.t1 g383.t1 g435.t1
OG0000004: g191.t1 g196.t1 g22.t1 g3.t1 g365.t1 g418.t1
OG0000005: g108.t1 g112.t1 g265.t1 g282.t1 g386.t1 g470.t1
OG0000006: g115.t1 g192.t1 g262.t1 g385.t1 g453.t1 g516.t1
OG0000007: g290.t1 g31.t1 g315.t1 g33.t1 g443.t1
OG0000008: g181.t1 g249.t1 g358.t1 g436.t1 g49.t1
OG0000009: g424.t1 g477.t1 g496.t1 g55.t1 g63.t1
OG0000010: g142.t1 g151.t1 g200.t1 g439.t1 g85.t1
OG0000011: g121.t1 g165.t1 g230.t1 g259.t1 g394.t1
OG0000012: g132.t1 g213.t1 g268.t1 g269.t1 g328.t1
OG0000013: g331.t1 g356.t1 g361.t1 g483.t1 g507.t1
OG0000014: g156.t1 g24.t1 g397.t1 g482.t1
OG0000015: g236.t1 g354.t1 g38.t1 g59.t1
OG0000016: g266.t1 g364.t1 g39.t1 g421.t1
OG0000017: g267.t1 g327.t1 g362.t1 g64.t1
OG0000018: g170.t1 g197.t1 g400.t1 g520.t1
OG0000019: g27.t1 g414.t1 g449.t1
OG0000020: g171.t1 g30.t1 g370.t1
OG0000021: g113.t1 g53.t1 g93.t1
OG0000022: g339.t1 g517.t1 g56.t1
OG0000023: g193.t1 g391.t1 g75.t1
OG0000024: g164.t1 g303.t1 g81.t1
OG0000025: g138.t1 g141.t1 g378.t1
OG0000026: g425.t1 g430.t1 g431.t1
OG0000027: g105.t1 g13.t1
OG0000028: g26.t1 g484.t1
OG0000029: g205.t1 g54.t1
OG0000030: g284.t1 g58.t1
OG0000031: g399.t1 g67.t1
OG0000032: g148.t1 g76.t1
OG0000033: g125.t1 g94.t1
OG0000034: g307.t1 g95.t1
OG0000035: g241.t1 g98.t1
OG0000036: g102.t1 g272.t1
OG0000037: g104.t1 g475.t1
OG0000038: g107.t1 g283.t1
OG0000039: g109.t1 g428.t1
OG0000040: g110.t1 g363.t1
OG0000041: g116.t1 g194.t1
OG0000042: g126.t1 g161.t1
OG0000043: g134.t1 g497.t1
OG0000044: g183.t1 g352.t1
OG0000045: g201.t1 g382.t1
OG0000046: g207.t1 g472.t1
OG0000047: g222.t1 g4.t1
OG0000048: g224.t1 g5.t1
OG0000049: g225.t1 g6.t1
OG0000050: g231.t1 g468.t1
OG0000051: g244.t1 g398.t1
OG0000052: g248.t1 g291.t1
OG0000053: g256.t1 g491.t1
OG0000054: g260.t1 g466.t1
OG0000055: g1.t1 g275.t1
OG0000056: g2.t1 g276.t1
OG0000057: g279.t1 g280.t1
OG0000058: g300.t1 g332.t1
OG0000059: g308.t1 g309.t1
OG0000060: g320.t1 g324.t1
OG0000061: g323.t1 g515.t1
OG0000062: g340.t1 g451.t1
OG0000063: g376.t1 g488.t1
OG0000064: g379.t1 g389.t1
OG0000065: g380.t1 g390.t1
OG0000066: g404.t1 g500.t1
OG0000067: g408.t1 g409.t1
OG0000068: g442.t1 g457.t1
OG0000069: g445.t1 g512.t1
OG0000070: g513.t1 g514.t1
OG0000071: g1.t1
OG0000072: g2.t1
OG0000073: g3.t1
OG0000074: g4.t1
OG0000075: g5.t1
OG0000076: g6.t1
OG0000077: g7.t1
OG0000078: g8.t1
OG0000079: g9.t1
OG0000080: g10.t1
OG0000081: g11.t1
OG0000082: g12.t1
OG0000083: g14.t1
OG0000084: g15.t1
OG0000085: g16.t1
OG0000086: g17.t1
OG0000087: g18.t1
OG0000088: g19.t1
OG0000089: g21.t1
OG0000090: g23.t1
OG0000091: g25.t1
OG0000092: g28.t1
OG0000093: g29.t1
OG0000094: g32.t1
OG0000095: g34.t1
OG0000096: g36.t1
OG0000097: g40.t1
OG0000098: g41.t1
OG0000099: g42.t1
OG0000100: g43.t1
OG0000101: g45.t1
OG0000102: g46.t1
OG0000103: g47.t1
OG0000104: g48.t1
OG0000105: g50.t1
OG0000106: g51.t1
OG0000107: g52.t1
OG0000108: g60.t1
OG0000109: g61.t1
OG0000110: g62.t1
OG0000111: g65.t1
OG0000112: g66.t1
OG0000113: g68.t1
OG0000114: g69.t1
OG0000115: g70.t1
OG0000116: g71.t1
OG0000117: g72.t1
OG0000118: g73.t1
OG0000119: g74.t1
OG0000120: g77.t1
OG0000121: g78.t1
OG0000122: g79.t1
OG0000123: g80.t1
OG0000124: g82.t1
OG0000125: g83.t1
OG0000126: g84.t1
OG0000127: g86.t1
OG0000128: g87.t1
OG0000129: g88.t1
OG0000130: g89.t1
OG0000131: g90.t1
OG0000132: g91.t1
OG0000133: g92.t1
OG0000134: g96.t1
OG0000135: g97.t1
OG0000136: g101.t1
OG0000137: g103.t1
OG0000138: g106.t1
OG0000139: g111.t1
OG0000140: g114.t1
OG0000141: g118.t1
OG0000142: g119.t1
OG0000143: g120.t1
OG0000144: g122.t1
OG0000145: g124.t1
OG0000146: g127.t1
OG0000147: g128.t1
OG0000148: g130.t1
OG0000149: g133.t1
OG0000150: g135.t1
OG0000151: g137.t1
OG0000152: g139.t1
OG0000153: g140.t1
OG0000154: g143.t1
OG0000155: g144.t1
OG0000156: g145.t1
OG0000157: g146.t1
OG0000158: g147.t1
OG0000159: g149.t1
OG0000160: g150.t1
OG0000161: g152.t1
OG0000162: g153.t1
OG0000163: g154.t1
OG0000164: g155.t1
OG0000165: g157.t1
OG0000166: g158.t1
OG0000167: g159.t1
OG0000168: g160.t1
OG0000169: g162.t1
OG0000170: g163.t1
OG0000171: g166.t1
OG0000172: g167.t1
OG0000173: g168.t1
OG0000174: g169.t1
OG0000175: g172.t1
OG0000176: g173.t1
OG0000177: g175.t1
OG0000178: g176.t1
OG0000179: g177.t1
OG0000180: g178.t1
OG0000181: g179.t1
OG0000182: g180.t1
OG0000183: g182.t1
OG0000184: g184.t1
OG0000185: g186.t1
OG0000186: g187.t1
OG0000187: g188.t1
OG0000188: g189.t1
OG0000189: g190.t1
OG0000190: g195.t1
OG0000191: g198.t1
OG0000192: g199.t1
OG0000193: g202.t1
OG0000194: g203.t1
OG0000195: g204.t1
OG0000196: g206.t1
OG0000197: g208.t1
OG0000198: g209.t1
OG0000199: g210.t1
OG0000200: g211.t1
OG0000201: g214.t1
OG0000202: g215.t1
OG0000203: g216.t1
OG0000204: g217.t1
OG0000205: g218.t1
OG0000206: g219.t1
OG0000207: g220.t1
OG0000208: g221.t1
OG0000209: g223.t1
OG0000210: g226.t1
OG0000211: g227.t1
OG0000212: g228.t1
OG0000213: g229.t1
OG0000214: g232.t1
OG0000215: g233.t1
OG0000216: g235.t1
