Orthogroup	Acinetobacter_baumannii	Salmonella_enterica
OG0000880	g4.t1	
OG0000881	g19.t1	
OG0000882	g29.t1	
OG0000883	g34.t1	
OG0000884	g36.t1	
OG0000885	g43.t1	
OG0000886	g48.t1	
OG0000887	g51.t1	
OG0000888	g77.t1	
OG0000889	g79.t1	
OG0000890	g80.t1	
OG0000891	g82.t1	
OG0000892	g83.t1	
OG0000893	g86.t1	
OG0000894	g87.t1	
OG0000895	g88.t1	
OG0000896	g89.t1	
OG0000897	g90.t1	
OG0000898	g101.t1	
OG0000899	g111.t1	
OG0000900	g118.t1	
OG0000901	g124.t1	
OG0000902	g140.t1	
OG0000903	g147.t1	
OG0000904	g152.t1	
OG0000905	g157.t1	
OG0000906	g158.t1	
OG0000907	g160.t1	
OG0000908	g176.t1	
OG0000909	g177.t1	
OG0000910	g229.t1	
OG0000911	g235.t1	
OG0000912	g238.t1	
OG0000913	g242.t1	
OG0000914	g251.t1	
OG0000915	g253.t1	
OG0000916	g264.t1	
OG0000917	g269.t1	
OG0000918	g287.t1	
OG0000919	g297.t1	
OG0000920	g305.t1	
OG0000921	g306.t1	
OG0000922	g311.t1	
OG0000923	g317.t1	
OG0000924	g321.t1	
OG0000925	g336.t1	
OG0000926	g337.t1	
OG0000927	g338.t1	
OG0000928	g346.t1	
OG0000929	g360.t1	
OG0000930	g369.t1	
OG0000931	g372.t1	
OG0000932	g374.t1	
OG0000933	g377.t1	
OG0000934	g384.t1	
OG0000935	g392.t1	
OG0000936	g395.t1	
OG0000937	g412.t1	
OG0000938	g419.t1	
OG0000939	g426.t1	
OG0000940	g429.t1	
OG0000941	g434.t1	
OG0000942	g440.t1	
OG0000943	g441.t1	
OG0000944	g458.t1	
OG0000945	g459.t1	
OG0000946	g471.t1	
OG0000947	g474.t1	
OG0000948	g476.t1	
OG0000949	g478.t1	
OG0000950	g498.t1	
OG0000951	g503.t1	
OG0000952	g518.t1	
OG0000953		g3.t1
OG0000954		g4.t1
OG0000955		g8.t1
OG0000956		g9.t1
OG0000957		g10.t1
OG0000958		g14.t1
OG0000959		g15.t1
OG0000960		g18.t1
OG0000961		g38.t1
OG0000962		g42.t1
OG0000963		g43.t1
OG0000964		g45.t1
OG0000965		g46.t1
OG0000966		g48.t1
OG0000967		g55.t1
OG0000968		g63.t1
OG0000969		g70.t1
OG0000970		g72.t1
OG0000971		g79.t1
OG0000972		g84.t1
OG0000973		g86.t1
OG0000974		g87.t1
OG0000975		g90.t1
OG0000976		g94.t1
OG0000977		g96.t1
OG0000978		g98.t1
OG0000979		g106.t1
OG0000980		g115.t1
OG0000981		g116.t1
OG0000982		g117.t1
OG0000983		g121.t1
OG0000984		g127.t1
OG0000985		g128.t1
OG0000986		g130.t1
OG0000987		g131.t1
OG0000988		g134.t1
OG0000989		g135.t1
OG0000990		g136.t1
OG0000991		g138.t1
OG0000992		g141.t1
OG0000993		g143.t1
OG0000994		g144.t1
OG0000995		g151.t1
OG0000996		g152.t1
OG0000997		g153.t1
OG0000998		g155.t1
OG0000999		g160.t1
OG0001000		g161.t1
OG0001001		g162.t1
OG0001002		g166.t1
OG0001003		g168.t1
OG0001004		g175.t1
OG0001005		g176.t1
OG0001006		g177.t1
OG0001007		g178.t1
OG0001008		g182.t1
OG0001009		g183.t1
OG0001010		g188.t1
OG0001011		g196.t1
OG0001012		g201.t1
OG0001013		g202.t1
OG0001014		g203.t1
OG0001015		g205.t1
OG0001016		g206.t1
OG0001017		g209.t1
OG0001018		g215.t1
OG0001019		g216.t1
OG0001020		g217.t1
OG0001021		g220.t1
OG0001022		g224.t1
OG0001023		g225.t1
OG0001024		g230.t1
OG0001025		g231.t1
OG0001026		g232.t1
OG0001027		g233.t1
OG0001028		g234.t1
OG0001029		g236.t1
OG0001030		g237.t1
OG0001031		g239.t1
OG0001032		g240.t1
OG0001033		g248.t1
OG0001034		g252.t1
OG0001035		g253.t1
OG0001036		g255.t1
OG0001037		g256.t1
OG0001038		g257.t1
OG0001039		g258.t1
OG0001040		g259.t1
OG0001041		g260.t1
OG0001042		g262.t1
OG0001043		g263.t1
OG0001044		g264.t1
OG0001045		g267.t1
OG0001046		g268.t1
OG0001047		g270.t1
OG0001048		g271.t1
OG0001049		g272.t1
OG0001050		g273.t1
OG0001051		g274.t1
OG0001052		g275.t1
OG0001053		g276.t1
OG0001054		g279.t1
OG0001055		g280.t1
OG0001056		g284.t1
OG0001057		g287.t1
OG0001058		g291.t1
OG0001059		g296.t1
OG0001060		g298.t1
OG0001061		g299.t1
OG0001062		g305.t1
OG0001063		g313.t1
OG0001064		g318.t1
OG0001065		g328.t1
OG0001066		g329.t1
OG0001067		g339.t1
OG0001068		g341.t1
OG0001069		g342.t1
OG0001070		g345.t1
OG0001071		g346.t1
OG0001072		g347.t1
OG0001073		g348.t1
OG0001074		g350.t1
OG0001075		g352.t1
OG0001076		g353.t1
OG0001077		g356.t1
OG0001078		g358.t1
OG0001079		g359.t1
OG0001080		g360.t1
OG0001081		g361.t1
OG0001082		g364.t1
OG0001083		g365.t1
OG0001084		g368.t1
OG0001085		g372.t1
OG0001086		g374.t1
OG0001087		g375.t1
OG0001088		g378.t1
OG0001089		g379.t1
OG0001090		g380.t1
OG0001091		g381.t1
OG0001092		g382.t1
OG0001093		g383.t1
OG0001094		g388.t1
OG0001095		g392.t1
OG0001096		g393.t1
OG0001097		g408.t1
OG0001098		g409.t1
OG0001099		g410.t1
OG0001100		g412.t1
OG0001101		g413.t1
OG0001102		g420.t1
OG0001103		g421.t1
OG0001104		g432.t1
OG0001105		g433.t1
OG0001106		g437.t1
OG0001107		g440.t1
OG0001108		g446.t1
OG0001109		g447.t1
OG0001110		g448.t1
OG0001111		g449.t1
OG0001112		g452.t1
OG0001113		g455.t1
OG0001114		g457.t1
OG0001115		g459.t1
OG0001116		g461.t1
OG0001117		g462.t1
OG0001118		g463.t1
OG0001119		g466.t1
OG0001120		g469.t1
OG0001121		g472.t1
OG0001122		g474.t1
OG0001123		g475.t1
OG0001124		g479.t1
OG0001125		g481.t1
OG0001126		g487.t1
OG0001127		g491.t1
OG0001128		g492.t1
OG0001129		g495.t1
OG0001130		g496.t1
OG0001131		g497.t1
OG0001132		g500.t1
OG0001133		g503.t1
OG0001134		g504.t1
OG0001135		g505.t1
OG0001136		g506.t1
OG0001137		g515.t1
OG0001138		g516.t1
OG0001139		g520.t1
OG0001140		g524.t1
OG0001141		g525.t1
OG0001142		g536.t1
OG0001143		g538.t1
OG0001144		g540.t1
OG0001145		g541.t1
OG0001146		g542.t1
OG0001147		g545.t1
OG0001148		g551.t1
OG0001149		g552.t1
OG0001150		g559.t1
OG0001151		g562.t1
OG0001152		g563.t1
OG0001153		g575.t1
OG0001154		g585.t1
OG0001155		g586.t1
OG0001156		g588.t1
OG0001157		g593.t1
OG0001158		g594.t1
OG0001159		g596.t1
OG0001160		g599.t1
OG0001161		g600.t1
OG0001162		g603.t1
OG0001163		g604.t1
OG0001164		g605.t1
OG0001165		g611.t1
OG0001166		g618.t1
OG0001167		g624.t1
OG0001168		g626.t1
OG0001169		g630.t1
OG0001170		g631.t1
OG0001171		g632.t1
OG0001172		g634.t1
OG0001173		g635.t1
OG0001174		g638.t1
OG0001175		g639.t1
OG0001176		g641.t1
OG0001177		g642.t1
OG0001178		g646.t1
OG0001179		g648.t1
OG0001180		g650.t1
OG0001181		g655.t1
OG0001182		g657.t1
OG0001183		g658.t1
OG0001184		g659.t1
OG0001185		g661.t1
OG0001186		g662.t1
OG0001187		g663.t1
OG0001188		g664.t1
OG0001189		g665.t1
OG0001190		g666.t1
OG0001191		g671.t1
OG0001192		g673.t1
OG0001193		g674.t1
OG0001194		g683.t1
OG0001195		g684.t1
OG0001196		g688.t1
OG0001197		g689.t1
OG0001198		g690.t1
OG0001199		g691.t1
OG0001200		g692.t1
OG0001201		g693.t1
OG0001202		g695.t1
OG0001203		g708.t1
OG0001204		g709.t1
OG0001205		g710.t1
OG0001206		g712.t1
OG0001207		g714.t1
OG0001208		g715.t1
OG0001209		g720.t1
OG0001210		g721.t1
OG0001211		g722.t1
OG0001212		g726.t1
OG0001213		g736.t1
OG0001214		g737.t1
OG0001215		g739.t1
OG0001216		g740.t1
OG0001217		g741.t1
OG0001218		g744.t1
OG0001219		g745.t1
OG0001220		g746.t1
OG0001221		g748.t1
OG0001222		g749.t1
OG0001223		g757.t1
OG0001224		g760.t1
OG0001225		g765.t1
OG0001226		g769.t1
OG0001227		g770.t1
OG0001228		g774.t1
OG0001229		g776.t1
OG0001230		g781.t1
OG0001231		g782.t1
OG0001232		g788.t1
OG0001233		g794.t1
OG0001234		g795.t1
OG0001235		g803.t1
OG0001236		g806.t1
OG0001237		g807.t1
OG0001238		g809.t1
OG0001239		g814.t1
OG0001240		g824.t1
OG0001241		g826.t1
OG0001242		g827.t1
OG0001243		g828.t1
OG0001244		g830.t1
OG0001245		g831.t1
OG0001246		g832.t1
OG0001247		g833.t1
OG0001248		g834.t1
OG0001249		g835.t1
OG0001250		g836.t1
OG0001251		g837.t1
OG0001252		g839.t1
OG0001253		g840.t1
OG0001254		g843.t1
OG0001255		g845.t1
OG0001256		g852.t1
OG0001257		g868.t1
OG0001258		g872.t1
OG0001259		g875.t1
OG0001260		g876.t1
OG0001261		g877.t1
OG0001262		g882.t1
OG0001263		g885.t1
OG0001264		g889.t1
OG0001265		g890.t1
OG0001266		g896.t1
OG0001267		g902.t1
OG0001268		g908.t1
OG0001269		g909.t1
OG0001270		g913.t1
OG0001271		g915.t1
OG0001272		g916.t1
OG0001273		g918.t1
OG0001274		g919.t1
OG0001275		g920.t1
OG0001276		g922.t1
OG0001277		g923.t1
OG0001278		g925.t1
OG0001279		g926.t1
OG0001280		g927.t1
OG0001281		g928.t1
OG0001282		g929.t1
OG0001283		g937.t1
OG0001284		g939.t1
OG0001285		g945.t1
OG0001286		g954.t1
OG0001287		g982.t1
OG0001288		g983.t1
OG0001289		g984.t1
OG0001290		g988.t1
OG0001291		g994.t1
OG0001292		g997.t1
OG0001293		g999.t1
OG0001294		g1000.t1
OG0001295		g1002.t1
OG0001296		g1004.t1
OG0001297		g1005.t1
OG0001298		g1007.t1
OG0001299		g1011.t1
OG0001300		g1012.t1
OG0001301		g1015.t1
OG0001302		g1016.t1
OG0001303		g1017.t1
OG0001304		g1020.t1
OG0001305		g1021.t1
OG0001306		g1022.t1
OG0001307		g1026.t1
OG0001308		g1027.t1
OG0001309		g1028.t1
OG0001310		g1033.t1
OG0001311		g1035.t1
OG0001312		g1039.t1
OG0001313		g1040.t1
OG0001314		g1041.t1
OG0001315		g1044.t1
OG0001316		g1051.t1
OG0001317		g1056.t1
OG0001318		g1058.t1
OG0001319		g1059.t1
OG0001320		g1060.t1
OG0001321		g1061.t1
OG0001322		g1063.t1
OG0001323		g1064.t1
OG0001324		g1065.t1
OG0001325		g1069.t1
OG0001326		g1073.t1
OG0001327		g1079.t1
OG0001328		g1080.t1
OG0001329		g1082.t1
OG0001330		g1083.t1
OG0001331		g1084.t1
OG0001332		g1087.t1
OG0001333		g1089.t1
OG0001334		g1090.t1
OG0001335		g1091.t1
OG0001336		g1092.t1
OG0001337		g1093.t1
OG0001338		g1095.t1
OG0001339		g1099.t1
OG0001340		g1100.t1
OG0001341		g1102.t1
OG0001342		g1103.t1
OG0001343		g1107.t1
OG0001344		g1109.t1
OG0001345		g1110.t1
OG0001346		g1111.t1
OG0001347		g1112.t1
OG0001348		g1118.t1
