Orthogroup	Mycobacterium_tuberculosis	Salmonella_enterica
OG0000000	g1028.t1, g1043.t1, g1053.t1, g1054.t1, g107.t1, g1073.t1, g1078.t1, g1101.t1, g1157.t1, g1161.t1, g1173.t1, g1184.t1, g1203.t1, g123.t1, g1232.t1, g1315.t1, g1386.t1, g1420.t1, g1431.t1, g1440.t1, g1442.t1, g1458.t1, g149.t1, g150.t1, g151.t1, g152.t1, g160.t1, g161.t1, g1631.t1, g1636.t1, g1740.t1, g1749.t1, g1768.t1, g1771.t1, g1784.t1, g1785.t1, g1798.t1, g1820.t1, g1959.t1, g2068.t1, g2077.t1, g2097.t1, g2133.t1, g2298.t1, g2309.t1, g2339.t1, g2366.t1, g2400.t1, g2452.t1, g2454.t1, g2484.t1, g2554.t1, g2579.t1, g2598.t1, g2694.t1, g2721.t1, g278.t1, g279.t1, g2801.t1, g297.t1, g3048.t1, g3303.t1, g3322.t1, g3343.t1, g3426.t1, g3455.t1, g3456.t1, g3459.t1, g3464.t1, g3540.t1, g3545.t1, g528.t1, g574.t1, g729.t1, g733.t1, g734.t1, g741.t1, g821.t1, g823.t1, g824.t1, g860.t1, g964.t1, g965.t1, g967.t1	
OG0000001	g1027.t1, g1120.t1, g1156.t1, g1185.t1, g1350.t1, g1377.t1, g1537.t1, g1688.t1, g1689.t1, g1734.t1, g1767.t1, g1769.t1, g1770.t1, g1781.t1, g1782.t1, g1783.t1, g1786.t1, g1787.t1, g1788.t1, g1897.t1, g1898.t1, g2078.t1, g2093.t1, g2321.t1, g2322.t1, g2325.t1, g2399.t1, g2572.t1, g259.t1, g2720.t1, g2722.t1, g280.t1, g2841.t1, g286.t1, g2966.t1, g2970.t1, g303.t1, g304.t1, g3076.t1, g3086.t1, g3087.t1, g3096.t1, g3112.t1, g3301.t1, g3305.t1, g3308.t1, g3427.t1, g3482.t1, g3483.t1, g3489.t1, g3508.t1, g351.t1, g352.t1, g383.t1, g384.t1, g437.t1, g448.t1, g742.t1, g866.t1, g904.t1, g95.t1	
OG0000002	g1169.t1, g1170.t1, g1339.t1, g1518.t1, g1646.t1, g1647.t1, g1648.t1, g1649.t1, g1892.t1, g2023.t1, g2349.t1, g2350.t1, g2792.t1, g2881.t1, g2882.t1, g2883.t1, g2884.t1, g2885.t1, g2890.t1, g2896.t1, g2897.t1, g2898.t1, g400.t1	
OG0000003	g116.t1	g1381.t1, g1418.t1, g1517.t1, g1601.t1, g2038.t1, g2128.t1, g2173.t1, g2255.t1, g2260.t1, g2404.t1, g2800.t1, g2900.t1, g3592.t1, g3645.t1, g3655.t1, g3699.t1, g3853.t1, g3973.t1, g643.t1, g793.t1
OG0000004	g1244.t1, g135.t1, g1384.t1, g1651.t1, g1757.t1, g1765.t1, g1860.t1, g2239.t1, g2241.t1, g2246.t1, g3009.t1, g3073.t1, g325.t1, g3468.t1, g3495.t1, g563.t1, g752.t1, g754.t1, g766.t1	g3802.t1
OG0000005		g100.t1, g1031.t1, g1222.t1, g1259.t1, g1414.t1, g1900.t1, g2113.t1, g2290.t1, g2940.t1, g2952.t1, g332.t1, g3421.t1, g3437.t1, g3778.t1, g3779.t1, g3846.t1, g3968.t1, g4000.t1, g521.t1, g539.t1
OG0000006	g131.t1, g1349.t1, g1835.t1, g1915.t1, g2132.t1, g2842.t1, g2900.t1, g3022.t1, g3029.t1, g3044.t1, g3144.t1, g3413.t1, g3470.t1, g402.t1, g43.t1, g781.t1, g929.t1, g940.t1	g3051.t1
OG0000007		g1287.t1, g1391.t1, g1464.t1, g1928.t1, g2107.t1, g2357.t1, g2359.t1, g2405.t1, g2637.t1, g2642.t1, g2646.t1, g2927.t1, g3425.t1, g3764.t1, g3981.t1, g4008.t1, g570.t1, g900.t1
OG0000008	g1359.t1, g1737.t1, g1745.t1, g2076.t1, g2138.t1, g2249.t1, g2324.t1, g2444.t1, g2612.t1, g2764.t1, g3136.t1, g3138.t1, g3285.t1, g3335.t1, g3424.t1, g786.t1	g884.t1
OG0000009	g3525.t1	g114.t1, g1327.t1, g1450.t1, g2048.t1, g2049.t1, g2188.t1, g2797.t1, g2798.t1, g3305.t1, g3395.t1, g3455.t1, g3582.t1, g3640.t1, g3642.t1, g3806.t1, g3823.t1
OG0000010	g1254.t1, g14.t1, g15.t1, g1725.t1, g1728.t1, g2058.t1, g2148.t1, g2373.t1, g2863.t1, g2918.t1, g3030.t1, g3474.t1, g3526.t1, g405.t1, g920.t1	g3279.t1
OG0000011	g1360.t1, g1738.t1, g1744.t1, g2075.t1, g2139.t1, g2248.t1, g2323.t1, g2445.t1, g2611.t1, g2765.t1, g3135.t1, g3137.t1, g3284.t1, g3336.t1, g3423.t1, g785.t1	
OG0000012		g1289.t1, g1570.t1, g1578.t1, g2204.t1, g2237.t1, g2392.t1, g2633.t1, g2653.t1, g3158.t1, g3285.t1, g336.t1, g3530.t1, g3734.t1, g3887.t1, g529.t1, g610.t1
OG0000013		g1436.t1, g2056.t1, g2130.t1, g2240.t1, g2752.t1, g2912.t1, g3293.t1, g3457.t1, g3544.t1, g3545.t1, g3584.t1, g3590.t1, g4104.t1, g486.t1
OG0000014	g1139.t1, g144.t1, g145.t1, g1712.t1, g1869.t1, g2705.t1, g281.t1, g3355.t1, g713.t1, g714.t1, g719.t1, g819.t1, g881.t1	
OG0000015	g1130.t1, g1131.t1, g1172.t1, g1513.t1, g1547.t1, g203.t1, g207.t1, g2308.t1, g2892.t1, g397.t1, g445.t1, g503.t1, g666.t1	
OG0000016	g1415.t1, g1741.t1, g222.t1, g2255.t1, g2449.t1, g3037.t1, g3038.t1, g3081.t1, g3193.t1, g3194.t1, g3326.t1, g3429.t1, g883.t1	
OG0000017		g172.t1, g190.t1, g195.t1, g20.t1, g24.t1, g25.t1, g2816.t1, g316.t1, g3397.t1, g3401.t1, g508.t1, g509.t1, g513.t1
OG0000018		g1510.t1, g159.t1, g1591.t1, g2631.t1, g2709.t1, g2768.t1, g3027.t1, g3037.t1, g3286.t1, g3551.t1, g3753.t1, g4075.t1, g798.t1
OG0000019	g1432.t1, g198.t1	g1285.t1, g1392.t1, g1393.t1, g1929.t1, g2360.t1, g3405.t1, g3579.t1, g4007.t1, g569.t1, g899.t1
OG0000020	g2252.t1	g1564.t1, g2059.t1, g246.t1, g2467.t1, g2702.t1, g2771.t1, g311.t1, g3140.t1, g3368.t1, g3558.t1, g888.t1
OG0000021	g1000.t1, g1174.t1, g1334.t1, g1512.t1, g1519.t1, g1905.t1, g2880.t1, g2891.t1, g2899.t1, g34.t1, g399.t1	
OG0000022	g1658.t1, g1710.t1, g2009.t1, g2327.t1, g2605.t1, g323.t1, g572.t1, g726.t1, g80.t1, g817.t1	g1573.t1
OG0000023	g1912.t1, g1913.t1, g273.t1, g3011.t1, g3452.t1, g3493.t1, g3510.t1, g3512.t1, g3513.t1, g3514.t1, g3523.t1	
