Orthogroup	Mycobacterium_leprae	Neisseria_gonorrhoeae
OG0000165	g1.t1	
OG0000166	g2.t1	
OG0000167	g3.t1	
OG0000168	g4.t1	
OG0000169	g5.t1	
OG0000170	g6.t1	
OG0000171	g7.t1	
OG0000172	g9.t1	
OG0000173	g10.t1	
OG0000174	g11.t1	
OG0000175	g17.t1	
OG0000176	g20.t1	
OG0000177	g21.t1	
OG0000178	g22.t1	
OG0000179	g23.t1	
OG0000180	g26.t1	
OG0000181	g27.t1	
OG0000182	g28.t1	
OG0000183	g31.t1	
OG0000184	g32.t1	
OG0000185	g33.t1	
OG0000186	g34.t1	
OG0000187	g37.t1	
OG0000188	g38.t1	
OG0000189	g45.t1	
OG0000190	g46.t1	
OG0000191	g48.t1	
OG0000192	g49.t1	
OG0000193	g52.t1	
OG0000194	g53.t1	
OG0000195	g54.t1	
OG0000196	g55.t1	
OG0000197	g56.t1	
OG0000198	g57.t1	
OG0000199	g58.t1	
OG0000200	g59.t1	
OG0000201	g61.t1	
OG0000202	g63.t1	
OG0000203	g64.t1	
OG0000204	g65.t1	
OG0000205	g68.t1	
OG0000206	g69.t1	
OG0000207	g70.t1	
OG0000208	g71.t1	
OG0000209	g72.t1	
OG0000210	g73.t1	
OG0000211	g74.t1	
OG0000212	g77.t1	
OG0000213	g82.t1	
OG0000214	g86.t1	
OG0000215	g89.t1	
OG0000216	g90.t1	
OG0000217	g91.t1	
OG0000218	g92.t1	
OG0000219	g94.t1	
OG0000220	g95.t1	
OG0000221	g98.t1	
OG0000222	g100.t1	
OG0000223	g102.t1	
OG0000224	g104.t1	
OG0000225	g105.t1	
OG0000226	g106.t1	
OG0000227	g116.t1	
OG0000228	g117.t1	
OG0000229	g118.t1	
OG0000230	g119.t1	
OG0000231	g121.t1	
OG0000232	g122.t1	
OG0000233	g123.t1	
OG0000234	g124.t1	
OG0000235	g125.t1	
OG0000236	g126.t1	
OG0000237	g128.t1	
OG0000238	g129.t1	
OG0000239	g130.t1	
OG0000240	g131.t1	
OG0000241	g132.t1	
OG0000242	g133.t1	
OG0000243	g134.t1	
OG0000244	g135.t1	
OG0000245	g136.t1	
OG0000246	g137.t1	
OG0000247	g138.t1	
OG0000248	g139.t1	
OG0000249	g140.t1	
OG0000250	g144.t1	
OG0000251	g145.t1	
OG0000252	g146.t1	
OG0000253	g147.t1	
OG0000254	g148.t1	
OG0000255	g149.t1	
OG0000256	g150.t1	
OG0000257	g151.t1	
OG0000258	g152.t1	
OG0000259	g153.t1	
OG0000260	g154.t1	
OG0000261	g155.t1	
OG0000262	g156.t1	
OG0000263	g157.t1	
OG0000264	g158.t1	
OG0000265	g159.t1	
OG0000266	g161.t1	
OG0000267	g162.t1	
OG0000268	g165.t1	
OG0000269	g168.t1	
OG0000270	g169.t1	
OG0000271	g170.t1	
OG0000272	g171.t1	
OG0000273	g172.t1	
OG0000274	g173.t1	
OG0000275	g174.t1	
OG0000276	g175.t1	
OG0000277	g176.t1	
OG0000278	g178.t1	
OG0000279	g180.t1	
OG0000280	g181.t1	
OG0000281	g182.t1	
OG0000282	g183.t1	
OG0000283	g184.t1	
OG0000284	g185.t1	
OG0000285	g186.t1	
OG0000286	g187.t1	
OG0000287	g189.t1	
OG0000288	g193.t1	
OG0000289	g195.t1	
OG0000290	g196.t1	
OG0000291	g198.t1	
OG0000292	g199.t1	
OG0000293	g201.t1	
OG0000294	g202.t1	
OG0000295	g204.t1	
OG0000296	g206.t1	
OG0000297	g207.t1	
OG0000298	g208.t1	
OG0000299	g209.t1	
OG0000300	g210.t1	
OG0000301	g211.t1	
OG0000302	g212.t1	
OG0000303	g213.t1	
OG0000304	g214.t1	
OG0000305	g215.t1	
OG0000306	g216.t1	
OG0000307	g220.t1	
OG0000308	g221.t1	
OG0000309	g222.t1	
OG0000310	g223.t1	
OG0000311	g224.t1	
OG0000312	g225.t1	
OG0000313	g226.t1	
OG0000314	g227.t1	
OG0000315	g228.t1	
OG0000316	g229.t1	
OG0000317	g231.t1	
OG0000318	g232.t1	
OG0000319	g233.t1	
OG0000320	g236.t1	
OG0000321	g237.t1	
OG0000322	g238.t1	
OG0000323	g240.t1	
OG0000324	g241.t1	
OG0000325	g242.t1	
OG0000326	g243.t1	
OG0000327	g244.t1	
OG0000328	g246.t1	
OG0000329	g250.t1	
OG0000330	g251.t1	
OG0000331	g252.t1	
OG0000332	g253.t1	
OG0000333	g256.t1	
OG0000334	g257.t1	
OG0000335	g258.t1	
OG0000336	g260.t1	
OG0000337	g261.t1	
OG0000338	g264.t1	
OG0000339	g265.t1	
OG0000340	g268.t1	
OG0000341	g270.t1	
OG0000342	g271.t1	
OG0000343	g272.t1	
OG0000344	g273.t1	
OG0000345	g275.t1	
OG0000346	g276.t1	
OG0000347	g277.t1	
OG0000348	g279.t1	
OG0000349	g280.t1	
OG0000350	g281.t1	
OG0000351	g282.t1	
OG0000352	g285.t1	
OG0000353	g288.t1	
OG0000354	g290.t1	
OG0000355	g293.t1	
OG0000356	g294.t1	
OG0000357	g296.t1	
OG0000358	g297.t1	
OG0000359	g300.t1	
OG0000360	g301.t1	
OG0000361	g302.t1	
