Orthogroup	Acinetobacter_baumannii	Mycobacterium_tuberculosis	Total
OG0000000	0	84	84
OG0000001	0	61	61
OG0000002	0	32	32
OG0000003	1	24	25
OG0000004	0	22	22
OG0000005	0	21	21
OG0000006	0	20	20
OG0000007	1	18	19
OG0000008	0	19	19
OG0000009	0	18	18
OG0000010	0	16	16
OG0000011	0	15	15
OG0000012	0	15	15
OG0000013	0	14	14
OG0000014	7	6	13
OG0000015	0	13	13
OG0000016	0	13	13
OG0000017	0	13	13
OG0000018	0	13	13
OG0000019	2	10	12
OG0000020	0	12	12
OG0000021	0	12	12
OG0000022	1	10	11
OG0000023	0	11	11
OG0000024	0	11	11
OG0000025	2	8	10
OG0000026	2	7	9
OG0000027	0	9	9
OG0000028	0	9	9
OG0000029	0	9	9
OG0000030	0	9	9
OG0000031	1	7	8
OG0000032	0	8	8
OG0000033	0	8	8
OG0000034	0	8	8
OG0000035	0	8	8
OG0000036	0	8	8
OG0000037	0	8	8
OG0000038	0	8	8
OG0000039	0	8	8
OG0000040	0	8	8
OG0000041	0	8	8
OG0000042	1	6	7
OG0000043	2	5	7
OG0000044	5	2	7
OG0000045	0	7	7
OG0000046	0	7	7
OG0000047	0	7	7
OG0000048	0	7	7
OG0000049	0	7	7
OG0000050	0	7	7
OG0000051	0	7	7
OG0000052	0	7	7
OG0000053	0	7	7
OG0000054	1	5	6
OG0000055	1	5	6
OG0000056	0	6	6
OG0000057	0	6	6
OG0000058	0	6	6
OG0000059	0	6	6
OG0000060	0	6	6
OG0000061	0	6	6
OG0000062	0	6	6
OG0000063	0	6	6
OG0000064	0	6	6
OG0000065	3	2	5
OG0000066	1	4	5
OG0000067	1	4	5
OG0000068	2	3	5
OG0000069	1	4	5
OG0000070	1	4	5
OG0000071	1	4	5
OG0000072	2	3	5
OG0000073	1	4	5
OG0000074	1	4	5
OG0000075	1	4	5
OG0000076	1	4	5
OG0000077	0	5	5
OG0000078	0	5	5
OG0000079	0	5	5
OG0000080	0	5	5
OG0000081	0	5	5
OG0000082	0	5	5
OG0000083	0	5	5
OG0000084	0	5	5
OG0000085	0	5	5
OG0000086	0	5	5
OG0000087	0	5	5
OG0000088	0	5	5
OG0000089	0	5	5
OG0000090	0	5	5
OG0000091	0	5	5
OG0000092	0	5	5
OG0000093	0	5	5
OG0000094	0	5	5
OG0000095	0	5	5
OG0000096	0	5	5
OG0000097	0	5	5
OG0000098	0	5	5
OG0000099	0	5	5
OG0000100	0	5	5
OG0000101	0	5	5
OG0000102	0	5	5
OG0000103	0	5	5
OG0000104	0	5	5
OG0000105	0	5	5
OG0000106	4	0	4
OG0000107	3	1	4
OG0000108	4	0	4
OG0000109	3	1	4
OG0000110	2	2	4
OG0000111	3	1	4
OG0000112	2	2	4
OG0000113	3	1	4
OG0000114	1	3	4
OG0000115	2	2	4
OG0000116	1	3	4
OG0000117	1	3	4
OG0000118	2	2	4
OG0000119	1	3	4
OG0000120	1	3	4
OG0000121	2	2	4
OG0000122	1	3	4
OG0000123	1	3	4
OG0000124	1	3	4
OG0000125	0	4	4
OG0000126	0	4	4
OG0000127	0	4	4
OG0000128	0	4	4
OG0000129	0	4	4
OG0000130	0	4	4
OG0000131	0	4	4
OG0000132	0	4	4
OG0000133	0	4	4
OG0000134	0	4	4
OG0000135	0	4	4
OG0000136	0	4	4
OG0000137	0	4	4
OG0000138	0	4	4
OG0000139	0	4	4
OG0000140	0	4	4
OG0000141	0	4	4
OG0000142	0	4	4
OG0000143	0	4	4
OG0000144	0	4	4
OG0000145	0	4	4
OG0000146	0	4	4
OG0000147	0	4	4
OG0000148	0	4	4
OG0000149	0	4	4
OG0000150	0	4	4
OG0000151	0	4	4
OG0000152	0	4	4
OG0000153	0	4	4
OG0000154	0	4	4
OG0000155	0	4	4
OG0000156	0	4	4
OG0000157	0	4	4
OG0000158	0	4	4
OG0000159	0	4	4
OG0000160	0	4	4
OG0000161	0	4	4
OG0000162	0	4	4
OG0000163	0	4	4
OG0000164	0	4	4
OG0000165	0	4	4
OG0000166	0	4	4
OG0000167	0	4	4
OG0000168	1	2	3
OG0000169	1	2	3
OG0000170	1	2	3
OG0000171	2	1	3
OG0000172	2	1	3
OG0000173	2	1	3
OG0000174	1	2	3
OG0000175	1	2	3
OG0000176	2	1	3
OG0000177	2	1	3
OG0000178	1	2	3
OG0000179	2	1	3
OG0000180	3	0	3
OG0000181	2	1	3
OG0000182	2	1	3
OG0000183	1	2	3
OG0000184	1	2	3
OG0000185	2	1	3
OG0000186	1	2	3
OG0000187	1	2	3
OG0000188	1	2	3
OG0000189	1	2	3
OG0000190	2	1	3
OG0000191	2	1	3
OG0000192	2	1	3
OG0000193	2	1	3
OG0000194	2	1	3
