Orthogroup	Mycobacterium_leprae	Pseudomonas_aeruginosa
OG0001222	g4.t1	
OG0001223	g7.t1	
OG0001224	g9.t1	
OG0001225	g10.t1	
OG0001226	g11.t1	
OG0001227	g20.t1	
OG0001228	g21.t1	
OG0001229	g23.t1	
OG0001230	g26.t1	
OG0001231	g27.t1	
OG0001232	g28.t1	
OG0001233	g31.t1	
OG0001234	g32.t1	
OG0001235	g33.t1	
OG0001236	g34.t1	
OG0001237	g37.t1	
OG0001238	g38.t1	
OG0001239	g45.t1	
OG0001240	g48.t1	
OG0001241	g49.t1	
OG0001242	g53.t1	
OG0001243	g54.t1	
OG0001244	g55.t1	
OG0001245	g56.t1	
OG0001246	g58.t1	
OG0001247	g62.t1	
OG0001248	g63.t1	
OG0001249	g65.t1	
OG0001250	g68.t1	
OG0001251	g69.t1	
OG0001252	g70.t1	
OG0001253	g71.t1	
OG0001254	g72.t1	
OG0001255	g73.t1	
OG0001256	g74.t1	
OG0001257	g77.t1	
OG0001258	g82.t1	
OG0001259	g86.t1	
OG0001260	g87.t1	
OG0001261	g89.t1	
OG0001262	g90.t1	
OG0001263	g91.t1	
OG0001264	g92.t1	
OG0001265	g94.t1	
OG0001266	g95.t1	
OG0001267	g96.t1	
OG0001268	g100.t1	
OG0001269	g102.t1	
OG0001270	g104.t1	
OG0001271	g105.t1	
OG0001272	g116.t1	
OG0001273	g117.t1	
OG0001274	g119.t1	
OG0001275	g124.t1	
OG0001276	g125.t1	
OG0001277	g126.t1	
OG0001278	g129.t1	
OG0001279	g130.t1	
OG0001280	g131.t1	
OG0001281	g132.t1	
OG0001282	g133.t1	
OG0001283	g134.t1	
OG0001284	g135.t1	
OG0001285	g136.t1	
OG0001286	g137.t1	
OG0001287	g138.t1	
OG0001288	g139.t1	
OG0001289	g145.t1	
OG0001290	g146.t1	
OG0001291	g147.t1	
OG0001292	g151.t1	
OG0001293	g152.t1	
OG0001294	g155.t1	
OG0001295	g157.t1	
OG0001296	g158.t1	
OG0001297	g159.t1	
OG0001298	g161.t1	
OG0001299	g165.t1	
OG0001300	g168.t1	
OG0001301	g171.t1	
OG0001302	g174.t1	
OG0001303	g175.t1	
OG0001304	g176.t1	
OG0001305	g182.t1	
OG0001306	g183.t1	
OG0001307	g184.t1	
OG0001308	g189.t1	
OG0001309	g191.t1	
OG0001310	g201.t1	
OG0001311	g204.t1	
OG0001312	g206.t1	
OG0001313	g208.t1	
OG0001314	g209.t1	
OG0001315	g211.t1	
OG0001316	g212.t1	
OG0001317	g213.t1	
OG0001318	g214.t1	
OG0001319	g215.t1	
OG0001320	g216.t1	
OG0001321	g220.t1	
OG0001322	g221.t1	
OG0001323	g222.t1	
OG0001324	g223.t1	
OG0001325	g225.t1	
OG0001326	g227.t1	
OG0001327	g228.t1	
OG0001328	g231.t1	
OG0001329	g237.t1	
OG0001330	g239.t1	
OG0001331	g240.t1	
OG0001332	g241.t1	
OG0001333	g243.t1	
OG0001334	g244.t1	
OG0001335	g248.t1	
OG0001336	g250.t1	
OG0001337	g251.t1	
OG0001338	g256.t1	
OG0001339	g261.t1	
OG0001340	g264.t1	
OG0001341	g265.t1	
OG0001342	g268.t1	
OG0001343	g269.t1	
OG0001344	g270.t1	
OG0001345	g271.t1	
OG0001346	g275.t1	
OG0001347	g276.t1	
OG0001348	g277.t1	
OG0001349	g281.t1	
OG0001350	g288.t1	
OG0001351	g290.t1	
OG0001352	g292.t1	
