OG0000000: g111.t1 g1132.t1 g1133.t1 g1134.t1 g1135.t1 g1136.t1 g1137.t1 g1138.t1 g1139.t1 g115.t1 g1304.t1 g1306.t1 g1307.t1 g1515.t1 g1867.t1 g1868.t1 g1869.t1 g1870.t1 g1871.t1 g1872.t1 g1873.t1 g79.t1 g80.t1 g933.t1 g965.t1
OG0000001: g1003.t1 g1090.t1 g1096.t1 g1120.t1 g1373.t1 g1450.t1 g1499.t1 g1616.t1 g1643.t1 g1723.t1 g1866.t1 g259.t1 g440.t1 g445.t1 g504.t1 g570.t1 g654.t1 g835.t1 g860.t1 g861.t1 g869.t1 g93.t1 g977.t1
OG0000002: g109.t1 g110.t1 g114.t1 g1574.t1 g1575.t1 g1771.t1 g1874.t1 g197.t1 g339.t1 g350.t1 g690.t1 g78.t1 g810.t1 g970.t1
OG0000003: g1385.t1 g1391.t1 g1442.t1 g1776.t1 g245.t1 g247.t1 g269.t1 g316.t1 g615.t1 g668.t1 g841.t1 g87.t1
OG0000004: g1035.t1 g1172.t1 g1220.t1 g177.t1 g190.t1 g29.t1 g43.t1
OG0000005: g107.t1 g1362.t1 g1370.t1 g1421.t1 g1493.t1 g1787.t1 g401.t1
OG0000006: g1211.t1 g1389.t1 g262.t1 g263.t1 g497.t1 g498.t1 g566.t1
OG0000007: g1455.t1 g1572.t1 g304.t1 g39.t1 g393.t1 g924.t1
OG0000008: g1381.t1 g248.t1 g50.t1 g552.t1 g627.t1 g824.t1
OG0000009: g1371.t1 g1666.t1 g1699.t1 g1777.t1 g973.t1 g99.t1
OG0000010: g1189.t1 g1233.t1 g1489.t1 g1490.t1 g3.t1 g459.t1
OG0000011: g1091.t1 g13.t1 g14.t1 g239.t1 g699.t1
OG0000012: g1374.t1 g66.t1 g67.t1 g695.t1 g975.t1
OG0000013: g1308.t1 g320.t1 g321.t1 g561.t1 g81.t1
OG0000014: g1009.t1 g1255.t1 g141.t1 g1672.t1 g597.t1
OG0000015: g1095.t1 g1517.t1 g1818.t1 g218.t1 g359.t1
OG0000016: g1823.t1 g287.t1 g485.t1 g587.t1 g618.t1
OG0000017: g1117.t1 g1392.t1 g1394.t1 g1397.t1 g299.t1
OG0000018: g1075.t1 g1161.t1 g1535.t1 g479.t1 g775.t1
OG0000019: g1503.t1 g1523.t1 g1783.t1 g1812.t1 g514.t1
OG0000020: g1841.t1 g711.t1 g712.t1 g714.t1 g717.t1
OG0000021: g1504.t1 g1505.t1 g1506.t1 g1507.t1 g1848.t1
OG0000022: g12.t1 g1243.t1 g298.t1 g389.t1
OG0000023: g1245.t1 g15.t1 g1824.t1 g710.t1
OG0000024: g1168.t1 g192.t1 g25.t1 g937.t1
OG0000025: g1225.t1 g40.t1 g41.t1 g758.t1
OG0000026: g1182.t1 g1678.t1 g47.t1 g501.t1
OG0000027: g1016.t1 g1153.t1 g1293.t1 g62.t1
OG0000028: g1359.t1 g446.t1 g652.t1 g96.t1
OG0000029: g1377.t1 g1422.t1 g1613.t1 g97.t1
OG0000030: g101.t1 g1181.t1 g1431.t1 g983.t1
OG0000031: g1102.t1 g163.t1 g1857.t1 g896.t1
OG0000032: g164.t1 g1849.t1 g348.t1 g371.t1
OG0000033: g1541.t1 g1559.t1 g166.t1 g580.t1
OG0000034: g1092.t1 g1323.t1 g205.t1 g622.t1
OG0000035: g1347.t1 g1642.t1 g1704.t1 g267.t1
OG0000036: g1364.t1 g329.t1 g689.t1 g822.t1
OG0000037: g1109.t1 g351.t1 g953.t1 g954.t1
OG0000038: g1570.t1 g1579.t1 g1662.t1 g576.t1
OG0000039: g649.t1 g875.t1 g947.t1 g995.t1
OG0000040: g1446.t1 g1447.t1 g688.t1 g952.t1
OG0000041: g1258.t1 g1353.t1 g854.t1 g855.t1
OG0000042: g1648.t1 g1649.t1 g1724.t1 g1725.t1
OG0000043: g1636.t1 g18.t1 g19.t1
OG0000044: g1070.t1 g36.t1 g614.t1
OG0000045: g1380.t1 g1795.t1 g51.t1
OG0000046: g1767.t1 g579.t1 g60.t1
OG0000047: g1599.t1 g75.t1 g76.t1
OG0000048: g83.t1 g84.t1 g85.t1
OG0000049: g1847.t1 g849.t1 g88.t1
OG0000050: g108.t1 g217.t1 g266.t1
OG0000051: g142.t1 g1673.t1 g598.t1
OG0000052: g143.t1 g1813.t1 g829.t1
OG0000053: g1097.t1 g188.t1 g365.t1
OG0000054: g191.t1 g620.t1 g992.t1
OG0000055: g1600.t1 g1691.t1 g194.t1
OG0000056: g203.t1 g582.t1 g823.t1
OG0000057: g1100.t1 g255.t1 g307.t1
OG0000058: g274.t1 g539.t1 g590.t1
OG0000059: g1740.t1 g278.t1 g678.t1
OG0000060: g1149.t1 g289.t1 g827.t1
OG0000061: g1626.t1 g291.t1 g292.t1
OG0000062: g323.t1 g558.t1 g616.t1
OG0000063: g1640.t1 g331.t1 g760.t1
OG0000064: g1760.t1 g332.t1 g853.t1
OG0000065: g1188.t1 g355.t1 g868.t1
OG0000066: g1244.t1 g1457.t1 g381.t1
OG0000067: g1237.t1 g1587.t1 g407.t1
OG0000068: g1019.t1 g499.t1 g791.t1
OG0000069: g1311.t1 g1592.t1 g575.t1
OG0000070: g1700.t1 g607.t1 g899.t1
OG0000071: g1393.t1 g1395.t1 g629.t1
OG0000072: g1821.t1 g1822.t1 g693.t1
OG0000073: g1122.t1 g1408.t1 g833.t1
OG0000074: g1121.t1 g1409.t1 g834.t1
OG0000075: g877.t1 g888.t1 g890.t1
OG0000076: g1052.t1 g1290.t1 g1291.t1
OG0000077: g1113.t1 g1545.t1 g1756.t1
OG0000078: g358.t1 g8.t1
OG0000079: g16.t1 g715.t1
OG0000080: g200.t1 g24.t1
OG0000081: g1222.t1 g30.t1
OG0000082: g1223.t1 g35.t1
OG0000083: g1226.t1 g42.t1
OG0000084: g303.t1 g44.t1
OG0000085: g103.t1 g692.t1
OG0000086: g112.t1 g408.t1
OG0000087: g113.t1 g967.t1
OG0000088: g120.t1 g484.t1
OG0000089: g127.t1 g402.t1
OG0000090: g160.t1 g1690.t1
OG0000091: g1141.t1 g167.t1
OG0000092: g179.t1 g817.t1
OG0000093: g219.t1 g515.t1
OG0000094: g230.t1 g336.t1
OG0000095: g234.t1 g327.t1
OG0000096: g1584.t1 g235.t1
OG0000097: g249.t1 g286.t1
OG0000098: g1020.t1 g254.t1
OG0000099: g283.t1 g284.t1
OG0000100: g295.t1 g305.t1
OG0000101: g313.t1 g422.t1
OG0000102: g1333.t1 g328.t1
OG0000103: g1231.t1 g333.t1
OG0000104: g1321.t1 g334.t1
OG0000105: g343.t1 g985.t1
OG0000106: g368.t1 g456.t1
OG0000107: g1110.t1 g387.t1
OG0000108: g1053.t1 g406.t1
OG0000109: g434.t1 g734.t1
OG0000110: g1302.t1 g436.t1
OG0000111: g441.t1 g701.t1
OG0000112: g443.t1 g444.t1
OG0000113: g448.t1 g830.t1
OG0000114: g1548.t1 g474.t1
OG0000115: g1502.t1 g486.t1
OG0000116: g502.t1 g879.t1
OG0000117: g1056.t1 g517.t1
OG0000118: g530.t1 g962.t1
OG0000119: g1414.t1 g546.t1
OG0000120: g1733.t1 g559.t1
OG0000121: g1641.t1 g602.t1
OG0000122: g605.t1 g974.t1
OG0000123: g609.t1 g894.t1
OG0000124: g625.t1 g681.t1
OG0000125: g1085.t1 g660.t1
OG0000126: g664.t1 g957.t1
OG0000127: g667.t1 g842.t1
OG0000128: g1198.t1 g696.t1
OG0000129: g713.t1 g882.t1
OG0000130: g1312.t1 g724.t1
OG0000131: g1289.t1 g726.t1
OG0000132: g1625.t1 g737.t1
OG0000133: g1348.t1 g743.t1
OG0000134: g1703.t1 g751.t1
OG0000135: g1735.t1 g780.t1
OG0000136: g1023.t1 g782.t1
OG0000137: g786.t1 g789.t1
OG0000138: g986.t1 g988.t1
OG0000139: g1021.t1 g1022.t1
OG0000140: g1024.t1 g1173.t1
OG0000141: g1037.t1 g1041.t1
OG0000142: g1062.t1 g1555.t1
OG0000143: g1069.t1 g1261.t1
OG0000144: g1123.t1 g1410.t1
OG0000145: g1174.t1 g1175.t1
OG0000146: g1254.t1 g1837.t1
OG0000147: g1276.t1 g1285.t1
OG0000148: g1287.t1 g1288.t1
OG0000149: g1336.t1 g1449.t1
OG0000150: g1342.t1 g1462.t1
OG0000151: g1435.t1 g1436.t1
OG0000152: g1465.t1 g6.t1
OG0000153: g1466.t1 g5.t1
OG0000154: g1476.t1 g4.t1
OG0000155: g1487.t1 g1609.t1
OG0000156: g1500.t1 g2.t1
OG0000157: g1.t1 g1510.t1
OG0000158: g1514.t1 g1516.t1
OG0000159: g1522.t1 g1816.t1
OG0000160: g1549.t1 g1718.t1
OG0000161: g1650.t1 g1726.t1
OG0000162: g1674.t1 g1677.t1
OG0000163: g1817.t1 g1859.t1
OG0000164: g1864.t1 g1865.t1
OG0000165: g1.t1
OG0000166: g2.t1
OG0000167: g3.t1
OG0000168: g4.t1
OG0000169: g5.t1
OG0000170: g6.t1
OG0000171: g7.t1
OG0000172: g9.t1
OG0000173: g10.t1
OG0000174: g11.t1
OG0000175: g17.t1
OG0000176: g20.t1
OG0000177: g21.t1
OG0000178: g22.t1
OG0000179: g23.t1
OG0000180: g26.t1
OG0000181: g27.t1
OG0000182: g28.t1
OG0000183: g31.t1
OG0000184: g32.t1
OG0000185: g33.t1
OG0000186: g34.t1
OG0000187: g37.t1
OG0000188: g38.t1
OG0000189: g45.t1
OG0000190: g46.t1
OG0000191: g48.t1
OG0000192: g49.t1
OG0000193: g52.t1
OG0000194: g53.t1
OG0000195: g54.t1
OG0000196: g55.t1
OG0000197: g56.t1
OG0000198: g57.t1
OG0000199: g58.t1
OG0000200: g59.t1
OG0000201: g61.t1
OG0000202: g63.t1
OG0000203: g64.t1
OG0000204: g65.t1
OG0000205: g68.t1
OG0000206: g69.t1
OG0000207: g70.t1
OG0000208: g71.t1
OG0000209: g72.t1
OG0000210: g73.t1
OG0000211: g74.t1
OG0000212: g77.t1
OG0000213: g82.t1
OG0000214: g86.t1
OG0000215: g89.t1
OG0000216: g90.t1
OG0000217: g91.t1
OG0000218: g92.t1
OG0000219: g94.t1
OG0000220: g95.t1
OG0000221: g98.t1
OG0000222: g100.t1
OG0000223: g102.t1
OG0000224: g104.t1
OG0000225: g105.t1
OG0000226: g106.t1
OG0000227: g116.t1
OG0000228: g117.t1
OG0000229: g118.t1
OG0000230: g119.t1
OG0000231: g121.t1
OG0000232: g122.t1
OG0000233: g123.t1
OG0000234: g124.t1
OG0000235: g125.t1
OG0000236: g126.t1
OG0000237: g128.t1
OG0000238: g129.t1
OG0000239: g130.t1
OG0000240: g131.t1
OG0000241: g132.t1
OG0000242: g133.t1
OG0000243: g134.t1
OG0000244: g135.t1
OG0000245: g136.t1
OG0000246: g137.t1
OG0000247: g138.t1
OG0000248: g139.t1
OG0000249: g140.t1
OG0000250: g144.t1
OG0000251: g145.t1
OG0000252: g146.t1
OG0000253: g147.t1
OG0000254: g148.t1
OG0000255: g149.t1
OG0000256: g150.t1
OG0000257: g151.t1
OG0000258: g152.t1
OG0000259: g153.t1
OG0000260: g154.t1
OG0000261: g155.t1
OG0000262: g156.t1
OG0000263: g157.t1
OG0000264: g158.t1
