Orthogroup	Mycobacterium_tuberculosis	Pseudomonas_aeruginosa
OG0000000	g2252.t1	g1014.t1, g1082.t1, g1145.t1, g1155.t1, g1158.t1, g1162.t1, g1199.t1, g1216.t1, g128.t1, g1280.t1, g1327.t1, g1330.t1, g1346.t1, g138.t1, g1429.t1, g1438.t1, g156.t1, g1589.t1, g163.t1, g1761.t1, g1777.t1, g184.t1, g1852.t1, g1881.t1, g1887.t1, g194.t1, g1994.t1, g2031.t1, g2088.t1, g2090.t1, g211.t1, g2111.t1, g2150.t1, g2159.t1, g221.t1, g222.t1, g2249.t1, g2263.t1, g2297.t1, g2306.t1, g2355.t1, g237.t1, g2374.t1, g2422.t1, g2456.t1, g2472.t1, g2487.t1, g2506.t1, g2534.t1, g2547.t1, g2572.t1, g2585.t1, g2642.t1, g2723.t1, g2812.t1, g2896.t1, g2904.t1, g2906.t1, g292.t1, g2935.t1, g2937.t1, g2979.t1, g2988.t1, g3183.t1, g3185.t1, g3196.t1, g32.t1, g3288.t1, g3464.t1, g3501.t1, g3637.t1, g3659.t1, g3666.t1, g3702.t1, g3783.t1, g38.t1, g3848.t1, g3850.t1, g3919.t1, g3972.t1, g4044.t1, g4073.t1, g4190.t1, g4227.t1, g4256.t1, g4285.t1, g454.t1, g486.t1, g498.t1, g5008.t1, g5084.t1, g5124.t1, g5181.t1, g5318.t1, g535.t1, g5395.t1, g5446.t1, g5484.t1, g61.t1, g708.t1, g716.t1, g749.t1, g796.t1, g827.t1, g828.t1, g890.t1, g891.t1
OG0000001	g1028.t1, g1043.t1, g1053.t1, g1054.t1, g107.t1, g1073.t1, g1078.t1, g1101.t1, g1157.t1, g1161.t1, g1173.t1, g1184.t1, g1203.t1, g123.t1, g1232.t1, g1315.t1, g1386.t1, g1420.t1, g1431.t1, g1440.t1, g1442.t1, g1458.t1, g149.t1, g150.t1, g151.t1, g152.t1, g160.t1, g161.t1, g1631.t1, g1636.t1, g1740.t1, g1749.t1, g1768.t1, g1771.t1, g1784.t1, g1785.t1, g1798.t1, g1820.t1, g1959.t1, g2068.t1, g2077.t1, g2097.t1, g2133.t1, g2298.t1, g2309.t1, g2339.t1, g2366.t1, g2400.t1, g2452.t1, g2454.t1, g2484.t1, g2554.t1, g2579.t1, g2598.t1, g2694.t1, g2721.t1, g278.t1, g279.t1, g2801.t1, g297.t1, g3048.t1, g3303.t1, g3322.t1, g3343.t1, g3345.t1, g3426.t1, g3455.t1, g3456.t1, g3459.t1, g3464.t1, g3540.t1, g3545.t1, g521.t1, g528.t1, g574.t1, g729.t1, g733.t1, g734.t1, g741.t1, g821.t1, g823.t1, g824.t1, g860.t1, g964.t1, g965.t1, g967.t1	
OG0000002	g1027.t1, g1120.t1, g1156.t1, g1185.t1, g1350.t1, g1377.t1, g1537.t1, g1688.t1, g1689.t1, g1734.t1, g1767.t1, g1769.t1, g1770.t1, g1781.t1, g1782.t1, g1783.t1, g1786.t1, g1787.t1, g1788.t1, g1897.t1, g1898.t1, g2078.t1, g2093.t1, g2321.t1, g2322.t1, g2325.t1, g2399.t1, g2572.t1, g259.t1, g2720.t1, g2722.t1, g280.t1, g2841.t1, g286.t1, g2966.t1, g2970.t1, g303.t1, g304.t1, g3076.t1, g3086.t1, g3087.t1, g3096.t1, g3112.t1, g3301.t1, g3305.t1, g3308.t1, g3427.t1, g3482.t1, g3483.t1, g3489.t1, g3508.t1, g351.t1, g352.t1, g383.t1, g384.t1, g437.t1, g448.t1, g742.t1, g866.t1, g904.t1, g95.t1	
OG0000003		g1124.t1, g1244.t1, g1250.t1, g1276.t1, g1396.t1, g1619.t1, g1639.t1, g166.t1, g1736.t1, g2080.t1, g2153.t1, g2315.t1, g2320.t1, g2372.t1, g2377.t1, g252.t1, g2525.t1, g2526.t1, g2548.t1, g2556.t1, g2739.t1, g2975.t1, g3283.t1, g3334.t1, g3491.t1, g3643.t1, g3668.t1, g3855.t1, g3903.t1, g3975.t1, g4004.t1, g4149.t1, g4173.t1, g4201.t1, g423.t1, g4266.t1, g4309.t1, g4370.t1, g4521.t1, g5444.t1, g5482.t1, g572.t1, g709.t1, g759.t1, g792.t1, g803.t1, g877.t1, g907.t1
OG0000004		g1288.t1, g1320.t1, g1340.t1, g1383.t1, g155.t1, g1941.t1, g1954.t1, g2091.t1, g2104.t1, g2124.t1, g2328.t1, g2437.t1, g2503.t1, g2631.t1, g2731.t1, g2969.t1, g3333.t1, g3475.t1, g3863.t1, g3978.t1, g4250.t1, g4303.t1, g441.t1, g4599.t1, g4764.t1, g477.t1, g4800.t1, g4931.t1, g4991.t1, g680.t1, g702.t1, g793.t1, g944.t1
OG0000005	g1342.t1	g1122.t1, g1137.t1, g1196.t1, g1448.t1, g172.t1, g1750.t1, g1879.t1, g2106.t1, g2829.t1, g2845.t1, g288.t1, g2928.t1, g293.t1, g3239.t1, g3377.t1, g3409.t1, g343.t1, g3774.t1, g4414.t1, g4451.t1, g4687.t1, g4937.t1, g5023.t1, g5053.t1, g5112.t1, g585.t1, g859.t1, g873.t1
OG0000006		g1266.t1, g1439.t1, g1578.t1, g1628.t1, g1667.t1, g175.t1, g179.t1, g183.t1, g1962.t1, g2601.t1, g2614.t1, g2693.t1, g2695.t1, g2847.t1, g2925.t1, g2978.t1, g3780.t1, g418.t1, g4372.t1, g4389.t1, g4391.t1, g4392.t1, g4605.t1, g4720.t1, g4938.t1, g5009.t1, g5168.t1
OG0000007		g1246.t1, g1252.t1, g1450.t1, g160.t1, g161.t1, g2053.t1, g2428.t1, g2469.t1, g2530.t1, g2558.t1, g2566.t1, g2894.t1, g3197.t1, g3368.t1, g3426.t1, g3468.t1, g3594.t1, g3749.t1, g3968.t1, g4288.t1, g432.t1, g4458.t1, g4677.t1, g4685.t1, g5257.t1, g5333.t1
OG0000008		g1112.t1, g1114.t1, g1211.t1, g1353.t1, g1685.t1, g1978.t1, g2038.t1, g2394.t1, g2399.t1, g2489.t1, g2707.t1, g2910.t1, g4009.t1, g4099.t1, g4229.t1, g4633.t1, g4667.t1, g4817.t1, g4947.t1, g5221.t1, g5264.t1, g887.t1
OG0000009		g1085.t1, g1086.t1, g1271.t1, g1357.t1, g2390.t1, g2447.t1, g2970.t1, g2984.t1, g3380.t1, g3450.t1, g3912.t1, g4240.t1, g4274.t1, g4546.t1, g4796.t1, g4955.t1, g4956.t1, g5003.t1, g5004.t1, g5170.t1, g5250.t1, g906.t1
