Orthogroup	Neisseria_gonorrhoeae	Pseudomonas_aeruginosa
OG0000000		g1014.t1, g1082.t1, g1145.t1, g1155.t1, g1158.t1, g1162.t1, g1199.t1, g1216.t1, g1238.t1, g128.t1, g1280.t1, g1327.t1, g1330.t1, g1346.t1, g138.t1, g1415.t1, g1429.t1, g1438.t1, g156.t1, g1589.t1, g163.t1, g1761.t1, g1777.t1, g184.t1, g1852.t1, g1881.t1, g1887.t1, g194.t1, g1994.t1, g2031.t1, g2088.t1, g2090.t1, g211.t1, g2111.t1, g2150.t1, g2157.t1, g2159.t1, g221.t1, g222.t1, g2249.t1, g2263.t1, g2297.t1, g2306.t1, g2355.t1, g237.t1, g2374.t1, g2422.t1, g2456.t1, g2472.t1, g2487.t1, g2506.t1, g2529.t1, g2534.t1, g2547.t1, g2572.t1, g2585.t1, g2590.t1, g2642.t1, g2723.t1, g275.t1, g2812.t1, g2892.t1, g2896.t1, g2904.t1, g2906.t1, g292.t1, g2935.t1, g2937.t1, g2979.t1, g2988.t1, g3183.t1, g3185.t1, g3196.t1, g32.t1, g3288.t1, g3387.t1, g3464.t1, g3501.t1, g3637.t1, g3659.t1, g3666.t1, g3702.t1, g3783.t1, g38.t1, g3848.t1, g3850.t1, g3919.t1, g3972.t1, g4044.t1, g4073.t1, g4190.t1, g4227.t1, g4256.t1, g4285.t1, g4447.t1, g454.t1, g484.t1, g486.t1, g498.t1, g4996.t1, g5008.t1, g5084.t1, g5124.t1, g5181.t1, g5277.t1, g5289.t1, g5318.t1, g535.t1, g5395.t1, g5446.t1, g5484.t1, g61.t1, g708.t1, g716.t1, g749.t1, g796.t1, g827.t1, g828.t1, g890.t1, g891.t1
OG0000001		g1002.t1, g1113.t1, g1172.t1, g1173.t1, g1194.t1, g1195.t1, g1258.t1, g1354.t1, g1412.t1, g1452.t1, g1453.t1, g1471.t1, g1474.t1, g1631.t1, g1656.t1, g1657.t1, g176.t1, g182.t1, g1824.t1, g1825.t1, g1848.t1, g2009.t1, g2011.t1, g2013.t1, g2025.t1, g2218.t1, g2516.t1, g2517.t1, g2560.t1, g2561.t1, g2612.t1, g2613.t1, g2624.t1, g2627.t1, g2697.t1, g2698.t1, g270.t1, g2729.t1, g2730.t1, g2857.t1, g2868.t1, g2869.t1, g2882.t1, g2939.t1, g2940.t1, g3104.t1, g3105.t1, g3137.t1, g3138.t1, g3253.t1, g3254.t1, g3267.t1, g3269.t1, g3336.t1, g34.t1, g3411.t1, g3412.t1, g35.t1, g3532.t1, g3571.t1, g3676.t1, g3775.t1, g3776.t1, g3786.t1, g3954.t1, g4023.t1, g4025.t1, g4052.t1, g4110.t1, g4114.t1, g415.t1, g4159.t1, g416.t1, g4181.t1, g4182.t1, g4188.t1, g4193.t1, g4198.t1, g420.t1, g421.t1, g4278.t1, g4279.t1, g4375.t1, g4378.t1, g4464.t1, g4465.t1, g4481.t1, g4483.t1, g4578.t1, g4579.t1, g4632.t1, g470.t1, g471.t1, g4816.t1, g4867.t1, g4868.t1, g4873.t1, g4950.t1, g4979.t1, g4980.t1, g5076.t1, g5078.t1, g5220.t1, g5263.t1, g5299.t1, g5300.t1, g5363.t1, g5364.t1, g5462.t1, g5463.t1, g5466.t1, g611.t1, g767.t1, g768.t1, g941.t1, g942.t1, g943.t1
OG0000002		g1085.t1, g1086.t1, g1130.t1, g1261.t1, g1271.t1, g1357.t1, g140.t1, g1402.t1, g1442.t1, g1490.t1, g1833.t1, g187.t1, g1889.t1, g1905.t1, g1980.t1, g1997.t1, g2095.t1, g210.t1, g2333.t1, g2347.t1, g2369.t1, g2381.t1, g2390.t1, g2429.t1, g2436.t1, g2447.t1, g283.t1, g2871.t1, g2915.t1, g2970.t1, g2984.t1, g3046.t1, g305.t1, g3079.t1, g3249.t1, g3275.t1, g3291.t1, g330.t1, g3317.t1, g3380.t1, g3441.t1, g3442.t1, g3450.t1, g3460.t1, g3473.t1, g3511.t1, g3516.t1, g3584.t1, g3609.t1, g3679.t1, g3744.t1, g380.t1, g3912.t1, g3967.t1, g4014.t1, g4115.t1, g4142.t1, g4225.t1, g4240.t1, g4274.t1, g4304.t1, g4305.t1, g4316.t1, g4541.t1, g4546.t1, g4590.t1, g4591.t1, g4680.t1, g4681.t1, g4796.t1, g4955.t1, g4956.t1, g5003.t1, g5004.t1, g5092.t1, g5170.t1, g5190.t1, g5250.t1, g5332.t1, g5353.t1, g5468.t1, g5478.t1, g613.t1, g78.t1, g872.t1, g906.t1
OG0000003		g1124.t1, g1197.t1, g1244.t1, g1250.t1, g1276.t1, g1396.t1, g1619.t1, g1639.t1, g166.t1, g1736.t1, g1878.t1, g2080.t1, g2131.t1, g2315.t1, g2320.t1, g2372.t1, g2377.t1, g252.t1, g2525.t1, g2526.t1, g2548.t1, g2556.t1, g2595.t1, g2629.t1, g2739.t1, g2747.t1, g2975.t1, g3087.t1, g309.t1, g3154.t1, g3278.t1, g3283.t1, g3334.t1, g3491.t1, g3643.t1, g3855.t1, g3903.t1, g3975.t1, g4004.t1, g4149.t1, g4173.t1, g4201.t1, g423.t1, g4266.t1, g4309.t1, g4370.t1, g4521.t1, g4879.t1, g5127.t1, g5426.t1, g5444.t1, g5482.t1, g572.t1, g709.t1, g759.t1, g792.t1, g803.t1, g843.t1, g877.t1, g907.t1
OG0000004		g1036.t1, g1081.t1, g122.t1, g1348.t1, g1362.t1, g1395.t1, g1485.t1, g1553.t1, g1670.t1, g1832.t1, g185.t1, g1853.t1, g1854.t1, g2036.t1, g2134.t1, g2180.t1, g2552.t1, g2593.t1, g2945.t1, g2950.t1, g2976.t1, g3026.t1, g3167.t1, g3189.t1, g3235.t1, g3342.t1, g3390.t1, g3396.t1, g3453.t1, g3495.t1, g3505.t1, g3577.t1, g3581.t1, g3958.t1, g4034.t1, g4158.t1, g4168.t1, g4177.t1, g4230.t1, g4244.t1, g4474.t1, g4878.t1, g4926.t1, g5001.t1, g5126.t1, g5248.t1, g664.t1
OG0000005		g1241.t1, g1256.t1, g1300.t1, g1308.t1, g1333.t1, g1419.t1, g1520.t1, g1555.t1, g170.t1, g1862.t1, g1892.t1, g2054.t1, g2239.t1, g2309.t1, g247.t1, g2823.t1, g2943.t1, g297.t1, g3016.t1, g3066.t1, g3094.t1, g3194.t1, g3646.t1, g372.t1, g3750.t1, g3792.t1, g4051.t1, g443.t1, g482.t1, g4925.t1, g4984.t1, g5079.t1, g5155.t1, g5476.t1, g840.t1, g851.t1
OG0000006		g1122.t1, g1137.t1, g1196.t1, g1448.t1, g172.t1, g1750.t1, g1879.t1, g2106.t1, g2170.t1, g2243.t1, g2608.t1, g2829.t1, g2845.t1, g2877.t1, g288.t1, g2928.t1, g293.t1, g3239.t1, g3321.t1, g3377.t1, g3409.t1, g343.t1, g3774.t1, g3898.t1, g4024.t1, g4414.t1, g4451.t1, g4687.t1, g4937.t1, g5023.t1, g5053.t1, g5112.t1, g585.t1, g859.t1, g873.t1
OG0000007		g1033.t1, g1035.t1, g1202.t1, g1301.t1, g1551.t1, g1651.t1, g2048.t1, g2364.t1, g2365.t1, g2370.t1, g2386.t1, g2387.t1, g2395.t1, g2589.t1, g2591.t1, g2638.t1, g2874.t1, g2947.t1, g3665.t1, g4016.t1, g4050.t1, g4281.t1, g4520.t1, g453.t1, g5073.t1, g5089.t1, g5090.t1, g5115.t1, g513.t1, g514.t1, g515.t1, g5286.t1, g756.t1, g893.t1
OG0000008		g1288.t1, g1320.t1, g1340.t1, g1383.t1, g155.t1, g1941.t1, g1954.t1, g2091.t1, g2104.t1, g2124.t1, g2328.t1, g2437.t1, g2503.t1, g2631.t1, g2731.t1, g2969.t1, g3333.t1, g3475.t1, g3863.t1, g3978.t1, g4250.t1, g4303.t1, g441.t1, g4599.t1, g4764.t1, g477.t1, g4800.t1, g4931.t1, g4991.t1, g680.t1, g702.t1, g793.t1, g944.t1
OG0000009		g1007.t1, g1230.t1, g1234.t1, g1235.t1, g1236.t1, g1576.t1, g1637.t1, g2030.t1, g2344.t1, g2438.t1, g2439.t1, g2440.t1, g2463.t1, g2594.t1, g2596.t1, g2951.t1, g3363.t1, g3364.t1, g3393.t1, g3395.t1, g3640.t1, g3934.t1, g4001.t1, g4157.t1, g4280.t1, g4307.t1, g4308.t1, g4310.t1, g4824.t1, g901.t1
