Orthogroup	Mycobacterium_tuberculosis	Pseudomonas_aeruginosa
OG0001806	g4.t1	
OG0001807	g7.t1	
OG0001808	g8.t1	
OG0001809	g10.t1	
OG0001810	g11.t1	
OG0001811	g21.t1	
OG0001812	g22.t1	
OG0001813	g27.t1	
OG0001814	g28.t1	
OG0001815	g30.t1	
OG0001816	g31.t1	
OG0001817	g36.t1	
OG0001818	g38.t1	
OG0001819	g42.t1	
OG0001820	g45.t1	
OG0001821	g47.t1	
OG0001822	g49.t1	
OG0001823	g56.t1	
OG0001824	g58.t1	
OG0001825	g59.t1	
OG0001826	g61.t1	
OG0001827	g65.t1	
OG0001828	g69.t1	
OG0001829	g74.t1	
OG0001830	g75.t1	
OG0001831	g77.t1	
OG0001832	g78.t1	
OG0001833	g79.t1	
OG0001834	g80.t1	
OG0001835	g81.t1	
OG0001836	g83.t1	
OG0001837	g84.t1	
OG0001838	g85.t1	
OG0001839	g86.t1	
OG0001840	g87.t1	
OG0001841	g89.t1	
OG0001842	g90.t1	
OG0001843	g92.t1	
OG0001844	g96.t1	
OG0001845	g97.t1	
OG0001846	g100.t1	
OG0001847	g103.t1	
OG0001848	g104.t1	
OG0001849	g106.t1	
OG0001850	g108.t1	
OG0001851	g109.t1	
OG0001852	g110.t1	
OG0001853	g114.t1	
OG0001854	g119.t1	
OG0001855	g120.t1	
OG0001856	g121.t1	
OG0001857	g122.t1	
OG0001858	g126.t1	
OG0001859	g130.t1	
OG0001860	g132.t1	
OG0001861	g133.t1	
OG0001862	g137.t1	
OG0001863	g140.t1	
OG0001864	g141.t1	
OG0001865	g142.t1	
OG0001866	g143.t1	
OG0001867	g148.t1	
OG0001868	g153.t1	
OG0001869	g155.t1	
OG0001870	g163.t1	
OG0001871	g180.t1	
OG0001872	g181.t1	
OG0001873	g183.t1	
OG0001874	g185.t1	
OG0001875	g186.t1	
OG0001876	g189.t1	
OG0001877	g194.t1	
OG0001878	g196.t1	
OG0001879	g199.t1	
OG0001880	g201.t1	
OG0001881	g202.t1	
OG0001882	g204.t1	
OG0001883	g208.t1	
OG0001884	g210.t1	
OG0001885	g211.t1	
OG0001886	g212.t1	
OG0001887	g214.t1	
OG0001888	g216.t1	
OG0001889	g217.t1	
OG0001890	g218.t1	
OG0001891	g220.t1	
OG0001892	g223.t1	
OG0001893	g227.t1	
OG0001894	g228.t1	
OG0001895	g232.t1	
OG0001896	g233.t1	
OG0001897	g234.t1	
OG0001898	g235.t1	
OG0001899	g236.t1	
OG0001900	g237.t1	
OG0001901	g238.t1	
OG0001902	g239.t1	
OG0001903	g242.t1	
OG0001904	g243.t1	
OG0001905	g249.t1	
OG0001906	g250.t1	
OG0001907	g252.t1	
OG0001908	g253.t1	
OG0001909	g256.t1	
OG0001910	g262.t1	
OG0001911	g264.t1	
OG0001912	g267.t1	
OG0001913	g268.t1	
OG0001914	g274.t1	
OG0001915	g275.t1	
OG0001916	g292.t1	
OG0001917	g295.t1	
OG0001918	g298.t1	
OG0001919	g299.t1	
OG0001920	g306.t1	
OG0001921	g307.t1	
OG0001922	g308.t1	
OG0001923	g310.t1	
OG0001924	g312.t1	
OG0001925	g314.t1	
OG0001926	g317.t1	
OG0001927	g318.t1	
OG0001928	g324.t1	
OG0001929	g327.t1	
OG0001930	g328.t1	
OG0001931	g330.t1	
OG0001932	g331.t1	
OG0001933	g336.t1	
OG0001934	g337.t1	
OG0001935	g338.t1	
OG0001936	g341.t1	
OG0001937	g342.t1	
OG0001938	g345.t1	
OG0001939	g346.t1	
OG0001940	g349.t1	
OG0001941	g353.t1	
OG0001942	g355.t1	
OG0001943	g356.t1	
OG0001944	g357.t1	
OG0001945	g358.t1	
OG0001946	g362.t1	
OG0001947	g363.t1	
OG0001948	g364.t1	
OG0001949	g366.t1	
OG0001950	g374.t1	
OG0001951	g375.t1	
OG0001952	g377.t1	
OG0001953	g379.t1	
OG0001954	g381.t1	
OG0001955	g386.t1	
OG0001956	g390.t1	
OG0001957	g391.t1	
OG0001958	g393.t1	
OG0001959	g396.t1	
OG0001960	g405.t1	
OG0001961	g407.t1	
OG0001962	g414.t1	
OG0001963	g415.t1	
OG0001964	g419.t1	
OG0001965	g421.t1	
OG0001966	g423.t1	
OG0001967	g425.t1	
OG0001968	g426.t1	
OG0001969	g427.t1	
OG0001970	g432.t1	
OG0001971	g436.t1	
OG0001972	g438.t1	
OG0001973	g439.t1	
OG0001974	g440.t1	
OG0001975	g441.t1	
OG0001976	g443.t1	
OG0001977	g444.t1	
OG0001978	g449.t1	
OG0001979	g450.t1	
OG0001980	g452.t1	
OG0001981	g454.t1	
OG0001982	g455.t1	
OG0001983	g456.t1	
OG0001984	g458.t1	
OG0001985	g466.t1	
OG0001986	g468.t1	
OG0001987	g470.t1	
OG0001988	g471.t1	
OG0001989	g473.t1	
OG0001990	g474.t1	
OG0001991	g476.t1	
OG0001992	g480.t1	
OG0001993	g482.t1	
OG0001994	g483.t1	
OG0001995	g484.t1	
OG0001996	g488.t1	
OG0001997	g489.t1	
OG0001998	g491.t1	
OG0001999	g492.t1	
OG0002000	g493.t1	
OG0002001	g494.t1	
OG0002002	g495.t1	
OG0002003	g497.t1	
OG0002004	g504.t1	
OG0002005	g507.t1	
OG0002006	g509.t1	
OG0002007	g510.t1	
OG0002008	g514.t1	
OG0002009	g515.t1	
OG0002010	g517.t1	
OG0002011	g524.t1	
OG0002012	g527.t1	
OG0002013	g529.t1	
OG0002014	g532.t1	
OG0002015	g533.t1	
OG0002016	g534.t1	
OG0002017	g535.t1	
OG0002018	g536.t1	
OG0002019	g537.t1	
OG0002020	g539.t1	
OG0002021	g541.t1	
OG0002022	g543.t1	
OG0002023	g545.t1	
OG0002024	g546.t1	
OG0002025	g550.t1	
OG0002026	g551.t1	
OG0002027	g556.t1	
OG0002028	g559.t1	
OG0002029	g560.t1	
OG0002030	g567.t1	
OG0002031	g568.t1	
OG0002032	g570.t1	
OG0002033	g575.t1	
OG0002034	g576.t1	
OG0002035	g577.t1	
OG0002036	g579.t1	
OG0002037	g595.t1	
OG0002038	g601.t1	
OG0002039	g604.t1	
OG0002040	g605.t1	
OG0002041	g606.t1	
OG0002042	g607.t1	
OG0002043	g610.t1	
OG0002044	g613.t1	
OG0002045	g615.t1	
OG0002046	g616.t1	
OG0002047	g627.t1	
OG0002048	g628.t1	
OG0002049	g632.t1	
OG0002050	g642.t1	
OG0002051	g643.t1	
OG0002052	g644.t1	
OG0002053	g651.t1	
OG0002054	g652.t1	
OG0002055	g660.t1	
OG0002056	g664.t1	
OG0002057	g668.t1	
OG0002058	g671.t1	
OG0002059	g676.t1	
OG0002060	g679.t1	
OG0002061	g680.t1	
OG0002062	g681.t1	
OG0002063	g682.t1	
OG0002064	g684.t1	
OG0002065	g685.t1	
OG0002066	g686.t1	
OG0002067	g687.t1	
OG0002068	g718.t1	
OG0002069	g722.t1	
OG0002070	g724.t1	
OG0002071	g730.t1	
OG0002072	g731.t1	
OG0002073	g735.t1	
OG0002074	g743.t1	
OG0002075	g744.t1	
OG0002076	g745.t1	
OG0002077	g746.t1	
OG0002078	g747.t1	
OG0002079	g750.t1	
OG0002080	g753.t1	
OG0002081	g755.t1	
OG0002082	g756.t1	
OG0002083	g757.t1	
OG0002084	g758.t1	
OG0002085	g763.t1	
OG0002086	g764.t1	
OG0002087	g767.t1	
OG0002088	g769.t1	
OG0002089	g771.t1	
OG0002090	g775.t1	
OG0002091	g776.t1	
OG0002092	g777.t1	
OG0002093	g778.t1	
OG0002094	g779.t1	
OG0002095	g784.t1	
OG0002096	g788.t1	
OG0002097	g791.t1	
OG0002098	g792.t1	
OG0002099	g796.t1	
OG0002100	g797.t1	
OG0002101	g800.t1	
OG0002102	g802.t1	
OG0002103	g806.t1	
OG0002104	g807.t1	
OG0002105	g817.t1	
OG0002106	g822.t1	
OG0002107	g826.t1	
OG0002108	g827.t1	
OG0002109	g828.t1	
OG0002110	g831.t1	
OG0002111	g832.t1	
OG0002112	g833.t1	
OG0002113	g835.t1	
OG0002114	g837.t1	
OG0002115	g838.t1	
OG0002116	g839.t1	
OG0002117	g842.t1	
OG0002118	g850.t1	
OG0002119	g851.t1	
OG0002120	g852.t1	
OG0002121	g853.t1	
OG0002122	g854.t1	
OG0002123	g855.t1	
OG0002124	g858.t1	
OG0002125	g861.t1	
OG0002126	g863.t1	
OG0002127	g864.t1	
OG0002128	g865.t1	
OG0002129	g867.t1	
OG0002130	g869.t1	
OG0002131	g870.t1	
OG0002132	g871.t1	
OG0002133	g873.t1	
OG0002134	g876.t1	
OG0002135	g877.t1	
OG0002136	g880.t1	
OG0002137	g886.t1	
OG0002138	g888.t1	
OG0002139	g889.t1	
OG0002140	g891.t1	
OG0002141	g893.t1	
OG0002142	g897.t1	
OG0002143	g900.t1	
OG0002144	g901.t1	
OG0002145	g906.t1	
OG0002146	g907.t1	
OG0002147	g908.t1	
OG0002148	g914.t1	
OG0002149	g916.t1	
OG0002150	g922.t1	
