Orthogroup	Mycobacterium_tuberculosis	Pseudomonas_aeruginosa	Total
OG0000000	1	107	108
OG0000001	86	0	86
OG0000002	61	0	61
OG0000003	0	48	48
OG0000004	0	33	33
OG0000005	1	28	29
OG0000006	0	27	27
OG0000007	0	26	26
OG0000008	0	22	22
OG0000009	0	22	22
OG0000010	20	0	20
OG0000011	0	19	19
OG0000012	1	17	18
OG0000013	16	1	17
OG0000014	0	17	17
OG0000015	16	0	16
OG0000016	0	16	16
OG0000017	13	2	15
OG0000018	1	14	15
OG0000019	0	15	15
OG0000020	13	1	14
OG0000021	0	14	14
OG0000022	13	0	13
OG0000023	4	9	13
OG0000024	1	12	13
OG0000025	0	13	13
OG0000026	0	13	13
OG0000027	0	13	13
OG0000028	3	9	12
OG0000029	12	0	12
OG0000030	12	0	12
OG0000031	2	10	12
OG0000032	3	9	12
OG0000033	1	11	12
OG0000034	1	11	12
OG0000035	0	12	12
OG0000036	0	12	12
OG0000037	2	9	11
OG0000038	1	10	11
OG0000039	1	10	11
OG0000040	0	11	11
OG0000041	0	11	11
OG0000042	0	11	11
OG0000043	10	0	10
OG0000044	1	9	10
OG0000045	1	9	10
OG0000046	1	9	10
OG0000047	1	9	10
OG0000048	0	10	10
OG0000049	0	10	10
OG0000050	1	8	9
OG0000051	4	5	9
OG0000052	9	0	9
OG0000053	1	8	9
OG0000054	2	7	9
OG0000055	0	9	9
OG0000056	0	9	9
OG0000057	0	9	9
OG0000058	0	9	9
OG0000059	1	7	8
OG0000060	8	0	8
OG0000061	1	7	8
OG0000062	1	7	8
OG0000063	2	6	8
OG0000064	8	0	8
OG0000065	2	6	8
OG0000066	1	7	8
OG0000067	8	0	8
OG0000068	1	7	8
OG0000069	8	0	8
OG0000070	3	5	8
OG0000071	2	6	8
OG0000072	1	7	8
OG0000073	1	7	8
OG0000074	0	8	8
OG0000075	0	8	8
OG0000076	0	8	8
OG0000077	5	2	7
OG0000078	2	5	7
OG0000079	1	6	7
OG0000080	1	6	7
OG0000081	7	0	7
OG0000082	7	0	7
OG0000083	7	0	7
OG0000084	7	0	7
OG0000085	1	6	7
OG0000086	1	6	7
OG0000087	1	6	7
OG0000088	1	6	7
OG0000089	1	6	7
OG0000090	1	6	7
OG0000091	1	6	7
OG0000092	2	5	7
OG0000093	3	4	7
OG0000094	2	5	7
OG0000095	1	6	7
OG0000096	1	6	7
OG0000097	1	6	7
OG0000098	0	7	7
OG0000099	0	7	7
OG0000100	0	7	7
OG0000101	0	7	7
OG0000102	0	7	7
OG0000103	0	7	7
OG0000104	0	7	7
OG0000105	0	7	7
OG0000106	0	7	7
OG0000107	0	7	7
OG0000108	0	7	7
OG0000109	0	7	7
OG0000110	0	7	7
OG0000111	0	7	7
OG0000112	0	7	7
OG0000113	4	2	6
OG0000114	5	1	6
OG0000115	4	2	6
OG0000116	6	0	6
OG0000117	4	2	6
OG0000118	1	5	6
OG0000119	4	2	6
OG0000120	1	5	6
OG0000121	1	5	6
OG0000122	2	4	6
OG0000123	5	1	6
OG0000124	6	0	6
OG0000125	1	5	6
OG0000126	2	4	6
OG0000127	1	5	6
OG0000128	1	5	6
OG0000129	1	5	6
OG0000130	2	4	6
OG0000131	1	5	6
OG0000132	4	2	6
OG0000133	1	5	6
OG0000134	2	4	6
OG0000135	2	4	6
OG0000136	1	5	6
OG0000137	1	5	6
OG0000138	1	5	6
OG0000139	1	5	6
OG0000140	1	5	6
OG0000141	1	5	6
OG0000142	0	6	6
OG0000143	0	6	6
OG0000144	0	6	6
OG0000145	0	6	6
OG0000146	0	6	6
OG0000147	0	6	6
OG0000148	0	6	6
OG0000149	0	6	6
OG0000150	0	6	6
OG0000151	0	6	6
OG0000152	0	6	6
OG0000153	0	6	6
OG0000154	0	6	6
OG0000155	0	6	6
OG0000156	0	6	6
OG0000157	0	6	6
OG0000158	2	3	5
OG0000159	5	0	5
OG0000160	2	3	5
OG0000161	5	0	5
OG0000162	4	1	5
OG0000163	3	2	5
OG0000164	5	0	5
OG0000165	4	1	5
OG0000166	5	0	5
OG0000167	5	0	5
OG0000168	5	0	5
OG0000169	2	3	5
OG0000170	2	3	5
OG0000171	1	4	5
OG0000172	1	4	5
OG0000173	2	3	5
OG0000174	5	0	5
OG0000175	5	0	5
OG0000176	5	0	5
OG0000177	1	4	5
OG0000178	2	3	5
OG0000179	5	0	5
OG0000180	4	1	5
OG0000181	5	0	5
OG0000182	5	0	5
OG0000183	3	2	5
OG0000184	1	4	5
OG0000185	4	1	5
OG0000186	1	4	5
OG0000187	5	0	5
OG0000188	1	4	5
OG0000189	1	4	5
OG0000190	1	4	5
OG0000191	1	4	5
OG0000192	1	4	5
OG0000193	5	0	5
OG0000194	2	3	5
OG0000195	1	4	5
OG0000196	2	3	5
OG0000197	1	4	5
OG0000198	1	4	5
OG0000199	1	4	5
OG0000200	1	4	5
OG0000201	1	4	5
OG0000202	1	4	5
OG0000203	2	3	5
OG0000204	1	4	5
OG0000205	1	4	5
OG0000206	1	4	5
OG0000207	0	5	5
OG0000208	0	5	5
OG0000209	0	5	5
OG0000210	0	5	5
OG0000211	0	5	5
OG0000212	0	5	5
OG0000213	0	5	5
OG0000214	0	5	5
OG0000215	0	5	5
OG0000216	0	5	5
OG0000217	0	5	5
OG0000218	0	5	5
OG0000219	0	5	5
OG0000220	0	5	5
OG0000221	0	5	5
OG0000222	0	5	5
OG0000223	0	5	5
OG0000224	0	5	5
OG0000225	0	5	5
OG0000226	4	0	4
OG0000227	3	1	4
OG0000228	4	0	4
OG0000229	4	0	4
OG0000230	4	0	4
OG0000231	4	0	4
OG0000232	4	0	4
OG0000233	4	0	4
OG0000234	4	0	4
OG0000235	3	1	4
OG0000236	2	2	4
OG0000237	1	3	4
OG0000238	4	0	4
OG0000239	4	0	4
OG0000240	4	0	4
OG0000241	4	0	4
OG0000242	3	1	4
OG0000243	1	3	4
OG0000244	1	3	4
OG0000245	2	2	4
OG0000246	1	3	4
OG0000247	4	0	4
OG0000248	1	3	4
OG0000249	2	2	4
OG0000250	4	0	4
OG0000251	3	1	4
OG0000252	3	1	4
OG0000253	1	3	4
OG0000254	4	0	4
OG0000255	1	3	4
OG0000256	2	2	4
OG0000257	4	0	4
OG0000258	4	0	4
OG0000259	4	0	4
OG0000260	4	0	4
OG0000261	2	2	4
OG0000262	3	1	4
OG0000263	3	1	4
OG0000264	1	3	4
OG0000265	1	3	4
OG0000266	3	1	4
OG0000267	2	2	4
OG0000268	1	3	4
OG0000269	4	0	4
OG0000270	1	3	4
OG0000271	1	3	4
OG0000272	1	3	4
OG0000273	2	2	4
OG0000274	1	3	4
OG0000275	2	2	4
OG0000276	1	3	4
OG0000277	4	0	4
OG0000278	1	3	4
OG0000279	1	3	4
OG0000280	4	0	4
OG0000281	1	3	4
OG0000282	1	3	4
OG0000283	3	1	4
OG0000284	1	3	4
OG0000285	2	2	4
OG0000286	1	3	4
OG0000287	2	2	4
OG0000288	1	3	4
OG0000289	1	3	4
OG0000290	3	1	4
OG0000291	3	1	4
OG0000292	2	2	4
OG0000293	1	3	4
OG0000294	1	3	4
OG0000295	1	3	4
OG0000296	1	3	4
OG0000297	1	3	4
OG0000298	1	3	4
OG0000299	2	2	4
OG0000300	1	3	4
OG0000301	1	3	4
OG0000302	1	3	4
OG0000303	1	3	4
OG0000304	1	3	4
OG0000305	1	3	4
OG0000306	1	3	4
OG0000307	1	3	4
OG0000308	1	3	4
OG0000309	2	2	4
OG0000310	1	3	4
OG0000311	1	3	4
OG0000312	1	3	4
OG0000313	1	3	4
OG0000314	1	3	4
OG0000315	1	3	4
OG0000316	1	3	4
OG0000317	1	3	4
OG0000318	1	3	4
OG0000319	2	2	4
OG0000320	2	2	4
OG0000321	1	3	4
OG0000322	0	4	4
OG0000323	0	4	4
OG0000324	0	4	4
OG0000325	0	4	4
OG0000326	0	4	4
OG0000327	0	4	4
OG0000328	0	4	4
OG0000329	0	4	4
OG0000330	0	4	4
OG0000331	0	4	4
OG0000332	0	4	4
OG0000333	0	4	4
OG0000334	0	4	4
OG0000335	0	4	4
OG0000336	0	4	4
OG0000337	0	4	4
OG0000338	0	4	4
OG0000339	0	4	4
OG0000340	0	4	4
OG0000341	0	4	4
OG0000342	0	4	4
OG0000343	0	4	4
OG0000344	0	4	4
OG0000345	0	4	4
OG0000346	0	4	4
OG0000347	0	4	4
OG0000348	0	4	4
OG0000349	0	4	4
OG0000350	0	4	4
OG0000351	0	4	4
OG0000352	0	4	4
OG0000353	0	4	4
OG0000354	0	4	4
OG0000355	0	4	4
OG0000356	0	4	4
OG0000357	0	4	4
