Orthogroup	Neisseria_gonorrhoeae	Salmonella_enterica
OG0000628	g7.t1	
OG0000629		g3.t1
OG0000630		g4.t1
OG0000631		g8.t1
OG0000632		g9.t1
OG0000633		g10.t1
OG0000634		g14.t1
OG0000635		g15.t1
OG0000636		g18.t1
OG0000637		g38.t1
OG0000638		g42.t1
OG0000639		g43.t1
OG0000640		g45.t1
OG0000641		g47.t1
OG0000642		g48.t1
OG0000643		g55.t1
OG0000644		g62.t1
OG0000645		g63.t1
OG0000646		g70.t1
OG0000647		g72.t1
OG0000648		g79.t1
OG0000649		g84.t1
OG0000650		g86.t1
OG0000651		g87.t1
OG0000652		g90.t1
OG0000653		g94.t1
OG0000654		g96.t1
OG0000655		g98.t1
OG0000656		g106.t1
OG0000657		g110.t1
OG0000658		g115.t1
OG0000659		g116.t1
OG0000660		g117.t1
OG0000661		g121.t1
OG0000662		g124.t1
OG0000663		g127.t1
OG0000664		g128.t1
OG0000665		g129.t1
OG0000666		g130.t1
OG0000667		g131.t1
OG0000668		g134.t1
OG0000669		g135.t1
OG0000670		g136.t1
OG0000671		g138.t1
OG0000672		g141.t1
OG0000673		g143.t1
OG0000674		g144.t1
OG0000675		g151.t1
OG0000676		g152.t1
OG0000677		g153.t1
OG0000678		g155.t1
OG0000679		g160.t1
OG0000680		g161.t1
OG0000681		g162.t1
OG0000682		g164.t1
OG0000683		g166.t1
OG0000684		g168.t1
OG0000685		g175.t1
OG0000686		g176.t1
OG0000687		g177.t1
OG0000688		g178.t1
OG0000689		g181.t1
OG0000690		g182.t1
OG0000691		g183.t1
OG0000692		g188.t1
OG0000693		g196.t1
OG0000694		g201.t1
OG0000695		g202.t1
OG0000696		g203.t1
OG0000697		g205.t1
OG0000698		g206.t1
OG0000699		g208.t1
OG0000700		g209.t1
OG0000701		g211.t1
OG0000702		g212.t1
OG0000703		g214.t1
OG0000704		g215.t1
OG0000705		g216.t1
OG0000706		g217.t1
OG0000707		g219.t1
OG0000708		g220.t1
OG0000709		g224.t1
OG0000710		g225.t1
OG0000711		g226.t1
OG0000712		g227.t1
OG0000713		g230.t1
OG0000714		g231.t1
OG0000715		g232.t1
OG0000716		g233.t1
OG0000717		g234.t1
OG0000718		g236.t1
OG0000719		g237.t1
OG0000720		g239.t1
OG0000721		g240.t1
OG0000722		g248.t1
OG0000723		g252.t1
OG0000724		g253.t1
OG0000725		g255.t1
OG0000726		g256.t1
OG0000727		g257.t1
OG0000728		g258.t1
OG0000729		g259.t1
OG0000730		g260.t1
OG0000731		g262.t1
OG0000732		g263.t1
OG0000733		g264.t1
OG0000734		g267.t1
OG0000735		g268.t1
OG0000736		g270.t1
OG0000737		g271.t1
OG0000738		g272.t1
OG0000739		g273.t1
OG0000740		g274.t1
OG0000741		g275.t1
OG0000742		g276.t1
OG0000743		g279.t1
OG0000744		g280.t1
OG0000745		g284.t1
OG0000746		g287.t1
OG0000747		g291.t1
OG0000748		g296.t1
OG0000749		g298.t1
OG0000750		g299.t1
OG0000751		g301.t1
OG0000752		g305.t1
OG0000753		g313.t1
OG0000754		g318.t1
OG0000755		g328.t1
OG0000756		g329.t1
OG0000757		g339.t1
OG0000758		g341.t1
OG0000759		g342.t1
OG0000760		g345.t1
OG0000761		g346.t1
OG0000762		g347.t1
OG0000763		g348.t1
OG0000764		g350.t1
OG0000765		g352.t1
OG0000766		g353.t1
OG0000767		g355.t1
OG0000768		g356.t1
OG0000769		g358.t1
OG0000770		g359.t1
OG0000771		g360.t1
OG0000772		g361.t1
OG0000773		g364.t1
OG0000774		g365.t1
OG0000775		g368.t1
OG0000776		g372.t1
OG0000777		g374.t1
OG0000778		g375.t1
OG0000779		g378.t1
OG0000780		g379.t1
OG0000781		g380.t1
OG0000782		g381.t1
OG0000783		g382.t1
OG0000784		g383.t1
OG0000785		g385.t1
OG0000786		g386.t1
OG0000787		g388.t1
OG0000788		g392.t1
OG0000789		g393.t1
OG0000790		g408.t1
OG0000791		g409.t1
OG0000792		g410.t1
OG0000793		g411.t1
OG0000794		g412.t1
OG0000795		g413.t1
OG0000796		g415.t1
OG0000797		g421.t1
OG0000798		g423.t1
OG0000799		g431.t1
OG0000800		g432.t1
OG0000801		g433.t1
OG0000802		g437.t1
OG0000803		g440.t1
OG0000804		g446.t1
OG0000805		g447.t1
OG0000806		g448.t1
OG0000807		g449.t1
OG0000808		g451.t1
OG0000809		g452.t1
OG0000810		g453.t1
OG0000811		g454.t1
OG0000812		g455.t1
OG0000813		g457.t1
OG0000814		g459.t1
OG0000815		g461.t1
OG0000816		g462.t1
OG0000817		g463.t1
OG0000818		g466.t1
OG0000819		g469.t1
OG0000820		g472.t1
OG0000821		g474.t1
OG0000822		g475.t1
OG0000823		g479.t1
OG0000824		g481.t1
OG0000825		g487.t1
OG0000826		g491.t1
OG0000827		g492.t1
OG0000828		g495.t1
OG0000829		g496.t1
OG0000830		g497.t1
OG0000831		g499.t1
OG0000832		g500.t1
OG0000833		g503.t1
OG0000834		g504.t1
OG0000835		g505.t1
OG0000836		g506.t1
OG0000837		g507.t1
OG0000838		g515.t1
OG0000839		g516.t1
OG0000840		g520.t1
OG0000841		g524.t1
OG0000842		g525.t1
OG0000843		g536.t1
OG0000844		g538.t1
OG0000845		g540.t1
OG0000846		g541.t1
OG0000847		g542.t1
OG0000848		g545.t1
OG0000849		g551.t1
OG0000850		g552.t1
OG0000851		g559.t1
OG0000852		g562.t1
OG0000853		g563.t1
OG0000854		g575.t1
OG0000855		g585.t1
OG0000856		g586.t1
OG0000857		g588.t1
OG0000858		g593.t1
OG0000859		g594.t1
OG0000860		g596.t1
OG0000861		g599.t1
OG0000862		g600.t1
OG0000863		g603.t1
OG0000864		g604.t1
OG0000865		g605.t1
OG0000866		g611.t1
OG0000867		g618.t1
OG0000868		g624.t1
OG0000869		g626.t1
OG0000870		g630.t1
OG0000871		g631.t1
OG0000872		g632.t1
OG0000873		g634.t1
OG0000874		g635.t1
OG0000875		g638.t1
OG0000876		g639.t1
OG0000877		g641.t1
OG0000878		g642.t1
OG0000879		g646.t1
OG0000880		g648.t1
OG0000881		g650.t1
OG0000882		g655.t1
OG0000883		g657.t1
OG0000884		g658.t1
OG0000885		g659.t1
OG0000886		g661.t1
OG0000887		g662.t1
OG0000888		g663.t1
OG0000889		g664.t1
OG0000890		g665.t1
OG0000891		g666.t1
OG0000892		g667.t1
OG0000893		g671.t1
OG0000894		g673.t1
OG0000895		g674.t1
OG0000896		g677.t1
OG0000897		g679.t1
OG0000898		g683.t1
OG0000899		g684.t1
OG0000900		g688.t1
OG0000901		g689.t1
OG0000902		g691.t1
OG0000903		g692.t1
OG0000904		g693.t1
OG0000905		g695.t1
OG0000906		g708.t1
OG0000907		g709.t1
OG0000908		g710.t1
OG0000909		g712.t1
OG0000910		g714.t1
OG0000911		g715.t1
OG0000912		g720.t1
OG0000913		g721.t1
OG0000914		g722.t1
OG0000915		g725.t1
OG0000916		g726.t1
OG0000917		g727.t1
OG0000918		g736.t1
OG0000919		g737.t1
OG0000920		g739.t1
OG0000921		g740.t1
OG0000922		g741.t1
OG0000923		g744.t1
OG0000924		g745.t1
OG0000925		g746.t1
OG0000926		g748.t1
OG0000927		g749.t1
OG0000928		g757.t1
OG0000929		g760.t1
OG0000930		g765.t1
OG0000931		g769.t1
OG0000932		g770.t1
OG0000933		g774.t1
OG0000934		g776.t1
OG0000935		g781.t1
OG0000936		g782.t1
OG0000937		g788.t1
OG0000938		g794.t1
OG0000939		g795.t1
OG0000940		g803.t1
OG0000941		g806.t1
OG0000942		g807.t1
OG0000943		g809.t1
OG0000944		g814.t1
OG0000945		g824.t1
OG0000946		g826.t1
OG0000947		g827.t1
OG0000948		g828.t1
OG0000949		g830.t1
OG0000950		g831.t1
OG0000951		g832.t1
OG0000952		g833.t1
OG0000953		g834.t1
OG0000954		g835.t1
OG0000955		g836.t1
OG0000956		g837.t1
OG0000957		g839.t1
OG0000958		g840.t1
OG0000959		g843.t1
OG0000960		g845.t1
OG0000961		g852.t1
OG0000962		g868.t1
OG0000963		g872.t1
OG0000964		g875.t1
OG0000965		g876.t1
OG0000966		g877.t1
OG0000967		g882.t1
OG0000968		g885.t1
OG0000969		g889.t1
OG0000970		g890.t1
OG0000971		g895.t1
OG0000972		g896.t1
OG0000973		g902.t1
OG0000974		g908.t1
OG0000975		g909.t1
OG0000976		g910.t1
OG0000977		g913.t1
OG0000978		g916.t1
OG0000979		g918.t1
OG0000980		g919.t1
OG0000981		g920.t1
OG0000982		g921.t1
OG0000983		g922.t1
OG0000984		g923.t1
OG0000985		g925.t1
OG0000986		g926.t1
OG0000987		g927.t1
OG0000988		g928.t1
OG0000989		g929.t1
OG0000990		g937.t1
OG0000991		g939.t1
OG0000992		g945.t1
OG0000993		g954.t1
OG0000994		g982.t1
OG0000995		g983.t1
OG0000996		g984.t1
OG0000997		g986.t1
OG0000998		g988.t1
OG0000999		g994.t1
OG0001000		g997.t1
OG0001001		g999.t1
OG0001002		g1000.t1
OG0001003		g1002.t1
OG0001004		g1004.t1
OG0001005		g1005.t1
OG0001006		g1007.t1
OG0001007		g1011.t1
OG0001008		g1012.t1
OG0001009		g1015.t1
OG0001010		g1016.t1
OG0001011		g1017.t1
OG0001012		g1020.t1
OG0001013		g1021.t1
OG0001014		g1022.t1
OG0001015		g1026.t1
OG0001016		g1027.t1
OG0001017		g1028.t1
OG0001018		g1033.t1
OG0001019		g1035.t1
OG0001020		g1039.t1
OG0001021		g1040.t1
OG0001022		g1041.t1
OG0001023		g1044.t1
OG0001024		g1051.t1
OG0001025		g1056.t1
OG0001026		g1058.t1
OG0001027		g1059.t1
OG0001028		g1060.t1
OG0001029		g1061.t1
OG0001030		g1063.t1
OG0001031		g1064.t1
OG0001032		g1065.t1
OG0001033		g1069.t1
OG0001034		g1073.t1
OG0001035		g1079.t1
OG0001036		g1080.t1
OG0001037		g1082.t1
OG0001038		g1083.t1
OG0001039		g1084.t1
OG0001040		g1087.t1
OG0001041		g1089.t1
OG0001042		g1090.t1
OG0001043		g1091.t1
OG0001044		g1092.t1
OG0001045		g1093.t1
OG0001046		g1095.t1
OG0001047		g1099.t1
OG0001048		g1100.t1
OG0001049		g1102.t1
OG0001050		g1103.t1
OG0001051		g1107.t1
OG0001052		g1109.t1
OG0001053		g1110.t1
OG0001054		g1111.t1
OG0001055		g1112.t1
OG0001056		g1113.t1
OG0001057		g1118.t1
OG0001058		g1119.t1
OG0001059		g1124.t1
OG0001060		g1125.t1
OG0001061		g1126.t1
OG0001062		g1127.t1
OG0001063		g1129.t1
OG0001064		g1140.t1
OG0001065		g1145.t1
OG0001066		g1146.t1
OG0001067		g1147.t1
OG0001068		g1151.t1
OG0001069		g1154.t1
OG0001070		g1157.t1
OG0001071		g1160.t1
OG0001072		g1162.t1
OG0001073		g1164.t1
OG0001074		g1171.t1
OG0001075		g1172.t1
OG0001076		g1173.t1
OG0001077		g1175.t1
OG0001078		g1176.t1
OG0001079		g1179.t1
OG0001080		g1180.t1
OG0001081		g1182.t1
OG0001082		g1183.t1
OG0001083		g1184.t1
OG0001084		g1185.t1
OG0001085		g1187.t1
OG0001086		g1188.t1
OG0001087		g1189.t1
OG0001088		g1191.t1
OG0001089		g1192.t1
OG0001090		g1193.t1
OG0001091		g1196.t1
OG0001092		g1198.t1
OG0001093		g1199.t1
OG0001094		g1200.t1
OG0001095		g1203.t1
OG0001096		g1204.t1
OG0001097		g1207.t1
OG0001098		g1209.t1
OG0001099		g1211.t1
OG0001100		g1213.t1
OG0001101		g1214.t1
OG0001102		g1217.t1
OG0001103		g1218.t1
OG0001104		g1219.t1
OG0001105		g1220.t1
OG0001106		g1221.t1
OG0001107		g1224.t1
OG0001108		g1225.t1
OG0001109		g1226.t1
OG0001110		g1228.t1
OG0001111		g1230.t1
OG0001112		g1231.t1
OG0001113		g1232.t1
OG0001114		g1234.t1
OG0001115		g1235.t1
OG0001116		g1236.t1
OG0001117		g1238.t1
OG0001118		g1239.t1
OG0001119		g1240.t1
OG0001120		g1241.t1
OG0001121		g1242.t1
OG0001122		g1245.t1
OG0001123		g1249.t1
OG0001124		g1250.t1
OG0001125		g1252.t1
OG0001126		g1261.t1
OG0001127		g1262.t1
OG0001128		g1266.t1
OG0001129		g1269.t1
OG0001130		g1282.t1
OG0001131		g1286.t1
OG0001132		g1290.t1
OG0001133		g1291.t1
OG0001134		g1295.t1
OG0001135		g1297.t1
OG0001136		g1298.t1
OG0001137		g1299.t1
OG0001138		g1300.t1
OG0001139		g1301.t1
OG0001140		g1302.t1
OG0001141		g1303.t1
OG0001142		g1305.t1
OG0001143		g1306.t1
OG0001144		g1307.t1
OG0001145		g1308.t1
OG0001146		g1309.t1
OG0001147		g1311.t1
OG0001148		g1312.t1
OG0001149		g1313.t1
OG0001150		g1316.t1
OG0001151		g1317.t1
OG0001152		g1323.t1
OG0001153		g1328.t1
OG0001154		g1332.t1
OG0001155		g1333.t1
OG0001156		g1342.t1
OG0001157		g1343.t1
OG0001158		g1344.t1
OG0001159		g1345.t1
OG0001160		g1351.t1
OG0001161		g1352.t1
OG0001162		g1356.t1
OG0001163		g1359.t1
OG0001164		g1361.t1
OG0001165		g1362.t1
OG0001166		g1365.t1
OG0001167		g1370.t1
OG0001168		g1373.t1
OG0001169		g1374.t1
OG0001170		g1378.t1
OG0001171		g1379.t1
OG0001172		g1394.t1
OG0001173		g1395.t1
OG0001174		g1397.t1
OG0001175		g1398.t1
OG0001176		g1402.t1
OG0001177		g1404.t1
OG0001178		g1413.t1
OG0001179		g1420.t1
OG0001180		g1421.t1
OG0001181		g1422.t1
OG0001182		g1425.t1
OG0001183		g1433.t1
OG0001184		g1437.t1
OG0001185		g1440.t1
OG0001186		g1442.t1
OG0001187		g1443.t1
OG0001188		g1444.t1
OG0001189		g1445.t1
OG0001190		g1447.t1
OG0001191		g1448.t1
OG0001192		g1449.t1
OG0001193		g1451.t1
OG0001194		g1456.t1
OG0001195		g1457.t1
OG0001196		g1458.t1
OG0001197		g1459.t1
OG0001198		g1460.t1
OG0001199		g1467.t1
OG0001200		g1469.t1
OG0001201		g1471.t1
OG0001202		g1477.t1
OG0001203		g1478.t1
OG0001204		g1479.t1
OG0001205		g1482.t1
OG0001206		g1486.t1
OG0001207		g1487.t1
OG0001208		g1488.t1
OG0001209		g1489.t1
OG0001210		g1490.t1
OG0001211		g1491.t1
OG0001212		g1494.t1
OG0001213		g1495.t1
OG0001214		g1498.t1
OG0001215		g1499.t1
OG0001216		g1500.t1
OG0001217		g1501.t1
OG0001218		g1502.t1
OG0001219		g1504.t1
OG0001220		g1507.t1
OG0001221		g1511.t1
OG0001222		g1515.t1
OG0001223		g1516.t1
OG0001224		g1522.t1
OG0001225		g1527.t1
OG0001226		g1528.t1
OG0001227		g1529.t1
OG0001228		g1534.t1
OG0001229		g1535.t1
OG0001230		g1536.t1
OG0001231		g1538.t1
OG0001232		g1539.t1
OG0001233		g1543.t1
OG0001234		g1551.t1
OG0001235		g1554.t1
OG0001236		g1555.t1
OG0001237		g1558.t1
OG0001238		g1559.t1
OG0001239		g1565.t1
OG0001240		g1567.t1
OG0001241		g1571.t1
OG0001242		g1572.t1
OG0001243		g1573.t1
OG0001244		g1574.t1
OG0001245		g1575.t1
OG0001246		g1576.t1
OG0001247		g1577.t1
OG0001248		g1584.t1
OG0001249		g1585.t1
OG0001250		g1587.t1
OG0001251		g1590.t1
OG0001252		g1592.t1
OG0001253		g1593.t1
OG0001254		g1594.t1
OG0001255		g1595.t1
OG0001256		g1596.t1
OG0001257		g1598.t1
OG0001258		g1600.t1
OG0001259		g1603.t1
OG0001260		g1606.t1
OG0001261		g1609.t1
OG0001262		g1612.t1
OG0001263		g1613.t1
OG0001264		g1614.t1
OG0001265		g1616.t1
OG0001266		g1617.t1
OG0001267		g1618.t1
OG0001268		g1619.t1
OG0001269		g1620.t1
OG0001270		g1621.t1
OG0001271		g1622.t1
OG0001272		g1623.t1
OG0001273		g1624.t1
OG0001274		g1625.t1
OG0001275		g1627.t1
OG0001276		g1628.t1
OG0001277		g1636.t1
OG0001278		g1640.t1
OG0001279		g1652.t1
OG0001280		g1653.t1
OG0001281		g1654.t1
OG0001282		g1655.t1
OG0001283		g1656.t1
OG0001284		g1657.t1
OG0001285		g1660.t1
OG0001286		g1661.t1
OG0001287		g1663.t1
OG0001288		g1664.t1
OG0001289		g1665.t1
OG0001290		g1666.t1
OG0001291		g1668.t1
OG0001292		g1677.t1
OG0001293		g1681.t1
OG0001294		g1683.t1
OG0001295		g1684.t1
OG0001296		g1686.t1
OG0001297		g1687.t1
OG0001298		g1692.t1
OG0001299		g1693.t1
OG0001300		g1694.t1
OG0001301		g1696.t1
OG0001302		g1697.t1
OG0001303		g1699.t1
OG0001304		g1700.t1
OG0001305		g1702.t1
OG0001306		g1705.t1
OG0001307		g1706.t1
OG0001308		g1715.t1
OG0001309		g1716.t1
OG0001310		g1720.t1
OG0001311		g1721.t1
OG0001312		g1722.t1
OG0001313		g1726.t1
OG0001314		g1727.t1
OG0001315		g1728.t1
OG0001316		g1732.t1
OG0001317		g1733.t1
OG0001318		g1735.t1
OG0001319		g1736.t1
OG0001320		g1737.t1
OG0001321		g1739.t1
OG0001322		g1740.t1
OG0001323		g1741.t1
OG0001324		g1743.t1
OG0001325		g1744.t1
OG0001326		g1745.t1
OG0001327		g1748.t1
OG0001328		g1752.t1
OG0001329		g1753.t1
OG0001330		g1754.t1
OG0001331		g1755.t1
OG0001332		g1756.t1
OG0001333		g1758.t1
OG0001334		g1759.t1
OG0001335		g1760.t1
OG0001336		g1761.t1
OG0001337		g1765.t1
OG0001338		g1774.t1
OG0001339		g1775.t1
OG0001340		g1776.t1
OG0001341		g1777.t1
OG0001342		g1778.t1
OG0001343		g1782.t1
OG0001344		g1783.t1
OG0001345		g1784.t1
OG0001346		g1785.t1
OG0001347		g1786.t1
OG0001348		g1787.t1
OG0001349		g1788.t1
OG0001350		g1790.t1
OG0001351		g1791.t1
OG0001352		g1794.t1
OG0001353		g1797.t1
OG0001354		g1802.t1
OG0001355		g1803.t1
OG0001356		g1804.t1
OG0001357		g1806.t1
OG0001358		g1807.t1
OG0001359		g1810.t1
OG0001360		g1811.t1
OG0001361		g1813.t1
OG0001362		g1816.t1
OG0001363		g1817.t1
OG0001364		g1818.t1
