Orthogroup	Mycobacterium_leprae	Salmonella_enterica
OG0001160	g4.t1	
OG0001161	g7.t1	
OG0001162	g9.t1	
OG0001163	g10.t1	
OG0001164	g11.t1	
OG0001165	g17.t1	
OG0001166	g20.t1	
OG0001167	g21.t1	
OG0001168	g23.t1	
OG0001169	g26.t1	
OG0001170	g27.t1	
OG0001171	g28.t1	
OG0001172	g31.t1	
OG0001173	g32.t1	
OG0001174	g33.t1	
OG0001175	g34.t1	
OG0001176	g37.t1	
OG0001177	g38.t1	
OG0001178	g45.t1	
OG0001179	g48.t1	
OG0001180	g49.t1	
OG0001181	g53.t1	
OG0001182	g54.t1	
OG0001183	g55.t1	
OG0001184	g56.t1	
OG0001185	g58.t1	
OG0001186	g63.t1	
OG0001187	g65.t1	
OG0001188	g69.t1	
OG0001189	g71.t1	
OG0001190	g72.t1	
OG0001191	g73.t1	
OG0001192	g74.t1	
OG0001193	g77.t1	
OG0001194	g82.t1	
OG0001195	g86.t1	
OG0001196	g87.t1	
OG0001197	g89.t1	
OG0001198	g90.t1	
OG0001199	g91.t1	
OG0001200	g92.t1	
OG0001201	g94.t1	
OG0001202	g95.t1	
OG0001203	g96.t1	
OG0001204	g98.t1	
OG0001205	g99.t1	
OG0001206	g100.t1	
OG0001207	g102.t1	
OG0001208	g104.t1	
OG0001209	g105.t1	
OG0001210	g106.t1	
OG0001211	g116.t1	
OG0001212	g117.t1	
OG0001213	g119.t1	
OG0001214	g124.t1	
OG0001215	g125.t1	
OG0001216	g126.t1	
OG0001217	g129.t1	
OG0001218	g130.t1	
OG0001219	g131.t1	
OG0001220	g132.t1	
OG0001221	g133.t1	
OG0001222	g134.t1	
OG0001223	g135.t1	
OG0001224	g136.t1	
OG0001225	g137.t1	
OG0001226	g138.t1	
OG0001227	g139.t1	
OG0001228	g140.t1	
OG0001229	g145.t1	
OG0001230	g146.t1	
OG0001231	g151.t1	
OG0001232	g152.t1	
OG0001233	g153.t1	
OG0001234	g154.t1	
OG0001235	g155.t1	
OG0001236	g157.t1	
OG0001237	g158.t1	
OG0001238	g159.t1	
OG0001239	g161.t1	
OG0001240	g165.t1	
OG0001241	g166.t1	
OG0001242	g168.t1	
OG0001243	g171.t1	
OG0001244	g174.t1	
OG0001245	g175.t1	
OG0001246	g176.t1	
OG0001247	g180.t1	
OG0001248	g182.t1	
OG0001249	g183.t1	
OG0001250	g184.t1	
OG0001251	g187.t1	
