Orthogroup	Acinetobacter_baumannii	Pseudomonas_aeruginosa
OG0000961	g4.t1	
OG0000962	g18.t1	
OG0000963	g19.t1	
OG0000964	g34.t1	
OG0000965	g36.t1	
OG0000966	g43.t1	
OG0000967	g77.t1	
OG0000968	g80.t1	
OG0000969	g86.t1	
OG0000970	g87.t1	
OG0000971	g88.t1	
OG0000972	g89.t1	
OG0000973	g90.t1	
OG0000974	g101.t1	
OG0000975	g124.t1	
OG0000976	g157.t1	
OG0000977	g158.t1	
OG0000978	g161.t1	
OG0000979	g169.t1	
OG0000980	g177.t1	
OG0000981	g209.t1	
OG0000982	g229.t1	
OG0000983	g242.t1	
OG0000984	g250.t1	
OG0000985	g251.t1	
OG0000986	g287.t1	
OG0000987	g297.t1	
OG0000988	g299.t1	
OG0000989	g301.t1	
OG0000990	g305.t1	
OG0000991	g306.t1	
OG0000992	g311.t1	
OG0000993	g317.t1	
OG0000994	g336.t1	
OG0000995	g337.t1	
OG0000996	g360.t1	
OG0000997	g374.t1	
OG0000998	g406.t1	
OG0000999	g407.t1	
OG0001000	g416.t1	
OG0001001	g419.t1	
OG0001002	g420.t1	
OG0001003	g429.t1	
OG0001004	g434.t1	
OG0001005	g440.t1	
OG0001006	g458.t1	
OG0001007	g459.t1	
OG0001008	g471.t1	
OG0001009	g474.t1	
OG0001010	g478.t1	
OG0001011	g503.t1	
OG0001012	g509.t1	
OG0001013		g2.t1
OG0001014		g3.t1
OG0001015		g6.t1
OG0001016		g9.t1
OG0001017		g12.t1
OG0001018		g13.t1
OG0001019		g14.t1
OG0001020		g15.t1
OG0001021		g16.t1
OG0001022		g17.t1
OG0001023		g20.t1
OG0001024		g21.t1
OG0001025		g24.t1
OG0001026		g26.t1
OG0001027		g27.t1
OG0001028		g28.t1
OG0001029		g33.t1
OG0001030		g39.t1
OG0001031		g44.t1
OG0001032		g45.t1
OG0001033		g47.t1
OG0001034		g48.t1
OG0001035		g49.t1
OG0001036		g50.t1
OG0001037		g51.t1
OG0001038		g55.t1
OG0001039		g56.t1
OG0001040		g57.t1
OG0001041		g58.t1
OG0001042		g59.t1
OG0001043		g60.t1
OG0001044		g62.t1
OG0001045		g64.t1
OG0001046		g68.t1
OG0001047		g69.t1
OG0001048		g72.t1
OG0001049		g73.t1
OG0001050		g74.t1
OG0001051		g75.t1
OG0001052		g76.t1
OG0001053		g81.t1
OG0001054		g91.t1
OG0001055		g92.t1
OG0001056		g97.t1
OG0001057		g98.t1
OG0001058		g99.t1
OG0001059		g102.t1
OG0001060		g103.t1
OG0001061		g104.t1
OG0001062		g105.t1
OG0001063		g106.t1
OG0001064		g109.t1
OG0001065		g112.t1
OG0001066		g114.t1
OG0001067		g115.t1
OG0001068		g116.t1
OG0001069		g117.t1
OG0001070		g119.t1
OG0001071		g123.t1
OG0001072		g127.t1
OG0001073		g129.t1
OG0001074		g130.t1
OG0001075		g131.t1
OG0001076		g132.t1
OG0001077		g133.t1
OG0001078		g136.t1
OG0001079		g141.t1
OG0001080		g142.t1
OG0001081		g147.t1
OG0001082		g150.t1
OG0001083		g152.t1
OG0001084		g171.t1
OG0001085		g173.t1
OG0001086		g174.t1
OG0001087		g177.t1
OG0001088		g193.t1
OG0001089		g199.t1
OG0001090		g201.t1
OG0001091		g204.t1
OG0001092		g205.t1
OG0001093		g212.t1
OG0001094		g213.t1
OG0001095		g214.t1
OG0001096		g217.t1
OG0001097		g219.t1
OG0001098		g220.t1
OG0001099		g230.t1
OG0001100		g255.t1
OG0001101		g256.t1
OG0001102		g259.t1
OG0001103		g260.t1
OG0001104		g262.t1
OG0001105		g264.t1
OG0001106		g265.t1
OG0001107		g272.t1
OG0001108		g273.t1
OG0001109		g277.t1
OG0001110		g279.t1
OG0001111		g281.t1
OG0001112		g282.t1
OG0001113		g287.t1
OG0001114		g289.t1
OG0001115		g295.t1
OG0001116		g310.t1
OG0001117		g311.t1
OG0001118		g313.t1
OG0001119		g314.t1
OG0001120		g319.t1
OG0001121		g324.t1
OG0001122		g333.t1
OG0001123		g339.t1
OG0001124		g344.t1
OG0001125		g346.t1
OG0001126		g347.t1
OG0001127		g348.t1
OG0001128		g349.t1
OG0001129		g350.t1
OG0001130		g351.t1
OG0001131		g355.t1
OG0001132		g356.t1
OG0001133		g362.t1
OG0001134		g363.t1
OG0001135		g364.t1
OG0001136		g367.t1
OG0001137		g368.t1
OG0001138		g370.t1
OG0001139		g374.t1
OG0001140		g375.t1
OG0001141		g381.t1
OG0001142		g383.t1
OG0001143		g385.t1
OG0001144		g386.t1
OG0001145		g388.t1
OG0001146		g390.t1
OG0001147		g391.t1
OG0001148		g393.t1
OG0001149		g394.t1
OG0001150		g395.t1
OG0001151		g396.t1
OG0001152		g397.t1
OG0001153		g398.t1
OG0001154		g399.t1
OG0001155		g401.t1
OG0001156		g410.t1
OG0001157		g411.t1
OG0001158		g412.t1
OG0001159		g413.t1
OG0001160		g422.t1
OG0001161		g425.t1
OG0001162		g430.t1
OG0001163		g436.t1
OG0001164		g440.t1
OG0001165		g442.t1
OG0001166		g444.t1
OG0001167		g445.t1
OG0001168		g457.t1
OG0001169		g467.t1
OG0001170		g472.t1
OG0001171		g473.t1
OG0001172		g475.t1
OG0001173		g476.t1
OG0001174		g488.t1
OG0001175		g493.t1
OG0001176		g494.t1
OG0001177		g495.t1
OG0001178		g496.t1
OG0001179		g497.t1
OG0001180		g508.t1
OG0001181		g509.t1
OG0001182		g511.t1
OG0001183		g512.t1
OG0001184		g525.t1
OG0001185		g529.t1
OG0001186		g530.t1
OG0001187		g532.t1
OG0001188		g533.t1
OG0001189		g537.t1
OG0001190		g540.t1
OG0001191		g547.t1
OG0001192		g548.t1
OG0001193		g549.t1
OG0001194		g551.t1
OG0001195		g552.t1
OG0001196		g557.t1
OG0001197		g561.t1
OG0001198		g562.t1
OG0001199		g564.t1
OG0001200		g565.t1
OG0001201		g568.t1
OG0001202		g569.t1
OG0001203		g573.t1
OG0001204		g574.t1
OG0001205		g575.t1
OG0001206		g576.t1
OG0001207		g577.t1
OG0001208		g578.t1
OG0001209		g579.t1
OG0001210		g580.t1
OG0001211		g581.t1
OG0001212		g582.t1
OG0001213		g583.t1
OG0001214		g584.t1
OG0001215		g587.t1
OG0001216		g588.t1
OG0001217		g589.t1
OG0001218		g591.t1
OG0001219		g595.t1
OG0001220		g596.t1
OG0001221		g597.t1
OG0001222		g598.t1
OG0001223		g601.t1
OG0001224		g602.t1
OG0001225		g605.t1
OG0001226		g606.t1
OG0001227		g609.t1
OG0001228		g620.t1
OG0001229		g623.t1
OG0001230		g624.t1
OG0001231		g625.t1
OG0001232		g626.t1
OG0001233		g627.t1
OG0001234		g628.t1
OG0001235		g629.t1
OG0001236		g630.t1
OG0001237		g631.t1
OG0001238		g632.t1
OG0001239		g633.t1
OG0001240		g634.t1
OG0001241		g635.t1
OG0001242		g636.t1
OG0001243		g637.t1
OG0001244		g638.t1
OG0001245		g639.t1
OG0001246		g640.t1
OG0001247		g641.t1
OG0001248		g642.t1
OG0001249		g643.t1
OG0001250		g644.t1
OG0001251		g645.t1
OG0001252		g646.t1
OG0001253		g647.t1
OG0001254		g648.t1
OG0001255		g649.t1
OG0001256		g650.t1
OG0001257		g652.t1
OG0001258		g654.t1
OG0001259		g657.t1
OG0001260		g660.t1
OG0001261		g667.t1
OG0001262		g669.t1
OG0001263		g670.t1
OG0001264		g672.t1
OG0001265		g676.t1
OG0001266		g677.t1
OG0001267		g678.t1
OG0001268		g679.t1
OG0001269		g684.t1
OG0001270		g685.t1
OG0001271		g689.t1
OG0001272		g690.t1
OG0001273		g691.t1
OG0001274		g698.t1
OG0001275		g703.t1
OG0001276		g704.t1
OG0001277		g705.t1
OG0001278		g707.t1
OG0001279		g715.t1
OG0001280		g720.t1
OG0001281		g722.t1
OG0001282		g723.t1
OG0001283		g724.t1
OG0001284		g725.t1
OG0001285		g726.t1
OG0001286		g727.t1
OG0001287		g728.t1
OG0001288		g729.t1
OG0001289		g730.t1
OG0001290		g731.t1
OG0001291		g732.t1
OG0001292		g733.t1
OG0001293		g734.t1
OG0001294		g736.t1
OG0001295		g737.t1
OG0001296		g739.t1
OG0001297		g740.t1
OG0001298		g742.t1
OG0001299		g743.t1
OG0001300		g744.t1
OG0001301		g745.t1
OG0001302		g746.t1
OG0001303		g748.t1
OG0001304		g750.t1
OG0001305		g758.t1
OG0001306		g760.t1
OG0001307		g761.t1
OG0001308		g762.t1
OG0001309		g764.t1
OG0001310		g770.t1
OG0001311		g771.t1
OG0001312		g772.t1
OG0001313		g775.t1
OG0001314		g777.t1
OG0001315		g781.t1
OG0001316		g782.t1
OG0001317		g784.t1
OG0001318		g787.t1
OG0001319		g788.t1
OG0001320		g790.t1
OG0001321		g799.t1
OG0001322		g800.t1
OG0001323		g804.t1
OG0001324		g811.t1
OG0001325		g812.t1
OG0001326		g814.t1
OG0001327		g815.t1
OG0001328		g817.t1
OG0001329		g818.t1
OG0001330		g820.t1
OG0001331		g824.t1
OG0001332		g829.t1
OG0001333		g830.t1
OG0001334		g832.t1
OG0001335		g833.t1
OG0001336		g834.t1
OG0001337		g835.t1
OG0001338		g838.t1
OG0001339		g839.t1
OG0001340		g847.t1
OG0001341		g848.t1
OG0001342		g853.t1
OG0001343		g855.t1
OG0001344		g857.t1
OG0001345		g858.t1
OG0001346		g862.t1
OG0001347		g864.t1
OG0001348		g868.t1
OG0001349		g874.t1
OG0001350		g878.t1
OG0001351		g881.t1
OG0001352		g885.t1
OG0001353		g886.t1
OG0001354		g892.t1
OG0001355		g895.t1
OG0001356		g897.t1
OG0001357		g905.t1
OG0001358		g908.t1
OG0001359		g914.t1
OG0001360		g915.t1
OG0001361		g916.t1
OG0001362		g919.t1
OG0001363		g921.t1
OG0001364		g922.t1
OG0001365		g923.t1
OG0001366		g924.t1
OG0001367		g925.t1
OG0001368		g926.t1
OG0001369		g927.t1
OG0001370		g928.t1
OG0001371		g930.t1
OG0001372		g932.t1
OG0001373		g934.t1
OG0001374		g935.t1
OG0001375		g936.t1
OG0001376		g938.t1
OG0001377		g939.t1
OG0001378		g948.t1
OG0001379		g950.t1
OG0001380		g952.t1
OG0001381		g953.t1
OG0001382		g954.t1
OG0001383		g955.t1
OG0001384		g957.t1
OG0001385		g960.t1
OG0001386		g962.t1
OG0001387		g963.t1
OG0001388		g964.t1
OG0001389		g966.t1
OG0001390		g967.t1
OG0001391		g969.t1
OG0001392		g970.t1
OG0001393		g974.t1
OG0001394		g975.t1
OG0001395		g977.t1
OG0001396		g980.t1
OG0001397		g986.t1
OG0001398		g987.t1
OG0001399		g989.t1
OG0001400		g990.t1
OG0001401		g1008.t1
OG0001402		g1015.t1
OG0001403		g1022.t1
OG0001404		g1023.t1
OG0001405		g1027.t1
OG0001406		g1039.t1
OG0001407		g1040.t1
OG0001408		g1043.t1
OG0001409		g1044.t1
OG0001410		g1045.t1
OG0001411		g1049.t1
OG0001412		g1051.t1
OG0001413		g1052.t1
OG0001414		g1054.t1
OG0001415		g1057.t1
OG0001416		g1058.t1
OG0001417		g1060.t1
OG0001418		g1064.t1
OG0001419		g1066.t1
OG0001420		g1067.t1
OG0001421		g1068.t1
OG0001422		g1070.t1
OG0001423		g1072.t1
OG0001424		g1073.t1
OG0001425		g1074.t1
OG0001426		g1078.t1
OG0001427		g1079.t1
OG0001428		g1080.t1
OG0001429		g1084.t1
OG0001430		g1090.t1
OG0001431		g1092.t1
OG0001432		g1094.t1
OG0001433		g1098.t1
OG0001434		g1099.t1
OG0001435		g1100.t1
OG0001436		g1101.t1
OG0001437		g1105.t1
OG0001438		g1106.t1
OG0001439		g1108.t1
OG0001440		g1109.t1
OG0001441		g1110.t1
OG0001442		g1111.t1
OG0001443		g1115.t1
OG0001444		g1116.t1
OG0001445		g1117.t1
OG0001446		g1118.t1
OG0001447		g1120.t1
OG0001448		g1121.t1
OG0001449		g1126.t1
OG0001450		g1127.t1
OG0001451		g1128.t1
OG0001452		g1129.t1
OG0001453		g1131.t1
OG0001454		g1133.t1
OG0001455		g1134.t1
OG0001456		g1135.t1
OG0001457		g1138.t1
OG0001458		g1140.t1
OG0001459		g1143.t1
OG0001460		g1147.t1
OG0001461		g1149.t1
OG0001462		g1150.t1
OG0001463		g1151.t1
OG0001464		g1156.t1
OG0001465		g1157.t1
OG0001466		g1165.t1
OG0001467		g1166.t1
OG0001468		g1170.t1
OG0001469		g1175.t1
OG0001470		g1180.t1
OG0001471		g1184.t1
OG0001472		g1187.t1
OG0001473		g1188.t1
OG0001474		g1190.t1
OG0001475		g1191.t1
OG0001476		g1192.t1
OG0001477		g1193.t1
OG0001478		g1204.t1
OG0001479		g1207.t1
OG0001480		g1210.t1
OG0001481		g1221.t1
OG0001482		g1222.t1
OG0001483		g1226.t1
OG0001484		g1228.t1
OG0001485		g1233.t1
OG0001486		g1237.t1
