Orthogroup	Mycobacterium_leprae	Salmonella_enterica
OG0000000		g100.t1, g1010.t1, g1031.t1, g1186.t1, g1222.t1, g1259.t1, g1414.t1, g1900.t1, g2113.t1, g2290.t1, g2661.t1, g2668.t1, g2940.t1, g2952.t1, g332.t1, g3421.t1, g3437.t1, g3778.t1, g3779.t1, g3846.t1, g3968.t1, g3998.t1, g4000.t1, g521.t1, g539.t1
OG0000001	g931.t1	g1405.t1, g1434.t1, g147.t1, g1484.t1, g1493.t1, g1688.t1, g2003.t1, g2122.t1, g2272.t1, g2593.t1, g2602.t1, g2868.t1, g3114.t1, g3131.t1, g3132.t1, g3363.t1, g3452.t1, g3542.t1, g3588.t1, g3644.t1, g398.t1, g724.t1
OG0000002		g1326.t1, g1418.t1, g1564.t1, g1933.t1, g2059.t1, g2173.t1, g246.t1, g2467.t1, g2702.t1, g2771.t1, g2806.t1, g3011.t1, g311.t1, g3140.t1, g3368.t1, g3558.t1, g3645.t1, g3655.t1, g3699.t1, g480.t1, g888.t1
OG0000003	g110.t1, g111.t1, g1132.t1, g1133.t1, g1135.t1, g1136.t1, g1137.t1, g1138.t1, g1139.t1, g115.t1, g1867.t1, g1868.t1, g1869.t1, g1870.t1, g1871.t1, g1872.t1, g1873.t1, g79.t1, g80.t1, g965.t1	
OG0000004		g1287.t1, g1354.t1, g1391.t1, g1464.t1, g1540.t1, g1928.t1, g2107.t1, g2359.t1, g2405.t1, g2637.t1, g2646.t1, g2927.t1, g3425.t1, g3764.t1, g3981.t1, g4008.t1, g570.t1, g900.t1
OG0000005	g300.t1	g114.t1, g1327.t1, g1450.t1, g2048.t1, g2049.t1, g2188.t1, g2797.t1, g2798.t1, g3305.t1, g3395.t1, g3455.t1, g3582.t1, g3640.t1, g3642.t1, g3806.t1, g3823.t1
OG0000006		g1030.t1, g1436.t1, g2056.t1, g2121.t1, g2130.t1, g2135.t1, g2240.t1, g2752.t1, g2912.t1, g3293.t1, g3457.t1, g3544.t1, g3545.t1, g3584.t1, g3590.t1, g4104.t1, g486.t1
OG0000007	g1605.t1	g1381.t1, g1517.t1, g1601.t1, g2038.t1, g2128.t1, g2255.t1, g2260.t1, g2404.t1, g2900.t1, g3021.t1, g3592.t1, g3853.t1, g3973.t1, g643.t1, g793.t1
OG0000008	g677.t1	g1233.t1, g1284.t1, g2002.t1, g2063.t1, g2977.t1, g3026.t1, g3029.t1, g3309.t1, g3361.t1, g3373.t1, g3550.t1, g3641.t1, g3752.t1, g3796.t1
OG0000009		g1570.t1, g1578.t1, g2204.t1, g2237.t1, g2392.t1, g2633.t1, g2653.t1, g3158.t1, g3285.t1, g336.t1, g3530.t1, g3734.t1, g3887.t1, g529.t1, g610.t1
