Orthogroup	Mycobacterium_tuberculosis	Neisseria_gonorrhoeae
OG0000450	g1.t1	
OG0000451	g2.t1	
OG0000452	g4.t1	
OG0000453	g5.t1	
OG0000454	g6.t1	
OG0000455	g7.t1	
OG0000456	g8.t1	
OG0000457	g10.t1	
OG0000458	g11.t1	
OG0000459	g18.t1	
OG0000460	g22.t1	
OG0000461	g27.t1	
OG0000462	g28.t1	
OG0000463	g30.t1	
OG0000464	g33.t1	
OG0000465	g36.t1	
OG0000466	g37.t1	
OG0000467	g38.t1	
OG0000468	g45.t1	
OG0000469	g47.t1	
OG0000470	g49.t1	
OG0000471	g51.t1	
OG0000472	g54.t1	
OG0000473	g56.t1	
OG0000474	g57.t1	
OG0000475	g58.t1	
OG0000476	g59.t1	
OG0000477	g61.t1	
OG0000478	g64.t1	
OG0000479	g67.t1	
OG0000480	g69.t1	
OG0000481	g74.t1	
OG0000482	g77.t1	
OG0000483	g78.t1	
OG0000484	g79.t1	
OG0000485	g84.t1	
OG0000486	g87.t1	
OG0000487	g89.t1	
OG0000488	g90.t1	
OG0000489	g92.t1	
OG0000490	g97.t1	
OG0000491	g100.t1	
OG0000492	g103.t1	
OG0000493	g104.t1	
OG0000494	g106.t1	
OG0000495	g108.t1	
OG0000496	g111.t1	
OG0000497	g112.t1	
OG0000498	g114.t1	
OG0000499	g116.t1	
OG0000500	g120.t1	
OG0000501	g121.t1	
OG0000502	g122.t1	
OG0000503	g126.t1	
OG0000504	g127.t1	
OG0000505	g129.t1	
OG0000506	g132.t1	
OG0000507	g136.t1	
OG0000508	g137.t1	
OG0000509	g140.t1	
OG0000510	g141.t1	
OG0000511	g142.t1	
OG0000512	g153.t1	
OG0000513	g155.t1	
OG0000514	g157.t1	
OG0000515	g158.t1	
OG0000516	g164.t1	
OG0000517	g180.t1	
OG0000518	g181.t1	
OG0000519	g182.t1	
OG0000520	g185.t1	
OG0000521	g186.t1	
OG0000522	g187.t1	
OG0000523	g189.t1	
OG0000524	g190.t1	
OG0000525	g192.t1	
OG0000526	g194.t1	
OG0000527	g197.t1	
OG0000528	g199.t1	
OG0000529	g201.t1	
OG0000530	g202.t1	
OG0000531	g204.t1	
OG0000532	g206.t1	
OG0000533	g208.t1	
OG0000534	g209.t1	
OG0000535	g210.t1	
OG0000536	g211.t1	
OG0000537	g212.t1	
OG0000538	g213.t1	
OG0000539	g214.t1	
OG0000540	g217.t1	
OG0000541	g219.t1	
OG0000542	g220.t1	
OG0000543	g227.t1	
OG0000544	g228.t1	
OG0000545	g232.t1	
OG0000546	g235.t1	
OG0000547	g237.t1	
OG0000548	g238.t1	
OG0000549	g239.t1	
OG0000550	g240.t1	
OG0000551	g242.t1	
OG0000552	g243.t1	
OG0000553	g249.t1	
OG0000554	g252.t1	
OG0000555	g253.t1	
