;Orthogroup;Bacteria;Gene;index;query_id;subject_id;pct_identity;aln_length;n_of_mismatches;gap_openings;q_start;q_end;s_start;s_end;e_value;bit_score;gb_accession;description
0;OG0000003;Acinetobacter_baumannii;g260.t1;0;g260.t1;VFG041095(gb|NP_459268);100.0;300;0;0;1;300;1;300;0.0;627.0;NP_459268;putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
1;OG0000004;Acinetobacter_baumannii;g115.t1;335;g115.t1;VFG007895(gb|WP_010907558);100.0;2116;0;0;1;2116;1;2116;0.0;4280.0;WP_010907558;type I polyketide synthase [Mycobacterium leprae]
2;OG0000006;Acinetobacter_baumannii;g427.t1;19;g427.t1;VFG001380(gb|NP_214946);100.0;240;0;0;1;240;1;240;7.4e-174;477.0;NP_214946;superoxide dismutase [Mycobacterium tuberculosis H37Rv]
3;OG0000009;Acinetobacter_baumannii;g381.t1;0;g381.t1;VFG050670(gb|WP_000505931.1);100.0;344;0;0;1;344;349;692;0.0;676.0;WP_000505931.1;MULTISPECIES: methyl-accepting chemotaxis protein [Acinetobacter]
4;OG0000013;Acinetobacter_baumannii;g20.t1;207;g20.t1;VFG004145(gb|NP_459026);100.0;180;0;0;1;180;1;180;1.28e-127;355.0;NP_459026;fimbrial subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
5;OG0000019;Acinetobacter_baumannii;g496.t1;22;g496.t1;VFG009338(gb|WP_003914605);100.0;291;0;0;1;291;1;291;0.0;561.0;WP_003914605;MULTISPECIES: pyrroline-5-carboxylate reductase [Mycobacterium]
6;OG0000027;Acinetobacter_baumannii;g112.t1;0;g112.t1;VFG024712(gb|WP_010907555);100.0;233;0;0;1;233;1;233;3.8100000000000003e-169;465.0;WP_010907555;LppX_LprAFG lipoprotein [Mycobacterium leprae]
7;OG0000034;Acinetobacter_baumannii;g74.t1;0;g74.t1;VFG052082(gb|WP_010907519.1);100.0;649;0;0;1;649;1;649;0.0;1293.0;WP_010907519.1;terminal beta-(1->2)-arabinofuranosyltransferase [Mycobacterium leprae]
8;OG0000045;Acinetobacter_baumannii;g113.t1;315;g113.t1;VFG038176(gb|WP_000777882);100.0;356;0;0;1;356;1;356;0.0;728.0;WP_000777882;MULTISPECIES: outer membrane protein Omp38 [Acinetobacter]
9;OG0000053;Acinetobacter_baumannii;g100.t1;132;g100.t1;VFG041011(gb|NP_248785);100.0;741;0;0;1;741;1;741;0.0;1530.0;NP_248785;hypothetical protein PA0095 [Pseudomonas aeruginosa PAO1]
10;OG0000054;Acinetobacter_baumannii;g290.t1;22;g290.t1;VFG022130(gb|NP_214804);100.0;472;0;0;1;472;1;472;0.0;879.0;NP_214804;ESX-3 secretion system protein EccD [Mycobacterium tuberculosis H37Rv]
11;OG0000086;Acinetobacter_baumannii;g252.t1;0;g252.t1;VFG050440(gb|WP_000993717.1);100.0;144;0;0;1;144;1;144;5.91e-101;285.0;WP_000993717.1;MULTISPECIES: pilin [Acinetobacter]
12;OG0000087;Acinetobacter_baumannii;g292.t1;0;g292.t1;VFG022162(gb|NP_214806);99.685;317;1;0;1;317;15;331;0.0;616.0;NP_214806;ESX-3 secretion system protein EccE [Mycobacterium tuberculosis H37Rv]
13;OG0000099;Acinetobacter_baumannii;g37.t1;0;g37.t1;VFG023221(gb|WP_012634408);100.0;95;0;0;1;95;1;95;1.33e-66;194.0;WP_012634408;WXG100 family type VII secretion target [Mycobacterium leprae]
14;OG0000121;Acinetobacter_baumannii;g267.t1;81;g267.t1;VFG041104(gb|NP_459278);100.0;178;0;0;1;178;1;178;2.18e-131;365.0;NP_459278;putative outer membrane lipoprotein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
15;OG0000125;Acinetobacter_baumannii;g194.t1;146;g194.t1;VFG004331(gb|NP_459204);100.0;158;0;0;1;158;1;158;1.11e-115;323.0;NP_459204;putative minor fimbrial subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
16;OG0000149;Acinetobacter_baumannii;g24.t1;394;g24.t1;VFG004165(gb|NP_459030);100.0;171;0;0;1;171;11;181;4.27e-126;351.0;NP_459030;fimbrial subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
17;OG0000150;Acinetobacter_baumannii;g25.t1;574;g25.t1;VFG004170(gb|NP_459031);100.0;172;0;0;1;172;1;172;1.03e-124;347.0;NP_459031;fimbrial subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
18;OG0000151;Acinetobacter_baumannii;g41.t1;184;g41.t1;VFG008298(gb|WP_010907491);100.0;744;0;0;1;744;1;744;0.0;1523.0;WP_010907491;type VII secretion protein EccCa [Mycobacterium leprae]
19;OG0000154;Acinetobacter_baumannii;g174.t1;4;g174.t1;VFG027431(gb|YP_005921535);100.0;380;0;0;11;390;1;380;0.0;769.0;YP_005921535;MCE-family lipoprotein [Mycobacterium tuberculosis RGTB423]
20;OG0000156;Acinetobacter_baumannii;g266.t1;277;g266.t1;VFG051487(gb|NP_248953.1);100.0;1019;0;0;1;1019;1;1019;0.0;2098.0;NP_248953.1;hypothetical protein PA0262 [Pseudomonas aeruginosa PAO1]
21;OG0000157;Acinetobacter_baumannii;g271.t1;263;g271.t1;VFG041109(gb|NP_459283);100.0;1289;0;0;1;1289;1;1289;0.0;2615.0;NP_459283;putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
22;OG0000158;Acinetobacter_baumannii;g284.t1;0;g284.t1;VFG004205(gb|NP_459300);100.0;156;0;0;1;156;1;156;1.88e-115;323.0;NP_459300;putative fimbriae subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
23;OG0000160;Acinetobacter_baumannii;g445.t1;833;g445.t1;VFG029436(gb|WP_003898458);100.0;967;0;0;1;967;1;967;0.0;1979.0;WP_003898458;MULTISPECIES: siderophore RND transporter MmpL4 [Mycobacterium]
24;OG0000195;Acinetobacter_baumannii;g5.t1;35;g5.t1;VFG015599(gb|NP_064725);100.0;257;0;0;1;257;1;257;0.0;521.0;NP_064725;lysophosphatidic acid acyltransferase [Pseudomonas aeruginosa PAO1]
25;OG0000196;Acinetobacter_baumannii;g21.t1;0;g21.t1;VFG004150(gb|NP_459027);100.0;228;0;0;1;228;1;228;3.0000000000000002e-167;459.0;NP_459027;fimbrial chaparone [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
26;OG0000198;Acinetobacter_baumannii;g46.t1;0;g46.t1;VFG000148(gb|NP_248734);100.0;457;0;0;1;457;1;457;0.0;900.0;NP_248734;exoenzyme T [Pseudomonas aeruginosa PAO1]
27;OG0000200;Acinetobacter_baumannii;g108.t1;0;g108.t1;VFG024794(gb|WP_010907550);100.0;382;0;0;1;382;1;382;0.0;772.0;WP_010907550;LLM class flavin-dependent oxidoreductase [Mycobacterium leprae]
