Orthogroup	Acinetobacter_baumannii	Mycobacterium_leprae	Mycobacterium_tuberculosis	Neisseria_gonorrhoeae	Pseudomonas_aeruginosa	Salmonella_enterica
OG0000000		g1114.t1	g1028.t1, g1043.t1, g1053.t1, g1054.t1, g107.t1, g1073.t1, g1078.t1, g1101.t1, g1157.t1, g1161.t1, g1184.t1, g1203.t1, g123.t1, g1232.t1, g1315.t1, g1386.t1, g1420.t1, g1431.t1, g1440.t1, g1442.t1, g1458.t1, g149.t1, g150.t1, g151.t1, g152.t1, g160.t1, g161.t1, g1631.t1, g1636.t1, g1740.t1, g1749.t1, g1768.t1, g1771.t1, g1784.t1, g1785.t1, g1798.t1, g1820.t1, g1959.t1, g2068.t1, g2077.t1, g2097.t1, g2133.t1, g2298.t1, g2309.t1, g2339.t1, g2366.t1, g2400.t1, g2452.t1, g2454.t1, g2484.t1, g2554.t1, g2579.t1, g2598.t1, g2694.t1, g2721.t1, g278.t1, g279.t1, g2801.t1, g297.t1, g3048.t1, g3303.t1, g3322.t1, g3343.t1, g3345.t1, g3426.t1, g3455.t1, g3456.t1, g3459.t1, g3464.t1, g3540.t1, g3545.t1, g521.t1, g528.t1, g574.t1, g729.t1, g733.t1, g734.t1, g741.t1, g821.t1, g823.t1, g824.t1, g860.t1, g964.t1, g965.t1, g967.t1			
OG0000001		g1455.t1, g1572.t1, g304.t1, g39.t1, g393.t1, g924.t1	g1027.t1, g1120.t1, g1156.t1, g1185.t1, g1350.t1, g1377.t1, g1537.t1, g1688.t1, g1689.t1, g1734.t1, g1767.t1, g1769.t1, g1770.t1, g1781.t1, g1782.t1, g1783.t1, g1786.t1, g1787.t1, g1788.t1, g1897.t1, g1898.t1, g2078.t1, g2093.t1, g2321.t1, g2322.t1, g2325.t1, g2399.t1, g2572.t1, g259.t1, g2720.t1, g2722.t1, g280.t1, g2841.t1, g286.t1, g2966.t1, g2970.t1, g303.t1, g304.t1, g3076.t1, g3086.t1, g3087.t1, g3096.t1, g3112.t1, g3301.t1, g3305.t1, g3308.t1, g3427.t1, g3482.t1, g3483.t1, g3489.t1, g3508.t1, g351.t1, g352.t1, g383.t1, g384.t1, g437.t1, g448.t1, g742.t1, g866.t1, g904.t1, g95.t1			
OG0000002					g1082.t1, g1145.t1, g1155.t1, g1216.t1, g128.t1, g1330.t1, g1346.t1, g163.t1, g1761.t1, g184.t1, g1887.t1, g1994.t1, g2090.t1, g2159.t1, g2263.t1, g2297.t1, g2306.t1, g2355.t1, g2456.t1, g2472.t1, g2487.t1, g2572.t1, g2585.t1, g2642.t1, g2723.t1, g2896.t1, g2906.t1, g2935.t1, g3185.t1, g3196.t1, g3637.t1, g3702.t1, g3783.t1, g3972.t1, g4044.t1, g4227.t1, g4256.t1, g61.t1, g890.t1	g1564.t1, g246.t1, g2702.t1, g311.t1, g3140.t1, g3368.t1, g888.t1
OG0000003	g260.t1, g466.t1	g1255.t1, g141.t1, g597.t1	g1021.t1, g2834.t1, g3206.t1, g486.t1, g596.t1, g808.t1, g968.t1		g1172.t1, g1194.t1, g1452.t1, g1825.t1, g2516.t1, g2560.t1, g2698.t1, g2857.t1, g2868.t1, g3137.t1, g3254.t1, g3267.t1, g4181.t1, g4465.t1, g470.t1, g4867.t1, g4979.t1, g5078.t1, g5300.t1, g5462.t1, g767.t1	g1019.t1, g1149.t1, g1369.t1, g1639.t1, g1992.t1, g2584.t1, g2954.t1, g3266.t1, g366.t1, g3789.t1, g3995.t1
OG0000004	g115.t1, g262.t1, g453.t1	g1442.t1	g1339.t1, g1474.t1, g1908.t1, g1920.t1, g1977.t1, g2719.t1, g2807.t1, g3480.t1, g3499.t1, g3509.t1, g677.t1, g757.t1		g1362.t1, g1485.t1, g1670.t1, g1853.t1, g1854.t1, g2036.t1, g2552.t1, g2976.t1, g3026.t1, g3167.t1, g3189.t1, g3453.t1, g3581.t1, g4168.t1, g4177.t1, g4230.t1, g4244.t1, g4474.t1, g5248.t1	g1114.t1, g2030.t1, g2281.t1, g2803.t1
OG0000005		g204.t1	g1006.t1, g1243.t1, g1428.t1, g143.t1, g1465.t1, g159.t1, g1756.t1, g1938.t1, g241.t1, g2471.t1, g2861.t1, g3005.t1, g326.t1, g3361.t1, g3507.t1, g647.t1, g76.t1		g1241.t1, g1300.t1, g1308.t1, g1419.t1, g1862.t1, g2309.t1, g2943.t1, g3016.t1, g3066.t1, g372.t1, g3750.t1, g3792.t1, g5155.t1, g840.t1	
OG0000006	g427.t1, g473.t1, g490.t1	g1211.t1, g566.t1	g130.t1, g154.t1, g216.t1, g2465.t1, g2680.t1, g2740.t1, g3233.t1, g739.t1, g861.t1, g959.t1, g962.t1		g1202.t1, g1551.t1, g1651.t1, g2048.t1, g2589.t1, g2591.t1, g2947.t1, g4520.t1, g5073.t1, g756.t1, g893.t1	g1260.t1, g71.t1, g791.t1
OG0000007		g1605.t1			g1852.t1, g194.t1, g2031.t1, g2088.t1, g2111.t1, g221.t1, g222.t1, g2249.t1, g237.t1, g2374.t1, g2506.t1, g2547.t1, g2979.t1, g3666.t1, g3848.t1, g3850.t1, g5124.t1, g5318.t1, g535.t1, g5446.t1, g708.t1, g749.t1	g1381.t1, g2038.t1, g2467.t1, g3021.t1, g3226.t1, g3655.t1, g3853.t1
OG0000008	g117.t1, g35.t1, g44.t1, g524.t1	g553.t1	g1714.t1, g224.t1, g2808.t1, g3251.t1, g453.t1, g756.t1		g1041.t1, g2017.t1, g2161.t1, g223.t1, g2363.t1, g3574.t1, g4100.t1, g4152.t1, g4204.t1, g4271.t1, g4993.t1, g5414.t1, g5475.t1	g1025.t1, g1492.t1, g2908.t1, g3439.t1
OG0000009	g381.t1				g1266.t1, g1439.t1, g1578.t1, g1628.t1, g1667.t1, g175.t1, g183.t1, g1962.t1, g2601.t1, g2614.t1, g2693.t1, g2695.t1, g2847.t1, g2925.t1, g2978.t1, g3780.t1, g418.t1, g4372.t1, g4389.t1, g4391.t1, g4392.t1, g4605.t1, g4720.t1, g4938.t1, g5009.t1, g5168.t1	
