Orthogroup	Neisseria_gonorrhoeae	Salmonella_enterica
OG0000000		g102.t1, g1137.t1, g1144.t1, g1168.t1, g1169.t1, g1246.t1, g1273.t1, g1385.t1, g1525.t1, g1582.t1, g1583.t1, g1629.t1, g1630.t1, g167.t1, g1771.t1, g1823.t1, g187.t1, g1884.t1, g2022.t1, g2047.t1, g2075.t1, g2103.t1, g2111.t1, g2194.t1, g2277.t1, g243.t1, g2508.t1, g2575.t1, g2608.t1, g2656.t1, g2858.t1, g2859.t1, g3087.t1, g3093.t1, g3225.t1, g3316.t1, g3322.t1, g3323.t1, g3331.t1, g3347.t1, g3388.t1, g3389.t1, g3576.t1, g3610.t1, g3638.t1, g3803.t1, g3936.t1, g3959.t1, g396.t1, g3965.t1, g4116.t1, g428.t1, g429.t1, g468.t1, g473.t1, g477.t1, g548.t1, g620.t1, g669.t1, g706.t1, g713.t1, g718.t1, g752.t1, g762.t1, g773.t1, g783.t1, g811.t1, g823.t1, g880.t1, g891.t1, g892.t1, g917.t1, g991.t1
OG0000001		g1019.t1, g1062.t1, g1149.t1, g1289.t1, g1293.t1, g1369.t1, g1570.t1, g1578.t1, g1639.t1, g1650.t1, g1795.t1, g1796.t1, g1799.t1, g1820.t1, g1822.t1, g1852.t1, g1992.t1, g2017.t1, g2095.t1, g2117.t1, g2158.t1, g2204.t1, g2237.t1, g2392.t1, g2584.t1, g2633.t1, g2653.t1, g2669.t1, g2903.t1, g2954.t1, g3158.t1, g3266.t1, g3279.t1, g3285.t1, g336.t1, g3367.t1, g3530.t1, g3547.t1, g3581.t1, g366.t1, g3734.t1, g3789.t1, g3887.t1, g3995.t1, g4005.t1, g4034.t1, g50.t1, g514.t1, g529.t1, g584.t1, g610.t1, g653.t1
OG0000002		g1326.t1, g1381.t1, g1418.t1, g1517.t1, g1564.t1, g1601.t1, g1933.t1, g2038.t1, g2059.t1, g2128.t1, g2173.t1, g2255.t1, g2260.t1, g2404.t1, g246.t1, g2467.t1, g2702.t1, g2771.t1, g2800.t1, g2806.t1, g2848.t1, g2900.t1, g3011.t1, g3021.t1, g311.t1, g3140.t1, g3368.t1, g3558.t1, g3592.t1, g3645.t1, g3655.t1, g3699.t1, g3853.t1, g39.t1, g3973.t1, g480.t1, g643.t1, g793.t1, g888.t1
OG0000003		g1018.t1, g1148.t1, g1288.t1, g1294.t1, g1366.t1, g1800.t1, g1991.t1, g2116.t1, g2118.t1, g2238.t1, g2394.t1, g2583.t1, g2748.t1, g2955.t1, g3102.t1, g3265.t1, g3583.t1, g367.t1, g3735.t1, g3788.t1, g3886.t1, g3994.t1, g4006.t1, g51.t1, g519.t1, g583.t1, g654.t1
OG0000004		g1287.t1, g1354.t1, g1391.t1, g1464.t1, g1474.t1, g1540.t1, g1646.t1, g1928.t1, g2044.t1, g2107.t1, g2313.t1, g2357.t1, g2359.t1, g2380.t1, g2405.t1, g2637.t1, g2642.t1, g2646.t1, g2927.t1, g3105.t1, g3425.t1, g3764.t1, g3981.t1, g4008.t1, g570.t1, g900.t1
OG0000005		g100.t1, g1010.t1, g1031.t1, g1186.t1, g1222.t1, g1259.t1, g1414.t1, g1900.t1, g2290.t1, g2661.t1, g2668.t1, g2940.t1, g2952.t1, g332.t1, g3421.t1, g3437.t1, g3778.t1, g3779.t1, g3846.t1, g3968.t1, g3998.t1, g4000.t1, g521.t1, g539.t1
OG0000006		g1405.t1, g1434.t1, g147.t1, g1484.t1, g1688.t1, g2003.t1, g2122.t1, g2272.t1, g2593.t1, g2602.t1, g2868.t1, g3114.t1, g3131.t1, g3132.t1, g3363.t1, g3452.t1, g3542.t1, g3588.t1, g3644.t1, g398.t1, g724.t1
OG0000007		g1281.t1, g1371.t1, g146.t1, g1480.t1, g1932.t1, g2058.t1, g2200.t1, g2202.t1, g2388.t1, g2592.t1, g2905.t1, g3675.t1, g369.t1, g3997.t1, g4026.t1, g4042.t1, g4090.t1, g526.t1, g651.t1, g903.t1
OG0000008		g1190.t1, g1248.t1, g1589.t1, g1710.t1, g1856.t1, g1984.t1, g2071.t1, g2251.t1, g2337.t1, g2490.t1, g3148.t1, g3160.t1, g317.t1, g3372.t1, g3376.t1, g354.t1, g3967.t1, g435.t1
OG0000009		g1030.t1, g1436.t1, g2056.t1, g2121.t1, g2130.t1, g2135.t1, g2240.t1, g2403.t1, g2752.t1, g2912.t1, g3293.t1, g3457.t1, g3544.t1, g3545.t1, g3584.t1, g3590.t1, g4104.t1, g486.t1
