Orthogroup	Pseudomonas_aeruginosa	Salmonella_enterica
OG0000000	g1036.t1, g1081.t1, g122.t1, g1348.t1, g1362.t1, g1395.t1, g1485.t1, g1553.t1, g1670.t1, g185.t1, g1853.t1, g1854.t1, g2036.t1, g2134.t1, g2180.t1, g2552.t1, g2593.t1, g2945.t1, g2950.t1, g2976.t1, g3026.t1, g3167.t1, g3189.t1, g3342.t1, g3390.t1, g3396.t1, g3453.t1, g3495.t1, g3505.t1, g3577.t1, g3581.t1, g3958.t1, g4034.t1, g4158.t1, g4168.t1, g4177.t1, g4230.t1, g4244.t1, g4474.t1, g4878.t1, g4926.t1, g5126.t1, g5248.t1, g664.t1	g1114.t1, g1562.t1, g2030.t1, g2803.t1, g2935.t1, g471.t1
OG0000001	g1271.t1, g1357.t1, g187.t1, g210.t1, g2333.t1, g2347.t1, g2369.t1, g2381.t1, g283.t1, g2915.t1, g2984.t1, g3046.t1, g305.t1, g3249.t1, g3275.t1, g330.t1, g3317.t1, g3380.t1, g3441.t1, g3450.t1, g3511.t1, g3516.t1, g3584.t1, g3609.t1, g3679.t1, g4014.t1, g4142.t1, g4274.t1, g4680.t1, g5170.t1, g5190.t1, g5250.t1, g5478.t1, g613.t1, g78.t1, g906.t1	g102.t1, g1137.t1, g1144.t1, g2194.t1, g2277.t1, g2608.t1, g3316.t1, g3936.t1, g473.t1, g620.t1, g762.t1, g811.t1
OG0000002	g1082.t1, g1145.t1, g1155.t1, g1216.t1, g128.t1, g1330.t1, g1346.t1, g163.t1, g1761.t1, g184.t1, g1887.t1, g1994.t1, g2090.t1, g2159.t1, g2263.t1, g2297.t1, g2306.t1, g2355.t1, g2456.t1, g2472.t1, g2487.t1, g2572.t1, g2585.t1, g2642.t1, g2723.t1, g2896.t1, g2906.t1, g2935.t1, g3185.t1, g3196.t1, g3637.t1, g3702.t1, g3783.t1, g3972.t1, g4044.t1, g4227.t1, g4256.t1, g61.t1, g890.t1	g1564.t1, g246.t1, g2702.t1, g311.t1, g3140.t1, g3368.t1, g888.t1
OG0000003	g1241.t1, g1256.t1, g1300.t1, g1308.t1, g1333.t1, g1419.t1, g1862.t1, g2054.t1, g2239.t1, g2309.t1, g2823.t1, g2943.t1, g297.t1, g3016.t1, g3066.t1, g3094.t1, g3194.t1, g372.t1, g3750.t1, g3792.t1, g4051.t1, g482.t1, g4925.t1, g5079.t1, g5155.t1, g5476.t1, g851.t1	g1335.t1, g1471.t1, g3490.t1, g4020.t1, g538.t1
OG0000004	g1162.t1, g138.t1, g1438.t1, g1852.t1, g194.t1, g2031.t1, g2088.t1, g2111.t1, g221.t1, g222.t1, g2249.t1, g237.t1, g2374.t1, g2547.t1, g292.t1, g3183.t1, g3666.t1, g3848.t1, g3850.t1, g498.t1, g5124.t1, g5277.t1, g5318.t1, g535.t1, g749.t1	g1381.t1, g2260.t1, g3226.t1, g3592.t1
OG0000005	g1266.t1, g1439.t1, g1578.t1, g1628.t1, g1667.t1, g183.t1, g1962.t1, g2601.t1, g2614.t1, g2693.t1, g2695.t1, g2847.t1, g2925.t1, g2978.t1, g3780.t1, g418.t1, g4372.t1, g4389.t1, g4391.t1, g4392.t1, g4605.t1, g4720.t1, g4938.t1, g5009.t1, g5168.t1	
OG0000006	g1041.t1, g135.t1, g2017.t1, g2161.t1, g223.t1, g2363.t1, g268.t1, g3574.t1, g3642.t1, g371.t1, g4100.t1, g4152.t1, g4204.t1, g4271.t1, g4993.t1, g5414.t1, g5475.t1, g757.t1	g1025.t1, g1419.t1, g1492.t1, g2590.t1, g2908.t1, g3439.t1
OG0000007	g1033.t1, g1035.t1, g1202.t1, g1301.t1, g1551.t1, g1651.t1, g2048.t1, g2370.t1, g2589.t1, g2591.t1, g2947.t1, g3665.t1, g4281.t1, g4520.t1, g453.t1, g5073.t1, g5089.t1, g5090.t1, g5115.t1, g513.t1, g514.t1, g515.t1, g5286.t1, g756.t1	
OG0000008	g1112.t1, g1114.t1, g1211.t1, g1353.t1, g1685.t1, g1978.t1, g2038.t1, g2394.t1, g2399.t1, g2489.t1, g2707.t1, g2910.t1, g4009.t1, g4099.t1, g4229.t1, g4633.t1, g4817.t1, g5221.t1, g5264.t1, g887.t1	g1570.t1, g2204.t1, g2633.t1
OG0000009	g1196.t1, g1448.t1, g1750.t1, g2106.t1, g2170.t1, g2608.t1, g288.t1, g3321.t1, g3377.t1, g4024.t1, g4451.t1, g4687.t1, g5053.t1, g5112.t1, g585.t1, g873.t1	g1589.t1, g1984.t1, g3148.t1, g3160.t1, g3376.t1
